parameter,kappa_s,theta_s,sigma_s,rho_s,v0_s,kappa_f,theta_f,sigma_f,rho_f,v0_f
kappa_s,1.0,0.16946424726318188,0.5352411100912857,0.10468712526926088,0.11570746396969488,0.45625318165576567,-0.4592552967157499,0.09981778748512038,0.13868565099515623,-0.1685462475735995
theta_s,0.16946424726318188,1.0,0.41389773276569014,0.332650907531914,0.5442143461550931,0.11962640537613622,-0.7284810340978308,0.3629767357958217,0.24390797553090318,-0.5340729542257688
sigma_s,0.5352411100912857,0.4138977327656901,1.0,0.4043342432807355,0.24304771499393138,0.19355036867722406,-0.379345427926221,0.3919113630096279,0.035087845136033295,-0.22774293734890944
rho_s,0.1046871252692609,0.332650907531914,0.4043342432807355,1.0,0.037746468111051576,0.07610942128388148,-0.24138168644968408,0.23291213032053576,-0.5918492434237427,-0.12124902461550556
v0_s,0.11570746396969486,0.544214346155093,0.24304771499393138,0.037746468111051576,0.9999999999999999,-0.08571308797489847,-0.5153211470902381,0.15238325055734758,0.4769726013895187,-0.8692134601508903
kappa_f,0.4562531816557656,0.11962640537613622,0.19355036867722406,0.0761094212838815,-0.08571308797489846,1.0,-0.511090603694283,0.09021022060702788,-0.0181194595399726,-0.023318630247941168
theta_f,-0.45925529671574983,-0.7284810340978308,-0.379345427926221,-0.24138168644968405,-0.5153211470902381,-0.511090603694283,1.0,-0.22412783026529415,-0.2740498120602778,0.5367125611044503
sigma_f,0.09981778748512038,0.36297673579582174,0.3919113630096279,0.23291213032053576,0.15238325055734758,0.0902102206070279,-0.22412783026529415,0.9999999999999998,0.02255791216300167,-0.2551358563005103
rho_f,0.13868565099515623,0.2439079755309032,0.0350878451360333,-0.5918492434237428,0.47697260138951864,-0.0181194595399726,-0.2740498120602778,0.022557912163001667,0.9999999999999999,-0.328833646934456
v0_f,-0.1685462475735995,-0.5340729542257688,-0.22774293734890944,-0.12124902461550556,-0.8692134601508903,-0.023318630247941168,0.5367125611044503,-0.25513585630051033,-0.32883364693445605,0.9999999999999999
