parameter,units,cases,mean_error,median_error,rmse,p90_error,pass_percent,bias,error_sd,sole_failure_cases,failure_cases
kappa_s,relative fraction,32,0.34174953418114284,0.21763222177501304,0.45318864302087,0.5529742258989175,9.375,0.07034133553267927,0.4476963733140761,0,29
theta_s,relative fraction,32,0.24250788316156913,0.21659584095367296,0.3101151525164447,0.4056507577820207,15.625,0.08228894372005956,0.29899822334210385,0,27
sigma_s,relative fraction,32,0.4788752241854965,0.32216741886491085,0.8041146309246536,0.7477061981429375,6.25,0.24641718399135965,0.7654272735543596,0,30
rho_s,absolute correlation,32,0.17781921621271318,0.15435682351502988,0.21263555973457235,0.31325644087737586,15.625,-0.047732993313510094,0.20720869338173845,0,27
v0_s,relative fraction,32,0.18102195134564994,0.128832310797046,0.23462710324745015,0.3192631906550269,15.625,0.03747222754969204,0.23161543502269819,0,27
kappa_f,relative fraction,32,0.17970721788346067,0.1012433039902188,0.2779096307553543,0.4317599767654808,25.0,0.11420987513208211,0.2533571930869372,0,24
theta_f,relative fraction,32,0.21121058948531374,0.18192582468976248,0.26858911992291423,0.41769240166055777,9.375,0.011301662475885661,0.26835123954669327,0,29
sigma_f,relative fraction,32,0.13658997761396915,0.07730399514567887,0.2694113501209665,0.19605672125677057,37.5,0.05516081086558095,0.26370392586886837,0,20
rho_f,absolute correlation,32,0.0775774640424163,0.04899443395155792,0.10912235574214306,0.168618317901411,53.125,0.04221614813724078,0.10062547072769082,0,15
v0_f,relative fraction,32,0.16631832126531282,0.12486875454501091,0.22437099199558316,0.34869784546034843,15.625,0.028068811732012054,0.22260836430160238,0,27
