parameter,maturity_days,mean_conditional_information
kappa_s,30.0,6.180811562168606e-05
kappa_s,60.0,0.00012067507890495942
kappa_s,90.0,0.00013093895637730413
kappa_s,180.0,7.387474069459044e-05
kappa_s,365.0,0.00028123963769851966
kappa_s,730.0,0.00019746098477637045
theta_s,30.0,0.00013375583652164137
theta_s,60.0,0.00020880544478288305
theta_s,90.0,0.00013786741071669708
theta_s,180.0,9.605125322839116e-05
theta_s,365.0,0.00020001730245217868
theta_s,730.0,0.00014874847022824933
sigma_s,30.0,0.0003206615449824706
sigma_s,60.0,0.00011005837959015352
sigma_s,90.0,6.018589052566609e-05
sigma_s,180.0,5.706200400497171e-05
sigma_s,365.0,3.542083621414174e-05
sigma_s,730.0,1.9076090806680726e-05
rho_s,30.0,0.0006478416943057436
rho_s,60.0,0.0006223103036327546
rho_s,90.0,0.0004690271007097434
rho_s,180.0,0.0008169699965744679
rho_s,365.0,0.001259743574137177
rho_s,730.0,0.0009994878462330672
v0_s,30.0,5.281006936984191e-05
v0_s,60.0,2.671446108318397e-05
v0_s,90.0,2.2206603944570583e-05
v0_s,180.0,2.1801815583885265e-05
v0_s,365.0,3.968809030052827e-05
v0_s,730.0,2.4375609607281795e-05
kappa_f,30.0,0.00041441143876014155
kappa_f,60.0,0.0006547426727398015
kappa_f,90.0,0.00030372741209644204
kappa_f,180.0,0.0006761613964972188
kappa_f,365.0,0.0004286293043489959
kappa_f,730.0,0.00029264305201942846
theta_f,30.0,5.2520375522095657e-05
theta_f,60.0,5.1345313058391544e-05
theta_f,90.0,3.511905183135971e-05
theta_f,180.0,3.8106068291556896e-05
theta_f,365.0,7.877817998345672e-05
theta_f,730.0,3.379697164574427e-05
sigma_f,30.0,0.0008680898302341366
sigma_f,60.0,0.0002760528343438547
sigma_f,90.0,0.00021203094219951322
sigma_f,180.0,0.0001676808706802182
sigma_f,365.0,0.0002203961869026306
sigma_f,730.0,0.00012370431562223398
rho_f,30.0,0.026171438673220266
rho_f,60.0,0.003886634255675598
rho_f,90.0,0.00828141329801307
rho_f,180.0,0.01460862616701047
rho_f,365.0,0.007144763536185322
rho_f,730.0,0.007390353250624216
v0_f,30.0,6.499404429742794e-05
v0_f,60.0,6.633211018193853e-05
v0_f,90.0,3.3566564073444505e-05
v0_f,180.0,3.5849581204233357e-05
v0_f,365.0,7.14939805409613e-05
v0_f,730.0,3.962971860029411e-05
