parameter,strike_over_spot,mean_conditional_information
kappa_s,0.8,0.00029945629116034825
kappa_s,0.8200000000000001,0.00021051093888926187
kappa_s,0.8400000000000001,0.0001830872088873215
kappa_s,0.86,0.00017355391550419693
kappa_s,0.88,0.00016484804196417524
kappa_s,0.9,0.00015205894182807744
kappa_s,0.92,0.00013517799906605867
kappa_s,0.9400000000000001,0.0001158656920373036
kappa_s,0.96,9.60649055166709e-05
kappa_s,0.98,7.739753397487585e-05
kappa_s,1.0,6.094581410885644e-05
kappa_s,1.02,7.801167240566e-05
kappa_s,1.04,9.666583434264182e-05
kappa_s,1.06,0.00011393321619170542
kappa_s,1.08,0.00012597993652180064
kappa_s,1.1,0.00012948764796204612
kappa_s,1.12,0.00012396478916775207
kappa_s,1.1400000000000001,0.00011493194188456123
kappa_s,1.16,0.00011783084409658508
kappa_s,1.18,0.0001625458714175615
kappa_s,1.2,0.0002986722623295452
theta_s,0.8,0.0007807488169521333
theta_s,0.8200000000000001,0.0003654059879194211
theta_s,0.8400000000000001,0.00018638734289939891
theta_s,0.86,0.00011535596112259018
theta_s,0.88,8.738030349086918e-05
theta_s,0.9,7.314136446510742e-05
theta_s,0.92,6.197866768083713e-05
theta_s,0.9400000000000001,5.1464012900112646e-05
theta_s,0.96,4.177909117935024e-05
theta_s,0.98,3.340948035273261e-05
theta_s,1.0,2.6608383518261948e-05
theta_s,1.02,3.8944957100818425e-05
theta_s,1.04,5.4721570972398044e-05
theta_s,1.06,7.362216029158425e-05
theta_s,1.08,9.496074758810524e-05
theta_s,1.1,0.0001175884336552843
theta_s,1.12,0.00013990266927277423
theta_s,1.1400000000000001,0.00016077754480329508
theta_s,1.16,0.00018317526643805667
theta_s,1.18,0.00022317873426268398
theta_s,1.2,0.0003278285158893276
sigma_s,0.8,0.00043131478119882755
sigma_s,0.8200000000000001,5.7460625667837915e-05
sigma_s,0.8400000000000001,9.670304278807919e-05
sigma_s,0.86,0.0001527434378400301
sigma_s,0.88,0.00015197208233644547
sigma_s,0.9,0.00011669305057455476
sigma_s,0.92,7.68263559453139e-05
sigma_s,0.9400000000000001,4.727446935241132e-05
sigma_s,0.96,2.980112218524665e-05
sigma_s,0.98,2.0399605856430873e-05
sigma_s,1.0,1.4843265996104881e-05
sigma_s,1.02,2.219619321188666e-05
sigma_s,1.04,3.662849015328683e-05
sigma_s,1.06,6.006787723864704e-05
sigma_s,1.08,8.913180946230712e-05
sigma_s,1.1,0.00011272005486275833
sigma_s,1.12,0.0001147896266928085
sigma_s,1.1400000000000001,8.54018445100563e-05
sigma_s,1.16,4.121086944526449e-05
sigma_s,1.18,5.508534550807713e-05
sigma_s,1.2,0.0002953626606079202
rho_s,0.8,0.002128400794309702
rho_s,0.8200000000000001,0.0012254134501432016
rho_s,0.8400000000000001,0.0008453005284188171
rho_s,0.86,0.0006781053238578783
rho_s,0.88,0.0006130790537231106
rho_s,0.9,0.0005652032277060942
rho_s,0.92,0.00048753542563262885
rho_s,0.9400000000000001,0.00038194298504043607
rho_s,0.96,0.00027449754960861487
rho_s,0.98,0.000186742415058996
rho_s,1.0,0.00012529722000679622
rho_s,1.02,0.00014120357069266452
rho_s,1.04,0.00016624200059270325
rho_s,1.06,0.0002168860470220466
rho_s,1.08,0.00031232132828537724
rho_s,1.1,0.0004624235233961184
rho_s,1.12,0.000659283538290273
rho_s,1.1400000000000001,0.0008918944479838631
rho_s,1.16,0.0012078342751357498
rho_s,1.18,0.00184364413911929
rho_s,1.2,0.003440580960550977
v0_s,0.8,8.741405435479085e-05
v0_s,0.8200000000000001,4.1224055865969576e-05
v0_s,0.8400000000000001,3.5553053876158034e-05
v0_s,0.86,3.5110147392790546e-05
v0_s,0.88,3.147476904172833e-05
v0_s,0.9,2.509814016814844e-05
v0_s,0.92,1.8318328397530252e-05
v0_s,0.9400000000000001,1.28143305240579e-05
v0_s,0.96,9.073349922898614e-06
v0_s,0.98,6.766247159675405e-06
v0_s,1.0,5.324179049759637e-06
v0_s,1.02,7.1554722056836735e-06
v0_s,1.04,9.616519181903138e-06
v0_s,1.06,1.3109911441545412e-05
v0_s,1.08,1.8122351192246186e-05
v0_s,1.1,2.4733984471506786e-05
v0_s,1.12,3.189948078094288e-05
v0_s,1.1400000000000001,3.746226684132925e-05
v0_s,1.16,4.1002866164252726e-05
v0_s,1.18,5.2739008053637094e-05
v0_s,1.2,0.00011257575852596651
kappa_f,0.8,0.0013390555983875977
kappa_f,0.8200000000000001,0.0007825549599200392
kappa_f,0.8400000000000001,0.0006271324247769755
kappa_f,0.86,0.0005414028451883561
kappa_f,0.88,0.00045107269790461654
kappa_f,0.9,0.0003603588361232506
kappa_f,0.92,0.00028188843106337455
kappa_f,0.9400000000000001,0.00021971146866855168
kappa_f,0.96,0.00017150327412111994
kappa_f,0.98,0.00013351113562297436
kappa_f,1.0,0.0001030735991543904
kappa_f,1.02,0.00013464710265850485
kappa_f,1.04,0.00017275550229084807
kappa_f,1.06,0.00021760655585822115
kappa_f,1.08,0.0002698315649202793
kappa_f,1.1,0.00033095102217327185
kappa_f,1.12,0.00040401561488293225
kappa_f,1.1400000000000001,0.0004956254205883648
kappa_f,1.16,0.0006223549359281191
kappa_f,1.18,0.0008267936272857911
kappa_f,1.2,0.0012102568500995201
theta_f,0.8,0.00016474110835034764
theta_f,0.8200000000000001,8.320126419216567e-05
theta_f,0.8400000000000001,5.853703645936253e-05
theta_f,0.86,4.9177221559502834e-05
theta_f,0.88,4.200704861835068e-05
theta_f,0.9,3.461741927322732e-05
theta_f,0.92,2.7648882912023457e-05
theta_f,0.9400000000000001,2.1859649850609287e-05
theta_f,0.96,1.7405993651360052e-05
theta_f,0.98,1.4020978503397501e-05
theta_f,1.0,1.1363806613072235e-05
theta_f,1.02,1.5279252894620637e-05
theta_f,1.04,2.030591034125273e-05
theta_f,1.06,2.6573789863265527e-05
theta_f,1.08,3.4112927915906406e-05
theta_f,1.1,4.2523663671795545e-05
theta_f,1.12,5.052335554846182e-05
theta_f,1.1400000000000001,5.6093723943147223e-05
theta_f,1.16,5.891433084562043e-05
theta_f,1.18,6.784082462408777e-05
theta_f,1.2,0.00011708267153253946
sigma_f,0.8,0.0010564824813102858
sigma_f,0.8200000000000001,0.00022869794191829513
