condition,case,model,parameter,true,estimated,absolute_error
Clean,0,Original Double Heston,kappa_s,1.9981034162695703,1.9962635454713151,0.0018398707982552054
Clean,0,Original Double Heston,theta_s,0.12217476163043124,0.12097071995419953,0.0012040416762317124
Clean,0,Original Double Heston,sigma_s,0.16475109414865513,0.10425023478999666,0.06050085935865847
Clean,0,Original Double Heston,rho_s,0.17276269768952324,0.1917046040510898,0.018941906361566563
Clean,0,Original Double Heston,v0_s,0.03393513699622927,0.033206442694343974,0.0007286943018852965
Clean,0,Original Double Heston,kappa_f,10.479805288343119,10.5288897238995,0.04908443555638087
Clean,0,Original Double Heston,theta_f,0.06934620498217191,0.07023512813424662,0.0008889231520747137
Clean,0,Original Double Heston,sigma_f,0.6066335288170355,0.6409958133734159,0.03436228455638046
Clean,0,Original Double Heston,rho_f,-0.21540093774547014,-0.16764420276881364,0.0477567349766565
Clean,0,Original Double Heston,v0_f,0.014025898955750763,0.014663941075141889,0.0006380421193911256
Clean,0,Unregularized matched PINN,kappa_s,1.9981034162695703,1.9317798918246216,0.06632352444494871
Clean,0,Unregularized matched PINN,theta_s,0.12217476163043124,0.11851316587042376,0.0036615957600074772
Clean,0,Unregularized matched PINN,sigma_s,0.16475109414865513,0.10150562075746093,0.0632454733911942
Clean,0,Unregularized matched PINN,rho_s,0.17276269768952324,0.21732155971238099,0.04455886202285775
Clean,0,Unregularized matched PINN,v0_s,0.03393513699622927,0.032360882386612826,0.0015742546096164448
Clean,0,Unregularized matched PINN,kappa_f,10.479805288343119,10.121727010231519,0.3580782781116003
Clean,0,Unregularized matched PINN,theta_f,0.06934620498217191,0.07312880753719889,0.0037826025550269787
Clean,0,Unregularized matched PINN,sigma_f,0.6066335288170355,0.6240442352482496,0.017410706431214118
Clean,0,Unregularized matched PINN,rho_f,-0.21540093774547014,-0.1696185072520146,0.04578243049345554
Clean,0,Unregularized matched PINN,v0_f,0.014025898955750763,0.01577317443174188,0.0017472754759911158
Clean,0,Selected regularized PINN,kappa_s,1.9981034162695703,1.934221689137823,0.06388172713174733
Clean,0,Selected regularized PINN,theta_s,0.12217476163043124,0.11845236455279788,0.0037223970776333604
Clean,0,Selected regularized PINN,sigma_s,0.16475109414865513,0.11476810088935764,0.04998299325929749
Clean,0,Selected regularized PINN,rho_s,0.17276269768952324,0.19437847060720803,0.021615772917684795
Clean,0,Selected regularized PINN,v0_s,0.03393513699622927,0.03222802141458859,0.0017071155816406822
Clean,0,Selected regularized PINN,kappa_f,10.479805288343119,10.137944527155033,0.3418607611880855
Clean,0,Selected regularized PINN,theta_f,0.06934620498217191,0.07316317085256584,0.003816965870393929
Clean,0,Selected regularized PINN,sigma_f,0.6066335288170355,0.6175221558609721,0.010888627043936672
Clean,0,Selected regularized PINN,rho_f,-0.21540093774547014,-0.17188886331170078,0.043512074433769365
Clean,0,Selected regularized PINN,v0_f,0.014025898955750763,0.015899188817872216,0.0018732898621214526
Clean,1,Original Double Heston,kappa_s,1.005500489725665,1.0145996005273046,0.00909911080163961
Clean,1,Original Double Heston,theta_s,0.10172710159824956,0.09019274240719245,0.011534359191057109
Clean,1,Original Double Heston,sigma_s,0.1460299196028068,0.06417429564781117,0.08185562395499564
Clean,1,Original Double Heston,rho_s,-0.16765490306184205,-0.4219387624068411,0.25428385934499903
Clean,1,Original Double Heston,v0_s,0.024731200126623287,0.014090729762931724,0.010640470363691562
Clean,1,Original Double Heston,kappa_f,3.507343203095616,3.4977510851845306,0.009592117911085385
Clean,1,Original Double Heston,theta_f,0.12515418776250045,0.13612551942527912,0.010971331662778666
Clean,1,Original Double Heston,sigma_f,0.2796592823806741,0.2747202945133625,0.004938987867311617
Clean,1,Original Double Heston,rho_f,-0.20701166880931882,-0.19208527124571512,0.0149263975636037
Clean,1,Original Double Heston,v0_f,0.04583059611709112,0.05636080550566883,0.01053020938857771
Clean,1,Unregularized matched PINN,kappa_s,1.005500489725665,1.1675529614052507,0.1620524716795857
Clean,1,Unregularized matched PINN,theta_s,0.10172710159824956,0.11873689164802435,0.017009790049774792
Clean,1,Unregularized matched PINN,sigma_s,0.1460299196028068,0.07898763374139911,0.0670422858614077
Clean,1,Unregularized matched PINN,rho_s,-0.16765490306184205,-0.2894656448389057,0.12181074177706364
Clean,1,Unregularized matched PINN,v0_s,0.024731200126623287,0.03431773713949326,0.009586537012869972
Clean,1,Unregularized matched PINN,kappa_f,3.507343203095616,3.718383194255008,0.21103999115939187
Clean,1,Unregularized matched PINN,theta_f,0.12515418776250045,0.10565811326594075,0.019496074496559698
Clean,1,Unregularized matched PINN,sigma_f,0.2796592823806741,0.3308150029494288,0.05115572056875467
Clean,1,Unregularized matched PINN,rho_f,-0.20701166880931882,-0.2022269450036172,0.004784723805701607
Clean,1,Unregularized matched PINN,v0_f,0.04583059611709112,0.036223734246699515,0.009606861870391607
Clean,1,Selected regularized PINN,kappa_s,1.005500489725665,1.181757216180374,0.17625672645470902
Clean,1,Selected regularized PINN,theta_s,0.10172710159824956,0.11844983724333612,0.016722735645086556
Clean,1,Selected regularized PINN,sigma_s,0.1460299196028068,0.11074256656155516,0.03528735304125165
Clean,1,Selected regularized PINN,rho_s,-0.16765490306184205,-0.22075707242113463,0.05310216935929257
