parameter,mae,rmse,mean_relative_error,r2,bias,median_absolute_error,maximum_absolute_error
kappa_slow,0.234911118944486,0.2835920973373049,0.2723917557871983,-0.018493897729189746,-0.03776929610305362,0.2121446430683136,0.519556999206543
theta_slow,0.022390465045140848,0.02836375144913882,0.4961642479951671,-0.002359382333067428,0.0014048492949869898,0.019517067819833755,0.058109158650040627
sigma_slow,0.12313093721038765,0.13969243222254726,0.7610644184710309,-0.23770939689845672,-0.061195231353243194,0.11904406733810902,0.24443192780017853
rho_slow,0.24532098840508196,0.27749880251923154,4.955564672511086,-0.017242098123922522,-0.03657924239006308,0.2348225568421185,0.4531651735305786
v0_slow,0.029507760889828205,0.03526140766369961,0.4362035075978592,-0.023581510150881613,-0.0053125010389420725,0.029076244682073593,0.0758343506604433
kappa_fast,1.1639405753877428,1.3072418741342091,0.2939218069269067,-0.11571953473908136,-0.4201299746831258,1.102615475654602,2.0874950885772705
theta_fast,0.022744736427234277,0.0242960352847092,0.7455304753720067,-0.020725532914165568,0.0035527535817689365,0.026595160365104675,0.031160105019807816
sigma_fast,0.14878274872899055,0.17949121420586903,0.838997526140423,-0.11449320742578517,-0.05749168785081969,0.13373979926109314,0.3759528696537018
rho_fast,0.28329013836466604,0.3362258490232391,1.1982715300530693,-0.45050764537028654,0.18738798393557468,0.24915821105241776,0.6338080279529095
v0_fast,0.023797158462305863,0.028542327537095544,0.9441110139881652,-0.1459192641386977,0.010177570809092786,0.020009038969874382,0.05325712729245424
