epoch,train_total_loss,validation_total_loss,validation_parameter_loss,validation_physics_loss
1,130.4384951818557,20.128778245713974,20.12624677022298,0.0025316470871782964
2,17.04556519644601,8.960001680586073,8.958954440222847,0.0010475567606691685
3,8.339800357818604,5.274849494298299,5.274296998977661,0.000552449077885184
4,5.068570523034959,3.728763315412733,3.7284138202667236,0.00034956104839996743
5,3.892158179056077,2.870839966668023,2.8705952962239585,0.0002445599206516312
6,2.9402925059908913,2.269758688078986,2.2695837285783558,0.00017498135760736963
7,2.4219928752808344,1.8683214320076837,1.8681940237681072,0.00012744841175541902
8,1.8871687934512185,1.6211581230163574,1.6210630469852023,9.507846011223996e-05
9,1.7416047652562459,1.4642848041322496,1.4642110003365412,7.37724739236809e-05
10,1.587389173961821,1.358225663503011,1.3581657277213202,5.9885393915869324e-05
11,1.364792988413856,1.2879295614030626,1.287880367702908,4.919084508653921e-05
12,1.3863286120550973,1.2352702485190497,1.2352289226320055,4.131570329946044e-05
13,1.2742104076203846,1.197616696357727,1.1975818872451782,3.476818215454437e-05
14,1.2092160100028628,1.1665083832210965,1.1664769649505615,3.138533793389797e-05
15,1.1978316023236228,1.1435099840164185,1.1434805790583293,2.937926526808749e-05
16,1.1284479669162206,1.1286587185329862,1.1286307838228014,2.7886847217612536e-05
17,1.116343339284261,1.1197284592522516,1.1197010543611314,2.7411206752327012e-05
18,1.1990284806206113,1.1129886971579657,1.1129616366492376,2.70858293636896e-05
19,1.1714078131176175,1.1095343563291762,1.1095080508126154,2.6352823321455315e-05
20,1.1125724145344325,1.1085637940300836,1.108537859386868,2.5971268971463563e-05
