epoch,train_total_loss,validation_total_loss,validation_parameter_loss,validation_physics_loss
1,260.2762612373598,47.63929748535156,9.527642250061035,0.001086305477656424
2,41.91380113170993,23.315528869628906,4.6630048751831055,0.0005044721765443683
3,23.391458942044167,15.839248657226562,3.167790412902832,0.00029618575354106724
4,16.44678275815902,12.568225860595703,2.5136032104492188,0.00020982028217986226
5,13.014909867317446,10.415486335754395,2.083066463470459,0.00015371863264590502
6,11.814104849292386,8.990769386291504,1.7981313467025757,0.00011249013186898082
7,10.045430675629646,8.05882453918457,1.6117486953735352,8.15123858046718e-05
8,9.013912031727452,7.418824195861816,1.4837532043457031,5.833192335558124e-05
9,8.490884780883789,6.896191120147705,1.3792294263839722,4.4023559894412756e-05
10,7.633393549150036,6.471230983734131,1.2942391633987427,3.508014196995646e-05
