window,engine,model,date,normalized_MSE
covid_march_2020,reference,single,2020-03-02,0.0026013100105053903
covid_march_2020,reference,single,2020-03-03,0.0023704079378124563
covid_march_2020,reference,single,2020-03-04,0.0026546444046117532
covid_march_2020,reference,single,2020-03-05,0.0024070167877034447
covid_march_2020,reference,single,2020-03-06,0.0021568254383694534
covid_march_2020,reference,single,2020-03-09,0.0015316826025131654
covid_march_2020,reference,single,2020-03-11,0.0012810549365487947
covid_march_2020,reference,single,2020-03-12,0.0006642562726466837
covid_march_2020,reference,single,2020-03-13,0.000455639850730522
covid_march_2020,reference,single,2020-03-16,0.00016432524467759358
covid_march_2020,reference,single,2020-03-17,0.0002085771773038675
covid_march_2020,reference,single,2020-03-18,0.00010998749622868746
covid_march_2020,reference,single,2020-03-19,7.408511014063253e-05
covid_march_2020,reference,single,2020-03-20,0.0002245200441099236
covid_march_2020,reference,single,2020-03-23,9.794439361259743e-05
covid_march_2020,reference,single,2020-03-24,7.631834948145966e-05
covid_march_2020,reference,single,2020-03-25,0.00022757516355591712
covid_march_2020,reference,single,2020-03-26,0.0002505304899334082
covid_march_2020,reference,single,2020-03-27,0.0002691502526613751
covid_march_2020,reference,single,2020-03-30,9.612461836434676e-05
covid_march_2020,reference,single,2020-03-31,0.0002734984959122897
covid_march_2020,reference,double,2020-03-02,0.0026013471993223615
covid_march_2020,reference,double,2020-03-03,0.002370386360417036
covid_march_2020,reference,double,2020-03-04,0.002654651765118394
covid_march_2020,reference,double,2020-03-05,0.0024070089687743567
covid_march_2020,reference,double,2020-03-06,0.0021568625734095684
covid_march_2020,reference,double,2020-03-09,0.0015317266704037774
covid_march_2020,reference,double,2020-03-11,0.0012810821016640333
covid_march_2020,reference,double,2020-03-12,0.0006643232472919975
covid_march_2020,reference,double,2020-03-13,0.00045568085133051046
covid_march_2020,reference,double,2020-03-16,0.00016437084647481437
covid_march_2020,reference,double,2020-03-17,0.0002086792871709136
covid_march_2020,reference,double,2020-03-18,0.00011012179025556827
covid_march_2020,reference,double,2020-03-19,7.409850481893559e-05
covid_march_2020,reference,double,2020-03-20,0.00022471333604750552
covid_march_2020,reference,double,2020-03-23,9.802279070676733e-05
covid_march_2020,reference,double,2020-03-24,7.636522331438352e-05
covid_march_2020,reference,double,2020-03-25,0.0002276413188948254
covid_march_2020,reference,double,2020-03-26,0.00025061451742920254
covid_march_2020,reference,double,2020-03-27,0.0002692840021954768
covid_march_2020,reference,double,2020-03-30,9.619716470035046e-05
covid_march_2020,reference,double,2020-03-31,0.00027359674448362164
covid_march_2020,pinn,single,2020-03-02,0.0026003464564972804
covid_march_2020,pinn,single,2020-03-03,0.0023696712942518055
covid_march_2020,pinn,single,2020-03-04,0.002653700019160996
covid_march_2020,pinn,single,2020-03-05,0.0024061669600069988
covid_march_2020,pinn,single,2020-03-06,0.002156091120575161
covid_march_2020,pinn,single,2020-03-09,0.0015312025516061323
covid_march_2020,pinn,single,2020-03-11,0.00128084399681503
covid_march_2020,pinn,single,2020-03-12,0.0006640595941317868
covid_march_2020,pinn,single,2020-03-13,0.00045547234487405467
covid_march_2020,pinn,single,2020-03-16,0.00016420890407708573
covid_march_2020,pinn,single,2020-03-17,0.00020845972808909087
covid_march_2020,pinn,single,2020-03-18,0.00010985880732749589
covid_march_2020,pinn,single,2020-03-19,7.392502065738139e-05
covid_march_2020,pinn,single,2020-03-20,0.00022435912632439648
covid_march_2020,pinn,single,2020-03-23,9.802777198412988e-05
covid_march_2020,pinn,single,2020-03-24,7.638643263945098e-05
covid_march_2020,pinn,single,2020-03-25,0.0002275146275592034
covid_march_2020,pinn,single,2020-03-26,0.00025037245323532797
covid_march_2020,pinn,single,2020-03-27,0.00026895536905939494
covid_march_2020,pinn,single,2020-03-30,9.606916253009518e-05
covid_march_2020,pinn,single,2020-03-31,0.0002733317427714901
covid_march_2020,pinn,double,2020-03-02,0.0026002626821979087
covid_march_2020,pinn,double,2020-03-03,0.0023694158273355375
covid_march_2020,pinn,double,2020-03-04,0.0026535162539479363
covid_march_2020,pinn,double,2020-03-05,0.00240596739831395
covid_march_2020,pinn,double,2020-03-06,0.0021559922833631674
covid_march_2020,pinn,double,2020-03-09,0.0015311064616729975
covid_march_2020,pinn,double,2020-03-11,0.0012806272650680726
covid_march_2020,pinn,double,2020-03-12,0.0006640695304842342
covid_march_2020,pinn,double,2020-03-13,0.0004554491127186633
covid_march_2020,pinn,double,2020-03-16,0.00016433840839356507
covid_march_2020,pinn,double,2020-03-17,0.00020862832377386772
covid_march_2020,pinn,double,2020-03-18,0.00011003807989300604
covid_march_2020,pinn,double,2020-03-19,7.403240100996961e-05
covid_march_2020,pinn,double,2020-03-20,0.00022463208679912255
covid_march_2020,pinn,double,2020-03-23,9.811533810562006e-05
covid_march_2020,pinn,double,2020-03-24,7.652688651209701e-05
covid_march_2020,pinn,double,2020-03-25,0.0002276877896584512
covid_march_2020,pinn,double,2020-03-26,0.00025056717450336536
covid_march_2020,pinn,double,2020-03-27,0.00026919039974622727
covid_march_2020,pinn,double,2020-03-30,9.620136236946626e-05
covid_march_2020,pinn,double,2020-03-31,0.0002734315579839976
iran_june_2025,reference,single,2025-06-02,0.0043510856164810175
iran_june_2025,reference,single,2025-06-03,0.00454639423819144
iran_june_2025,reference,single,2025-06-04,0.0031085588444274654
iran_june_2025,reference,single,2025-06-05,0.0030090360132027064
iran_june_2025,reference,single,2025-06-06,0.0034188847707526935
iran_june_2025,reference,single,2025-06-09,0.003500285268414855
iran_june_2025,reference,single,2025-06-10,0.0035216535570208986
iran_june_2025,reference,single,2025-06-11,0.00282997069602034
iran_june_2025,reference,single,2025-06-12,0.0049391475426980806
iran_june_2025,reference,single,2025-06-13,0.0039438587738874825
iran_june_2025,reference,single,2025-06-16,0.0037369978808650516
iran_june_2025,reference,single,2025-06-17,0.004246684784026914
iran_june_2025,reference,single,2025-06-18,0.004105687308309331
iran_june_2025,reference,single,2025-06-19,0.003774304127087122
iran_june_2025,reference,single,2025-06-20,0.004443011975352679
iran_june_2025,reference,single,2025-06-23,0.0039969333092367545
iran_june_2025,reference,single,2025-06-24,0.0048411543371006975
iran_june_2025,reference,single,2025-06-25,0.00388035184953974
iran_june_2025,reference,single,2025-06-26,0.004068365717914874
iran_june_2025,reference,single,2025-06-27,0.005322629216148263
iran_june_2025,reference,single,2025-06-30,0.004535076842681309
iran_june_2025,reference,double,2025-06-02,0.004350977501909005
iran_june_2025,reference,double,2025-06-03,0.004546299285492781
iran_june_2025,reference,double,2025-06-04,0.0031085007747737505
iran_june_2025,reference,double,2025-06-05,0.00300897184535912
iran_june_2025,reference,double,2025-06-06,0.0034187965090114207
iran_june_2025,reference,double,2025-06-09,0.003500209142301597
iran_june_2025,reference,double,2025-06-10,0.003521578818288755
iran_june_2025,reference,double,2025-06-11,0.0028298971396396658
iran_june_2025,reference,double,2025-06-12,0.004939100248157782
iran_june_2025,reference,double,2025-06-13,0.003943785868411582
iran_june_2025,reference,double,2025-06-16,0.003736912001697888
iran_june_2025,reference,double,2025-06-17,0.0042466558644748435
iran_june_2025,reference,double,2025-06-18,0.004105633613065255
iran_june_2025,reference,double,2025-06-19,0.00377428539536416
iran_june_2025,reference,double,2025-06-20,0.00444290445267604
iran_june_2025,reference,double,2025-06-23,0.003996827587653305
iran_june_2025,reference,double,2025-06-24,0.004841014225680877
iran_june_2025,reference,double,2025-06-25,0.0038802462577828462
iran_june_2025,reference,double,2025-06-26,0.004068237816452187
iran_june_2025,reference,double,2025-06-27,0.005322530549886019
iran_june_2025,reference,double,2025-06-30,0.004535004528385666
iran_june_2025,pinn,single,2025-06-02,0.004349778788223288
iran_june_2025,pinn,single,2025-06-03,0.00454518308492722
iran_june_2025,pinn,single,2025-06-04,0.003108135845025287
iran_june_2025,pinn,single,2025-06-05,0.003008638937002942
iran_june_2025,pinn,single,2025-06-06,0.0034180245846007315
iran_june_2025,pinn,single,2025-06-09,0.00349971658598648
iran_june_2025,pinn,single,2025-06-10,0.003521114819860741
iran_june_2025,pinn,single,2025-06-11,0.0028298347231500635
iran_june_2025,pinn,single,2025-06-12,0.00493842627736301
iran_june_2025,pinn,single,2025-06-13,0.00394297484800432
iran_june_2025,pinn,single,2025-06-16,0.0037364606633210292
iran_june_2025,pinn,single,2025-06-17,0.0042460594887007794
iran_june_2025,pinn,single,2025-06-18,0.004105177830190891
iran_june_2025,pinn,single,2025-06-19,0.00377395705877724
iran_june_2025,pinn,single,2025-06-20,0.004442078696622075
iran_june_2025,pinn,single,2025-06-23,0.003996218600174416
iran_june_2025,pinn,single,2025-06-24,0.004839867584110837
iran_june_2025,pinn,single,2025-06-25,0.003879748394478597
iran_june_2025,pinn,single,2025-06-26,0.004067633007703091
iran_june_2025,pinn,single,2025-06-27,0.005321520303140845
iran_june_2025,pinn,single,2025-06-30,0.004534505137091312
iran_june_2025,pinn,double,2025-06-02,0.0043490803148828585
iran_june_2025,pinn,double,2025-06-03,0.004544477297524055
iran_june_2025,pinn,double,2025-06-04,0.0031076866766790016
iran_june_2025,pinn,double,2025-06-05,0.003008116638161479
iran_june_2025,pinn,double,2025-06-06,0.0034175062124634516
iran_june_2025,pinn,double,2025-06-09,0.0034992193625486613
