window,date,expiry,tau,status,forward_from_anchor_parity,discount_from_anchor_parity,parity_nrmse,pairs,anchor_pairs,potential_heldout_pairs_before_further_cleaning
covid_march_2020,2020-03-02,2020-03-05,0.00821917808219178,outside_tau,,,,,,
covid_march_2020,2020-03-02,2020-03-12,0.0273972602739726,anchor_parity_failed,,,,,,
covid_march_2020,2020-03-02,2020-03-19,0.04657534246575343,insufficient_pairs,,,,,,
covid_march_2020,2020-03-02,2020-03-26,0.06575342465753424,carry_accepted,11114.207334091232,0.9935126560494016,0.005588337164736715,58.0,39.0,19.0
covid_march_2020,2020-03-02,2020-04-01,0.0821917808219178,insufficient_pairs,,,,,,
covid_march_2020,2020-03-02,2020-04-30,0.16164383561643836,carry_accepted,11163.927101507907,0.9699045395856115,0.005997830337363982,18.0,12.0,6.0
covid_march_2020,2020-03-02,2020-05-28,0.23835616438356164,insufficient_pairs,,,,,,
covid_march_2020,2020-03-02,2020-06-25,0.3150684931506849,outside_tau,,,,,,
covid_march_2020,2020-03-02,2020-09-24,0.5643835616438356,outside_tau,,,,,,
covid_march_2020,2020-03-02,2020-12-31,0.8328767123287671,outside_tau,,,,,,
covid_march_2020,2020-03-02,2021-06-24,1.3123287671232877,outside_tau,,,,,,
covid_march_2020,2020-03-02,2021-12-30,1.83013698630137,outside_tau,,,,,,
covid_march_2020,2020-03-02,2022-12-29,2.8273972602739725,outside_tau,,,,,,
covid_march_2020,2020-03-03,2020-03-05,0.005479452054794521,outside_tau,,,,,,
covid_march_2020,2020-03-03,2020-03-12,0.024657534246575342,carry_accepted,11304.495456326931,1.0006725510774104,0.0030715363517902156,13.0,9.0,4.0
covid_march_2020,2020-03-03,2020-03-19,0.043835616438356165,insufficient_pairs,,,,,,
covid_march_2020,2020-03-03,2020-03-26,0.06301369863013699,carry_accepted,11287.752055627217,0.9886724434331952,0.0034632367625799707,60.0,40.0,20.0
covid_march_2020,2020-03-03,2020-04-30,0.1589041095890411,carry_accepted,11339.804518738929,0.9836372582641942,0.003411657677303146,19.0,13.0,6.0
covid_march_2020,2020-03-03,2020-05-28,0.2356164383561644,insufficient_pairs,,,,,,
covid_march_2020,2020-03-03,2020-06-25,0.31232876712328766,outside_tau,,,,,,
covid_march_2020,2020-03-03,2020-09-24,0.5616438356164384,outside_tau,,,,,,
covid_march_2020,2020-03-03,2020-12-31,0.8301369863013699,outside_tau,,,,,,
covid_march_2020,2020-03-03,2021-06-24,1.3095890410958904,outside_tau,,,,,,
covid_march_2020,2020-03-03,2021-12-30,1.8273972602739725,outside_tau,,,,,,
