run,selected_step,case,factor,parameter,truth,estimate,signed_error,relative_error,training_scaled_error,absolute_gate_tolerance,absolute_error_in_gate_units,parameter_pass,optimizer_success
single_standard_s17,6000,0,1,kappa,0.8087270559406925,0.8306549366013922,0.021927880660699728,0.027114068336929482,0.027114068336929482,0.04043635279703463,0.5422813667385896,True,True
single_standard_s17,6000,0,1,theta,0.19157426342223838,0.1907404459204901,-0.0008338175017482685,-0.004352450516333172,-0.004352450516333172,0.009578713171111919,0.08704901032666344,True,True
single_standard_s17,6000,0,1,sigma,0.41637594908475606,0.41960215946884677,0.003226210384090711,0.007748311090451564,0.007748311090451564,0.020818797454237804,0.15496622180903127,True,True
single_standard_s17,6000,0,1,rho,-0.5596579917993935,-0.5641436271776828,-0.004485635378289388,,-0.008971270756578775,0.05,0.08971270756578775,True,True
single_standard_s17,6000,0,1,v0,0.10300489376829854,0.1034324606743831,0.00042756690608455883,0.004150937789871782,0.004150937789871782,0.0051502446884149275,0.08301875579743563,True,True
single_standard_s17,6000,1,1,kappa,4.732737393551844,4.765891796750153,0.03315440319830909,0.007005333370805778,0.007005333370805778,0.2366368696775922,0.14010666741611555,True,True
single_standard_s17,6000,1,1,theta,0.05442036764868274,0.05475350970627546,0.0003331420575927238,0.006121642906629419,0.006121642906629419,0.002721018382434137,0.12243285813258839,True,True
single_standard_s17,6000,1,1,sigma,0.1932663695083855,0.20528574538946787,0.012019375881082373,0.06219072625856343,0.06219072625856343,0.009663318475419276,1.2438145251712684,False,True
single_standard_s17,6000,1,1,rho,0.007835175233545266,0.0024623077713971098,-0.0053728674621481565,,-0.010745734924296313,0.05,0.10745734924296313,True,True
single_standard_s17,6000,1,1,v0,0.12074041098351652,0.12092599134623128,0.00018558036271475176,0.0015370194717996047,0.0015370194717996047,0.006037020549175827,0.03074038943599209,True,True
single_standard_s17,6000,2,1,kappa,0.8074826085608363,0.7885015297833818,-0.018981078777454474,-0.023506486178425757,-0.023506486178425757,0.04037413042804182,0.4701297235685151,True,True
single_standard_s17,6000,2,1,theta,0.08537081838429766,0.08479666227249617,-0.000574156111801491,-0.006725437598793079,-0.006725437598793079,0.004268540919214883,0.13450875197586157,True,True
single_standard_s17,6000,2,1,sigma,0.10430251958321533,0.09631203895925199,-0.007990480623963347,-0.07660870184049896,-0.07660870184049896,0.005215125979160767,1.532174036809979,False,True
