case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,parameter_gate,neural_price_gate,exact_price_gate,joint_recovery_gate,status,seconds,optimizer_success,total_nfev,max_positive_parameter_relative_error,max_rho_absolute_error,fitted_quadrature_max_error_spot,neural_all_price_rmse_spot,neural_holdout_price_rmse_spot,neural_all_iv_rmse,neural_holdout_iv_rmse,neural_invalid_iv_quotes,exact_all_price_rmse_spot,exact_holdout_price_rmse_spot,exact_all_iv_rmse,exact_holdout_iv_rmse,exact_invalid_iv_quotes,interpretation,sigma
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,deep17_adam909121,False,True,False,False,fitted,1.1346333750407211,True,304,0.461635484859515,0.19738341030591577,1.971756091734278e-14,5.3714427667047656e-06,5.367958099394996e-06,2.031560545258111e-05,2.3574160202035053e-05,0,3.094706921960303e-05,3.2163482476406195e-05,0.00013079523754895973,0.00013217437213491025,0,,
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.008515242651232558,0.008612536436631167,0.021728571725664437,0.021763899045394493,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.4032223181928894
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,False,True,False,False,fitted,0.8452728749834932,True,225,1.3839187317972805,0.1231840612131968,1.4721557306529575e-14,4.839841591324092e-06,5.138086432003075e-06,2.6604082767166193e-05,2.7985460634496523e-05,0,1.895864786860071e-05,1.9707259146601696e-05,6.181747113249579e-05,6.187799648714907e-05,0,,
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.00461458908983762,0.004603775979009116,0.01374995946925235,0.01388896384548565,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2898523470338107
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,False,True,False,False,fitted,0.6052534580230713,True,161,0.16935147477955947,0.014235592359677085,1.412203687323199e-14,2.619686148787845e-06,2.6746764478498394e-06,2.0716107468722892e-05,2.3452627246266688e-05,0,2.968133023460429e-05,2.9338791401693334e-05,8.137837996673636e-05,8.049409469083157e-05,0,,
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.006470134734364843,0.0064810981562884755,0.01703483978779625,0.01712129749165152,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2680041051608765
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,deep17_adam909121,False,False,False,False,fitted,0.7358398750075139,True,195,0.4993941387396601,0.09036952035683865,1.871836019518014e-14,1.0931647087553278e-05,1.1522939506236294e-05,4.9778783591999105e-05,4.926325546875798e-05,0,2.1764805385953e-05,2.143122072053545e-05,5.6382959496624605e-05,5.448004028249555e-05,0,,
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.009291263714905075,0.009374396937810043,0.02804965041543939,0.028103456561296734,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.346648635820472
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,deep17_adam909121,False,True,False,False,fitted,0.7416787500260398,True,197,0.3462931685264976,0.29568797178008155,1.0658141036401503e-14,9.075341192594941e-06,8.979290903966697e-06,5.5652083584449944e-05,5.779576629271293e-05,0,2.4068428490767147e-05,2.4322405112688226e-05,0.00012788334343215836,0.00014451666874804034,0,,
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.004509628238175764,0.004618349235765201,0.013967329741008136,0.013350159350608131,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2274940565457262
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,deep17_adam909121,False,True,False,False,fitted,0.555509792000521,True,145,0.26920864949107504,0.02810709604414663,1.858513343222512e-14,2.2200197719458793e-06,2.1816034793636126e-06,1.3111733719526466e-05,1.3081921057946708e-05,0,3.7469003842057474e-05,3.6375013085528365e-05,9.554266336764158e-05,8.957573607035425e-05,0,,
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.010022194065732305,0.010190170966842485,0.02637276538844766,0.02629654483814548,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3845557567528689
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,deep17_adam909121,False,True,False,False,fitted,0.5641408750088885,True,151,0.1757366538008176,0.04868769387621008,1.6053824936079763e-14,6.792615606030752e-06,7.589267034734248e-06,2.5447726791340587e-05,2.5226448703196552e-05,0,4.3279788341790594e-05,4.125955773169267e-05,9.881904934894144e-05,9.30191273944147e-05,0,,
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.008624755940071815,0.008715813648237638,0.02448759344878799,0.024689079522244414,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3582418544351516
f2_907931_007,2,rich,0.0,126,84,42,0,1.4588330543574558e-14,deep17_adam909121,False,False,False,False,fitted,0.9921955419704318,True,264,0.12421802655703273,0.1846333178993721,1.4854784069484593e-14,1.41228618800364e-05,1.5842244144104474e-05,5.0918825582941105e-05,5.7562533259734285e-05,0,7.67563746306859e-05,8.254546023309004e-05,0.00021693567508227935,0.00022842150999856047,0,,
f2_907931_007,2,rich,0.0,126,84,42,0,1.4588330543574558e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.01089604474295239,0.010815736511990645,0.03275266071482191,0.03316889673749112,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.26849848657112196
f2_907931_008,2,rich,0.0,126,84,42,0,2.0383694732117873e-14,deep17_adam909121,False,True,False,False,fitted,0.812779666041024,True,216,0.12369059971848906,0.17193388335555998,2.1382895454280514e-14,9.164160633933268e-06,9.862797957705949e-06,2.9665424470875788e-05,3.0706813996221935e-05,0,8.829611051267614e-05,8.460452093738872e-05,0.0001964874910575413,0.00018779492190790516,0,,
f2_907931_008,2,rich,0.0,126,84,42,0,2.0383694732117873e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.007302404243492194,0.007264053195456979,0.02509906701564248,0.025372046985955885,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.4637344184268534
f2_907931_009,2,rich,0.0,126,84,42,0,1.8984813721090177e-14,deep17_adam909121,False,True,False,False,fitted,1.2616091669769958,True,330,0.7919111898447826,0.02637243233206199,1.8318679906315083e-14,7.985967380342905e-06,7.943328826725142e-06,3.21719990718906e-05,3.4231213330230805e-05,0,1.2311517744036874e-05,1.244577613159487e-05,5.992508698798993e-05,6.186106806636652e-05,0,,
f2_907931_009,2,rich,0.0,126,84,42,0,1.8984813721090177e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.015602027260109574,0.01575319494692532,0.0436768168163947,0.0437109863796254,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3222961307097764
f2_907931_010,2,rich,0.0,126,84,42,0,1.525446435834965e-14,deep17_adam909121,False,True,False,False,fitted,1.0698809589957818,True,286,0.5698217684605631,0.2515395493873471,1.5520917884259687e-14,8.41668668611951e-06,8.773692048172915e-06,3.483846793993645e-05,3.483892331760684e-05,0,1.9996352819480506e-05,2.156107051911197e-05,7.376715678230777e-05,7.236662124512028e-05,0,,
f2_907931_010,2,rich,0.0,126,84,42,0,1.525446435834965e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.018233318326865523,0.01852654809833684,0.04452385595654117,0.04439842449827666,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3969483905443819
f2_907931_011,2,rich,0.0,126,84,42,0,1.3855583347321953e-14,deep17_adam909121,False,False,False,False,fitted,0.6295527499751188,True,184,2.071651761092353,0.06527635465730819,1.3589129821411915e-14,1.202334864746471e-05,1.201452789643133e-05,4.9454213660898684e-05,4.780006364562742e-05,0,3.387837062065172e-05,3.460947770068123e-05,0.0001313687266818868,0.00013284610846001765,0,,
f2_907931_011,2,rich,0.0,126,84,42,0,1.3855583347321953e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.0015075441177687654,0.0014789788838711646,0.006694162847659304,0.0072150032932131215,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2890684303015667
