case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,factor,parameter,truth,estimate,absolute_error,relative_error,parameter_pass
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,deep17_adam909121,1,kappa,0.41794635285563697,0.42179824670117694,0.0038518938455399665,0.009216239881558317,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,deep17_adam909121,1,theta,0.02744775838222551,0.014776899133140021,0.01267085924908549,0.46163548485951494,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,deep17_adam909121,1,sigma,0.035353739296332155,0.02520743475006677,0.010146304546265385,0.2869938158795563,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,deep17_adam909121,1,rho,-0.2636337189555912,-0.46101712926150695,0.19738341030591577,,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,deep17_adam909121,1,v0,0.12092989002661622,0.10766993446097217,0.01325995556564405,0.10964994314247356,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,deep17_adam909121,2,kappa,10.645222707957492,10.582780184620955,0.06244252333653755,0.005865778955461463,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,deep17_adam909121,2,theta,0.04221406652547318,0.055349411821381624,0.013135345295908443,0.31116038745005054,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,deep17_adam909121,2,sigma,0.394567596694371,0.27093304714614025,0.12363454954823078,0.3133418724295222,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,deep17_adam909121,2,rho,0.09826367912974099,0.115731091601871,0.017467412472130017,,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,deep17_adam909121,2,v0,0.078565727680909,0.09201528816417551,0.01344956048326651,0.17118864523079663,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,1,kappa,2.264051600086165,2.870215130893117,0.6061635308069522,0.26773397337051985,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,1,theta,0.03201432983481975,0.06491202615048934,0.03289769631566959,1.0275928462475283,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,1,sigma,0.19382559910831057,0.23155763525497067,0.0377320361466601,0.19467003491925375,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,1,rho,-0.377042169298927,-0.25385810808573017,0.1231840612131968,,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,1,v0,0.01802161803024638,0.04296207279959996,0.024940454769353578,1.3839187317972805,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,2,kappa,5.198657904196243,6.471429167689465,1.2727712634932216,0.2448268931998523,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,2,theta,0.06959367656961139,0.03647558409315873,0.033118092476452664,0.4758778973737095,False
