case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,parameter_gate,neural_price_gate,exact_price_gate,joint_recovery_gate,status,seconds,optimizer_success,total_nfev,max_positive_parameter_relative_error,max_rho_absolute_error,fitted_quadrature_max_error_spot,neural_all_price_rmse_spot,neural_holdout_price_rmse_spot,neural_all_iv_rmse,neural_holdout_iv_rmse,neural_invalid_iv_quotes,exact_all_price_rmse_spot,exact_holdout_price_rmse_spot,exact_all_iv_rmse,exact_holdout_iv_rmse,exact_invalid_iv_quotes,interpretation,sigma
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_extended909111,False,True,False,False,fitted,1.040333874989301,True,308,0.48442420712169065,0.20258698950064308,1.758593271006248e-14,5.5456568778058064e-06,5.564252935767382e-06,2.1286810318047775e-05,2.481301065252033e-05,0,2.7349684686458858e-05,2.8220953640679073e-05,0.0001485187443902149,0.000148512558799286,0,,
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.008515242651232558,0.008612536436631167,0.021728571725664437,0.021763899045394493,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.4032223181928894
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_extended909111,False,True,False,False,fitted,0.8458553340169601,True,246,1.3824590719556538,0.12188912781893968,1.4521717162097046e-14,4.813612715643454e-06,5.106564676265074e-06,2.6804538903984476e-05,2.8156688594632648e-05,0,2.146644274237927e-05,2.219583873408941e-05,6.87764979643469e-05,6.91640154620891e-05,0,,
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.00461458908983762,0.004603775979009116,0.01374995946925235,0.01388896384548565,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2898523470338107
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_float64_extended909111,False,True,False,False,fitted,0.5868381659965962,True,173,0.17630129882414858,0.013997473254688031,1.3589129821411915e-14,2.5462150099586206e-06,2.592131610460355e-06,1.9443545422470233e-05,2.2209437055006044e-05,0,2.636094137448356e-05,2.624159032726888e-05,7.49696597906318e-05,7.491558107391033e-05,0,,
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.006470134734364843,0.0064810981562884755,0.01703483978779625,0.01712129749165152,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2680041051608765
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_float64_extended909111,False,False,False,False,fitted,0.6114247919758782,True,177,0.49796763015603307,0.08958584335608688,1.8118839761882553e-14,1.0802305445112844e-05,1.1386329801779464e-05,4.9357457219764764e-05,4.9021080983098296e-05,0,2.199317020808388e-05,2.1826163104833697e-05,5.709365113040799e-05,5.5516524379551786e-05,0,,
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.009291263714905075,0.009374396937810043,0.02804965041543939,0.028103456561296734,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.346648635820472
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_float64_extended909111,False,True,False,False,fitted,0.6604010000010021,True,198,0.33788026710080354,0.29568797178008155,9.72555369571637e-15,9.048168728252775e-06,8.92901153019932e-06,5.593544059131443e-05,5.798051662358349e-05,0,2.510900490433716e-05,2.5301167005808167e-05,0.00012117673206126498,0.00013495460149169302,0,,
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.004509628238175764,0.004618349235765201,0.013967329741008136,0.013350159350608131,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2274940565457262
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,double_float64_extended909111,False,True,False,False,fitted,0.5192783329985105,True,154,0.2856886397824965,0.0340249561787061,1.745270594710746e-14,2.1950542294043424e-06,2.1567392662194467e-06,1.2787352143655578e-05,1.2758340571560684e-05,0,4.010268630320363e-05,3.893653064242384e-05,0.00010736711135213485,0.00010124588358020748,0,,
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.010022194065732305,0.010190170966842485,0.02637276538844766,0.02629654483814548,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3845557567528689
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,double_float64_extended909111,False,True,False,False,fitted,0.4863191659678705,True,143,0.1780640477735388,0.05042830961980238,1.538769112130467e-14,6.672804841280939e-06,7.447804609008662e-06,2.532072498326926e-05,2.494354601614454e-05,0,4.446622305360376e-05,4.285239691471814e-05,0.00010372468062888471,9.913139815728146e-05,0,,
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.008624755940071815,0.008715813648237638,0.02448759344878799,0.024689079522244414,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3582418544351516
f2_907931_007,2,rich,0.0,126,84,42,0,1.4588330543574558e-14,double_float64_extended909111,False,False,False,False,fitted,0.8943321249680594,True,257,0.12555147053396976,0.18191818104933255,1.4721557306529575e-14,1.4031755799622762e-05,1.575215717129761e-05,4.949466758467954e-05,5.583462677532614e-05,0,7.9766126538788e-05,8.579195026055496e-05,0.00022846092074194248,0.00024127369017769998,0,,
f2_907931_007,2,rich,0.0,126,84,42,0,1.4588330543574558e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.01089604474295239,0.010815736511990645,0.03275266071482191,0.03316889673749112,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.26849848657112196
