case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,factor,parameter,truth,estimate,absolute_error,relative_error,parameter_pass
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_extended909111,1,kappa,0.41794635285563697,0.4205611492567459,0.002614796401108954,0.0062562967310116286,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_extended909111,1,theta,0.02744775838222551,0.01415139979064818,0.013296358591577332,0.48442420712169065,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_extended909111,1,sigma,0.035353739296332155,0.024978639211329045,0.01037510008500311,0.2934654237855823,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_extended909111,1,rho,-0.2636337189555912,-0.46622070845623426,0.20258698950064308,,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_extended909111,1,v0,0.12092989002661622,0.1072379776491758,0.013691912377440427,0.11322190381903835,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_extended909111,2,kappa,10.645222707957492,10.570301881072222,0.07492082688527013,0.007037976465186162,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_extended909111,2,theta,0.04221406652547318,0.055796275011068305,0.013582208485595125,0.3217460340476611,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_extended909111,2,sigma,0.394567596694371,0.2673742964200846,0.12719330027428644,0.3223612413687619,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_extended909111,2,rho,0.09826367912974099,0.1143736036405808,0.016109924510839813,,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_float64_extended909111,2,v0,0.078565727680909,0.09245908867907758,0.013893360998168583,0.17683742527779817,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_extended909111,1,kappa,2.264051600086165,2.8820919237009015,0.6180403236147365,0.27297978702924225,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_extended909111,1,theta,0.03201432983481975,0.064966037601934,0.03295170776711426,1.0292799486083568,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_float64_extended909111,1,sigma,0.19382559910831057,0.23280523809290202,0.03897963898459145,0.20110676383262183,False
