case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,parameter_gate,neural_price_gate,exact_price_gate,joint_recovery_gate,status,seconds,optimizer_success,total_nfev,max_positive_parameter_relative_error,max_rho_absolute_error,fitted_quadrature_max_error_spot,neural_all_price_rmse_spot,neural_holdout_price_rmse_spot,neural_all_iv_rmse,neural_holdout_iv_rmse,neural_invalid_iv_quotes,exact_all_price_rmse_spot,exact_holdout_price_rmse_spot,exact_all_iv_rmse,exact_holdout_iv_rmse,exact_invalid_iv_quotes,interpretation,sigma
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_lbfgs908021,False,True,False,False,fitted,0.9009792919969186,True,268,0.39247406253213135,0.25389193108625807,1.7519319328584968e-14,4.861450333629566e-06,4.848785468743294e-06,1.8951625773763162e-05,2.226739396961842e-05,0,3.597500548764918e-05,3.663835798860762e-05,0.00018743911223556933,0.00018743231644176658,0,,
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.008515242651232558,0.008612536436631167,0.021728571725664437,0.021763899045394493,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.4032223181928894
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_lbfgs908021,False,True,False,False,fitted,0.8182369589922018,True,247,1.383680336413447,0.11899554694360659,1.4921397450962105e-14,4.908569585158796e-06,5.145719532668023e-06,2.5132775454524587e-05,2.5584135819659275e-05,0,2.4204077435239072e-05,2.4761299948073458e-05,8.511835902467173e-05,8.595984074053072e-05,0,,
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.00461458908983762,0.004603775979009116,0.01374995946925235,0.01388896384548565,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2898523470338107
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_lbfgs908021,False,True,False,False,fitted,0.5432228749850765,True,164,0.19556888180859877,0.014704610025092435,1.4588330543574558e-14,2.4800062950900236e-06,2.5173389273014072e-06,2.225243937233969e-05,2.4030918076976314e-05,0,2.6466988006098854e-05,2.6404372708317076e-05,7.739901642371431e-05,7.813605457432565e-05,0,,
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.006470134734364843,0.0064810981562884755,0.01703483978779625,0.01712129749165152,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2680041051608765
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_lbfgs908021,False,False,False,False,fitted,0.7278079579991754,True,219,0.5020439602938931,0.07785917914376095,1.7985612998927536e-14,1.0554590583596666e-05,1.1075297370939903e-05,5.2524303174169296e-05,5.1294004833236974e-05,0,2.7979363555163768e-05,2.9506512716509834e-05,6.714189569957134e-05,6.966877521185407e-05,0,,
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.009291263714905075,0.009374396937810043,0.02804965041543939,0.028103456561296734,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.346648635820472
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_lbfgs908021,False,True,False,False,fitted,0.7142607910209335,True,216,0.25672803053637683,0.24226337375157458,1.0325074129013956e-14,9.27742084726039e-06,9.081442364803149e-06,5.8586649385049516e-05,5.8867921399907256e-05,0,2.41066366858019e-05,2.4035186605806907e-05,0.00010767072499834739,0.00011640421590978057,0,,
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.004509628238175764,0.004618349235765201,0.013967329741008136,0.013350159350608131,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2274940565457262
