case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,factor,parameter,truth,estimate,absolute_error,relative_error,parameter_pass
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_lbfgs908021,1,kappa,0.41794635285563697,0.4264775599482977,0.008531207092660753,0.020412206098631803,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_lbfgs908021,1,theta,0.02744775838222551,0.016675225142553103,0.010772533239672408,0.39247406253213135,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_lbfgs908021,1,sigma,0.035353739296332155,0.02168867830829263,0.013665060988039525,0.38652378107730273,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_lbfgs908021,1,rho,-0.2636337189555912,-0.5175256500418493,0.25389193108625807,,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_lbfgs908021,1,v0,0.12092989002661622,0.10909623537775315,0.011833654648863073,0.09785549830780901,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_lbfgs908021,2,kappa,10.645222707957492,10.551122376761159,0.09410033119633354,0.008839677081249966,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_lbfgs908021,2,theta,0.04221406652547318,0.05399136864025862,0.011777302114785441,0.2789899927712171,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_lbfgs908021,2,sigma,0.394567596694371,0.2716729684899154,0.12289462820445562,0.3114666009932104,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_lbfgs908021,2,rho,0.09826367912974099,0.11955737220329543,0.021293693073554443,,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,double_lbfgs908021,2,v0,0.078565727680909,0.09064928413764567,0.012083556456736672,0.15380187791060076,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_lbfgs908021,1,kappa,2.264051600086165,2.876919568393401,0.6128679683072358,0.27069522986309646,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_lbfgs908021,1,theta,0.03201432983481975,0.06474846659528263,0.032734136760462884,1.0224838979718467,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_lbfgs908021,1,sigma,0.19382559910831057,0.22943750123754533,0.03561190212923476,0.1837316757593752,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_lbfgs908021,1,rho,-0.377042169298927,-0.2580466223553204,0.11899554694360659,,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_lbfgs908021,1,v0,0.01802161803024638,0.04295777652905233,0.02493615849880595,1.383680336413447,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_lbfgs908021,2,kappa,5.198657904196243,6.420584563486895,1.2219266592906521,0.2350465604409822,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_lbfgs908021,2,theta,0.06959367656961139,0.036618022103943625,0.03297565446566777,0.47383118827877585,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_lbfgs908021,2,sigma,0.3851993238399047,0.483537340703296,0.09833801686339133,0.2552912499510572,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_lbfgs908021,2,rho,-0.1625172632053115,-0.15946154946709562,0.0030557137382158928,,True
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,double_lbfgs908021,2,v0,0.0508665188038253,0.025876920964877995,0.024989597838947303,0.4912779255707198,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_lbfgs908021,1,kappa,0.5413664621545508,0.606392397425485,0.06502593527093425,0.1201144507772823,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_lbfgs908021,1,theta,0.07670183511204548,0.07195628307502966,0.004745552037015821,0.06187012383841343,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_lbfgs908021,1,sigma,0.22237733439316373,0.2658674210200116,0.04349008662684786,0.19556888180859866,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_lbfgs908021,1,rho,-0.19243819873003332,-0.17832938423494393,0.014108814495089383,,True
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_lbfgs908021,1,v0,0.02548825509320404,0.022120790631340658,0.0033674644618633814,0.13211828152023056,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_lbfgs908021,2,kappa,5.926389773530275,6.222116616115099,0.2957268425848243,0.04989999879954969,True
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_lbfgs908021,2,theta,0.04589284862259441,0.048289797325488146,0.002396948702893739,0.052229242133242745,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_lbfgs908021,2,sigma,0.28342663885119646,0.23982627134455167,0.04360036750664478,0.15383299072863676,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_lbfgs908021,2,rho,-0.11781375559119167,-0.1325183656162841,0.014704610025092435,,True
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,double_lbfgs908021,2,v0,0.031168726973133713,0.03450400384894784,0.0033352768758141277,0.10700715748477674,False
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_lbfgs908021,1,kappa,0.6951931695873577,0.5604159331162841,0.13477723647107354,0.19387019661178861,False
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_lbfgs908021,1,theta,0.06524374237769252,0.06527436202256433,3.061964487180435e-05,0.0004693115961152086,True
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_lbfgs908021,1,sigma,0.08148234548597896,0.04057462606416286,0.040907719421816105,0.5020439602938931,False
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_lbfgs908021,1,rho,-0.09092095830577851,-0.013061779162017562,0.07785917914376095,,False
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_lbfgs908021,1,v0,0.040250554619082994,0.038895232898326644,0.00135532172075635,0.0336721253553556,True
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_lbfgs908021,2,kappa,9.075048238213656,8.911036977202563,0.1640112610110922,0.01807277016120593,True
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_lbfgs908021,2,theta,0.10019726807186503,0.10252406283767478,0.002326794765809742,0.023222137794624124,True
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_lbfgs908021,2,sigma,0.4818156482121311,0.47621292226318407,0.005602725948947007,0.011628360286215259,True
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_lbfgs908021,2,rho,-0.02876963086944273,-0.04375637992631276,0.01498674905687003,,True
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,double_lbfgs908021,2,v0,0.029568408900717748,0.03111549250309178,0.0015470836023740338,0.052322179646821634,False
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_lbfgs908021,1,kappa,1.3096182537738656,1.3558659943435416,0.046247740569675955,0.03531390955830526,True
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_lbfgs908021,1,theta,0.010269793396558069,0.010342836445121491,7.304304856342245e-05,0.007112416554348883,True
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_lbfgs908021,1,sigma,0.051733886814794655,0.03845234794084059,0.013281538873954064,0.25672803053637683,False
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_lbfgs908021,1,rho,-0.5043010282199185,-0.7465644019714931,0.24226337375157458,,False
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_lbfgs908021,1,v0,0.025705728103822486,0.025978649944471053,0.000272921840648567,0.010617160484475172,True
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_lbfgs908021,2,kappa,10.76460811104193,11.30652173397026,0.5419136229283303,0.05034215991313755,False
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_lbfgs908021,2,theta,0.027780914211058733,0.027822337482875905,4.14232718171717e-05,0.0014910694263863486,True
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_lbfgs908021,2,sigma,0.38655576592907354,0.3872723009201117,0.0007165349910381869,0.001853639381929848,True
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_lbfgs908021,2,rho,-0.48724405038991536,-0.49464779083389665,0.007403740443981288,,True
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,double_lbfgs908021,2,v0,0.0360514798894443,0.03587938709944757,0.00017209278999673339,0.004773529145668201,True
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,double_lbfgs908021,1,kappa,1.157870522203142,1.103029343315171,0.05484117888797102,0.04736382681512764,True
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,double_lbfgs908021,1,theta,0.05949347045443697,0.04822138640155273,0.01127208405288424,0.18946758302689634,False
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,double_lbfgs908021,1,sigma,0.1308939519784662,0.1470205783355019,0.016126626357035684,0.12320375474405974,False
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,double_lbfgs908021,1,rho,-0.4189749408438433,-0.43082890847822125,0.01185396763437796,,True
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,double_lbfgs908021,1,v0,0.10933937180896589,0.09797818721948791,0.011361184589477977,0.10390753487524934,False
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,double_lbfgs908021,2,kappa,8.519379386079123,8.430921604285905,0.08845778179321862,0.010383125082768448,True
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,double_lbfgs908021,2,theta,0.037819706204836934,0.0485727770622799,0.010753070857442967,0.2843245476102537,False
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,double_lbfgs908021,2,sigma,0.24282486798263508,0.19702779993067218,0.0457970680519629,0.18860122701781082,False
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,double_lbfgs908021,2,rho,-0.1259270520006866,-0.11356767773879406,0.012359374261892542,,True
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,double_lbfgs908021,2,v0,0.08007233835795266,0.09138118576656902,0.01130884740861636,0.1412328856697262,False
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,double_lbfgs908021,1,kappa,1.0394954815517492,0.8459454962064099,0.1935499853453393,0.18619608144559674,False
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,double_lbfgs908021,1,theta,0.03501114869972472,0.04009803688576566,0.005086888186040937,0.14529338153594867,False
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,double_lbfgs908021,1,sigma,0.20339735782340074,0.20904655111396242,0.005649193290561683,0.027774172442626227,True
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,double_lbfgs908021,1,rho,-0.2436448631745749,-0.19823224498695668,0.045412618187618214,,True
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,double_lbfgs908021,1,v0,0.05317975677419807,0.05687173835844073,0.003691981584242658,0.06942456694412612,False
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,double_lbfgs908021,2,kappa,6.93534957895659,6.784047069354115,0.15130250960247515,0.021816133113399357,True
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,double_lbfgs908021,2,theta,0.0588716824364385,0.053594143321778975,0.005277539114659523,0.08964478160374438,False
f2_907931_006,2,rich,0.0,126,84,42,0,1.4854784069484593e-14,double_lbfgs908021,2,sigma,0.35774678738849497,0.34421778568142225,0.013529001707072719,0.037817255623265475,True
