case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,parameter_gate,neural_price_gate,exact_price_gate,joint_recovery_gate,status,seconds,optimizer_success,total_nfev,max_positive_parameter_relative_error,max_rho_absolute_error,fitted_quadrature_max_error_spot,neural_all_price_rmse_spot,neural_holdout_price_rmse_spot,neural_all_iv_rmse,neural_holdout_iv_rmse,neural_invalid_iv_quotes,exact_all_price_rmse_spot,exact_holdout_price_rmse_spot,exact_all_iv_rmse,exact_holdout_iv_rmse,exact_invalid_iv_quotes,interpretation,sigma
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,shallow5_control909121,False,True,False,False,fitted,0.6034211249789223,True,292,0.45887289338005177,0.1991078975626681,1.8784973576657647e-14,5.410756735479868e-06,5.4039492513089825e-06,2.04300131730249e-05,2.3694251601277593e-05,0,2.9919779879510244e-05,3.107994281906251e-05,0.00013329977896089107,0.00013441587956857686,0,,
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.008515242651232558,0.008612536436631167,0.021728571725664437,0.021763899045394493,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.4032223181928894
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,False,True,False,False,fitted,0.48108787497039884,True,228,1.3840560323293154,0.12324509422416063,1.4455103780619537e-14,4.834790717821805e-06,5.137450340053413e-06,2.6537221241592033e-05,2.792364865776398e-05,0,2.010757259878609e-05,2.0890169442911418e-05,6.487993027001425e-05,6.487174753273027e-05,0,,
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.00461458908983762,0.004603775979009116,0.01374995946925235,0.01388896384548565,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2898523470338107
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,False,True,False,False,fitted,0.3336384579888545,True,161,0.17018388465636924,0.01434999416138727,1.3722356584366934e-14,2.6026767091722088e-06,2.656364574168511e-06,2.0690835373955947e-05,2.3460831406285268e-05,0,2.8652259660326196e-05,2.8378979608443237e-05,7.88740490724562e-05,7.831849769987132e-05,0,,
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.006470134734364843,0.0064810981562884755,0.01703483978779625,0.01712129749165152,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2680041051608765
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,shallow5_control909121,False,False,False,False,fitted,0.39296241698320955,True,191,0.4993133239235128,0.08999318553374747,1.758593271006248e-14,1.0927347873377218e-05,1.1518383019862767e-05,4.988162709185444e-05,4.933982459691095e-05,0,2.2020644403169337e-05,2.1913127656082345e-05,5.62912429737631e-05,5.492305939568889e-05,0,,
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.009291263714905075,0.009374396937810043,0.02804965041543939,0.028103456561296734,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.346648635820472
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,shallow5_control909121,False,True,False,False,fitted,0.37477754201972857,True,198,0.34690261219919205,0.29568797178008155,1.099120794378905e-14,9.072733887084806e-06,8.974259038730913e-06,5.560478076521378e-05,5.7727636555126127e-05,0,2.515052675820342e-05,2.5420204429524826e-05,0.00012868252328454078,0.00014491905888206177,0,,
f2_907931_004,2,rich,0.0,126,84,42,0,1.099120794378905e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.004509628238175764,0.004618349235765201,0.013967329741008136,0.013350159350608131,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2274940565457262
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,shallow5_control909121,False,True,False,False,fitted,0.291356458037626,True,156,0.26982611570825,0.02869118793761355,1.738609256562995e-14,2.2179136310508173e-06,2.17987324418952e-06,1.3021445271551279e-05,1.297866888547832e-05,0,3.9174414043138874e-05,3.810680055966668e-05,0.00010030468878372471,9.440441565002511e-05,0,,
f2_907931_005,2,rich,0.0,126,84,42,0,1.5987211554602254e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.010022194065732305,0.010190170966842485,0.02637276538844766,0.02629654483814548,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3845557567528689
