case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,factor,parameter,truth,estimate,absolute_error,relative_error,parameter_pass
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,shallow5_control909121,1,kappa,0.41794635285563697,0.4218142934183935,0.003867940562756522,0.009254634084802146,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,shallow5_control909121,1,theta,0.02744775838222551,0.014852726076577122,0.01259503230564839,0.45887289338005177,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,shallow5_control909121,1,sigma,0.035353739296332155,0.025117044166284207,0.010236695130047949,0.2895505633575223,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,shallow5_control909121,1,rho,-0.2636337189555912,-0.4627416165182593,0.1991078975626681,,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,shallow5_control909121,1,v0,0.12092989002661622,0.10774705279477355,0.013182837231842673,0.10901223203743243,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,shallow5_control909121,2,kappa,10.645222707957492,10.582606911768082,0.06261579618941049,0.005882056008335464,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,shallow5_control909121,2,theta,0.04221406652547318,0.055278152802130914,0.013064086276657734,0.3094723477723827,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,shallow5_control909121,2,sigma,0.394567596694371,0.2703587386289595,0.12420885806541154,0.3147974114093884,False
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,shallow5_control909121,2,rho,0.09826367912974099,0.1163896995310707,0.018126020401329712,,True
f2_907931_000,2,rich,0.0,126,84,42,0,1.8318679906315083e-14,shallow5_control909121,2,v0,0.078565727680909,0.09194305545934113,0.013377327778432133,0.17026925318840702,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,1,kappa,2.264051600086165,2.8710393724257335,0.6069877723395685,0.26809802935430793,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,1,theta,0.03201432983481975,0.06492888188664578,0.03291455205182603,1.028119352229175,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,1,sigma,0.19382559910831057,0.23176314525191224,0.037937546143601675,0.19573031796693693,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,1,rho,-0.377042169298927,-0.25379707507476634,0.12324509422416063,,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,1,v0,0.01802161803024638,0.04296454717734364,0.024942929147097257,1.3840560323293154,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,2,kappa,5.198657904196243,6.475928649295639,1.277270745099396,0.2456924015077836,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,2,theta,0.06959367656961139,0.03646170798095041,0.033131968588660986,0.4760772849171229,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,2,sigma,0.3851993238399047,0.48552783160250573,0.10032850776260105,0.2604586808784204,False
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,2,rho,-0.1625172632053115,-0.15999462480367665,0.002522638401634858,,True
f2_907931_001,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,2,v0,0.0508665188038253,0.02585875320925341,0.025007765594571886,0.491635090874181,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,1,kappa,0.5413664621545508,0.5802004628620663,0.038834000707515526,0.07173329606153012,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,1,theta,0.07670183511204548,0.07295928736188512,0.0037425477501603632,0.04879345774052572,True
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,1,sigma,0.22237733439316373,0.2602223730197208,0.037845038626557054,0.17018388465636936,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,1,rho,-0.19243819873003332,-0.17808820456864605,0.01434999416138727,,True
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,1,v0,0.02548825509320404,0.02232968795753418,0.0031585671356698583,0.12392245464115864,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,2,kappa,5.926389773530275,6.121760870664705,0.19537109713443002,0.03296629222854,True
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,2,theta,0.04589284862259441,0.048395692596469905,0.0025028439738754987,0.05453668815500973,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,2,sigma,0.28342663885119646,0.24757933778227453,0.03584730106892192,0.12647823512363046,False
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,2,rho,-0.11781375559119167,-0.12983051904493592,0.01201676345374425,,True
f2_907931_002,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,2,v0,0.031168726973133713,0.03430357289943802,0.0031348459263043083,0.10057664302447865,False
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,shallow5_control909121,1,kappa,0.6951931695873577,0.5762249779272234,0.11896819166013428,0.1711296900841958,False
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,shallow5_control909121,1,theta,0.06524374237769252,0.06418168138937551,0.0010620609883170151,0.016278357887087487,True
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,shallow5_control909121,1,sigma,0.08148234548597896,0.04079712472029077,0.040685220765688195,0.4993133239235128,False
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,shallow5_control909121,1,rho,-0.09092095830577851,-0.0009277727720310436,0.08999318553374747,,False
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,shallow5_control909121,1,v0,0.040250554619082994,0.038129935802179306,0.0021206188169036883,0.05268545581477012,False
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,shallow5_control909121,2,kappa,9.075048238213656,8.937189452170998,0.1378587860426581,0.015190970055911726,True
f2_907931_003,2,rich,0.0,126,84,42,0,1.8851586958135156e-14,shallow5_control909121,2,theta,0.10019726807186503,0.10314755662700271,0.002950288555137681,0.029444800361439292,True
