case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,parameter_gate,neural_price_gate,exact_price_gate,joint_recovery_gate,status,seconds,optimizer_success,total_nfev,max_positive_parameter_relative_error,max_rho_absolute_error,fitted_quadrature_max_error_spot,neural_all_price_rmse_spot,neural_holdout_price_rmse_spot,neural_all_iv_rmse,neural_holdout_iv_rmse,neural_invalid_iv_quotes,exact_all_price_rmse_spot,exact_holdout_price_rmse_spot,exact_all_iv_rmse,exact_holdout_iv_rmse,exact_invalid_iv_quotes,interpretation,sigma
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,deep17_adam909121,False,False,False,False,fitted,0.8799029589863494,True,242,0.2459517582622155,0.11921963612285547,2.171596236166806e-14,1.007149972697757e-05,1.0264374351175184e-05,4.976095831628823e-05,5.315549415940327e-05,0,0.00026309946413396334,0.00026731862996038464,0.0005663131252003933,0.0005713485890983468,0,,
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.0010485319185838992,0.0011070677729901062,0.004876616974817983,0.005057559169963886,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.4803467283632676
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,deep17_adam909121,False,True,False,False,fitted,0.6765338750556111,True,180,0.30940361819043993,0.04385985058497749,1.212363542890671e-14,5.944677430984548e-06,6.184231844406573e-06,2.3993820252746244e-05,2.4826878493271864e-05,0,5.0276639223975514e-05,5.142838188741551e-05,0.00017348914923456053,0.00017673924720676355,0,,
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.01034904883080742,0.010433716984226593,0.032299774024553425,0.03204199864071533,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3080944895465022
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,deep17_adam909121,False,False,False,False,fitted,0.7271998329670168,True,196,0.5905718531559097,0.08159362657921065,1.9118040484045194e-14,1.3459729309204778e-05,1.4468771540266147e-05,5.387787621573392e-05,6.143663860411287e-05,0,5.778345793327359e-05,6.216080082113091e-05,0.00021457991761784703,0.0002406740818546549,0,,
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.00390856079290886,0.003933607928153349,0.015674580076034197,0.016119395066332375,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.41304099380830417
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,deep17_adam909121,False,True,False,False,fitted,0.5218538329936564,True,137,0.17077582618412745,0.06908733869858097,1.2190248810384218e-14,8.731280315249555e-06,9.71916754139899e-06,4.098570372402899e-05,4.7406260350372344e-05,0,1.2342154852616037e-05,1.3110391616242437e-05,8.259329518525177e-05,8.502842553499415e-05,0,,
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.0031335013783363396,0.0030838041854342334,0.01011591873456243,0.009806134022759665,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.24086526636462557
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,deep17_adam909121,False,False,False,False,fitted,0.9926575829740614,True,265,0.662581414126249,0.20006121585383635,1.658673198789984e-14,1.28005444822928e-05,1.3821338786914564e-05,5.292404735204461e-05,5.561333592932883e-05,0,2.3336623802262515e-05,2.2820769022133112e-05,8.39158540519223e-05,8.173331681916507e-05,0,,
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.006304198202042749,0.006308649423947915,0.019759333691682705,0.02007994899966251,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2978145497277104
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,deep17_adam909121,False,True,False,False,fitted,0.6137660839594901,True,163,0.6140849544549616,0.029691175832252226,1.3655743202889425e-14,4.545769656031107e-06,5.276719191010658e-06,1.9680830032402034e-05,2.009919812602108e-05,0,1.709322201468862e-05,1.7625495999166914e-05,4.839100821858374e-05,5.1449136850794357e-05,0,,
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.011308265330572768,0.011529907584153473,0.030506707050232312,0.030505879229477607,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.34427991068906905
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,deep17_adam909121,False,True,False,False,fitted,1.1379812500090338,True,302,1.0863351548264584,0.23287286197479196,1.6053824936079763e-14,7.704951113303919e-06,8.170132687580664e-06,3.3981091568446306e-05,3.546038686740879e-05,0,1.5615928468464284e-05,1.5005514092049282e-05,7.18889049213769e-05,6.934405390334205e-05,0,,
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.002600771406556026,0.002628079705857879,0.008689919501011539,0.008713023219886649,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3339840056796314
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,deep17_adam909121,False,True,False,False,fitted,0.532636999967508,True,142,0.431302743956838,0.06695683615759995,1.8851586958135156e-14,8.31073736233197e-06,8.888693254486024e-06,5.81920468387715e-05,5.922867609742859e-05,0,3.9091578425742026e-05,4.158488715968797e-05,0.00010221869550407641,0.00010806831103299136,0,,
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.011402300606173348,0.011478727422717348,0.034153816889075296,0.03439135799889625,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.35102293958683795
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,deep17_adam909121,False,True,False,False,fitted,0.8207563339965418,True,221,0.32594135853963224,0.2035062973435608,1.3722356584366934e-14,8.844296068633382e-06,9.237067779378686e-06,4.586409197180942e-05,4.548929939124036e-05,0,5.770111447436861e-05,6.047791771754399e-05,0.00016131295574954625,0.0001677243621350155,0,,
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.016871974690827365,0.017195280749478545,0.04348409508556582,0.04326909881762989,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3697420324694959
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,deep17_adam909121,False,False,False,False,fitted,0.7930074169998989,True,210,0.12230713371609125,0.029914929496346665,1.9118040484045194e-14,1.4409436168068242e-05,1.4609828095203771e-05,8.757734213892257e-05,0.00010510991122018797,0,7.597159905658832e-05,7.688944096649459e-05,0.00020582826036448268,0.0002052235961188068,0,,
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.016794832216205043,0.0168762849515177,0.046988264632631824,0.04738350505968879,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.34264354339060665
