case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,factor,parameter,truth,estimate,absolute_error,relative_error,parameter_pass
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,deep17_adam909121,1,kappa,1.9569307254323585,1.5150653730161832,0.4418653524161753,0.22579509160629632,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,deep17_adam909121,1,theta,0.09262660050076865,0.11540827575578451,0.022781675255015857,0.24595175826221546,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,deep17_adam909121,1,sigma,0.28233422607445796,0.3169173624435474,0.03458313636908944,0.12249006027334808,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,deep17_adam909121,1,rho,-8.317759765064103e-05,0.11913645852520482,0.11921963612285547,,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,deep17_adam909121,1,v0,0.1449260650009903,0.1518179646112391,0.006891899610248775,0.047554590060812606,True
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,deep17_adam909121,2,kappa,5.883419070251028,7.161277629756698,1.2778585595056695,0.21719658998405278,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,deep17_adam909121,2,theta,0.1280138943466192,0.10634127640010853,0.021672617946510667,0.1692989503766552,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,deep17_adam909121,2,sigma,0.9657093126042902,1.0661090383494107,0.10039972574512057,0.10396474843383896,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,deep17_adam909121,2,rho,0.31299061317682086,0.2595076000808908,0.053483013095930065,,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,deep17_adam909121,2,v0,0.07535486331990167,0.0683453848450288,0.007009478474872863,0.0930195897923103,False
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,deep17_adam909121,1,kappa,0.3649196732840734,0.2639139636807734,0.10100570960329996,0.27678888533003704,False
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,deep17_adam909121,1,theta,0.043083662783899496,0.051334269949498815,0.008250607165599319,0.19150199013911598,False
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,deep17_adam909121,1,sigma,0.11850164850717573,0.10631603318447377,0.01218561532270196,0.10283076629068222,False
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,deep17_adam909121,1,rho,0.18814299232115406,0.17972254469995042,0.008420447621203642,,True
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,deep17_adam909121,1,v0,0.040000444101864624,0.048346673857234165,0.008346229755369541,0.20865342729983544,False
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,deep17_adam909121,2,kappa,8.702956028879758,8.739390752513648,0.03643472363389044,0.004186476814657687,True
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,deep17_adam909121,2,theta,0.026144566418962106,0.018055342972914955,0.00808922344604715,0.30940361819044,False
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,deep17_adam909121,2,sigma,0.19967123715397656,0.21117578001551174,0.011504542861535183,0.057617426653511696,False
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,deep17_adam909121,2,rho,-0.40904468035083746,-0.45290453093581495,0.04385985058497749,,True
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,deep17_adam909121,2,v0,0.11262047997768362,0.10423462932985693,0.008385850647826695,0.07446115173269016,False
