case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,parameter_gate,neural_price_gate,exact_price_gate,joint_recovery_gate,status,seconds,optimizer_success,total_nfev,max_positive_parameter_relative_error,max_rho_absolute_error,fitted_quadrature_max_error_spot,neural_all_price_rmse_spot,neural_holdout_price_rmse_spot,neural_all_iv_rmse,neural_holdout_iv_rmse,neural_invalid_iv_quotes,exact_all_price_rmse_spot,exact_holdout_price_rmse_spot,exact_all_iv_rmse,exact_holdout_iv_rmse,exact_invalid_iv_quotes,interpretation,sigma
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,shallow5_control909121,False,False,False,False,fitted,0.4971622910234146,True,243,0.2443084391756687,0.12006813888540369,2.171596236166806e-14,1.0016933680108011e-05,1.0210357618074792e-05,4.950616812153048e-05,5.281271685088524e-05,0,0.0002653187015263026,0.0002695866667318433,0.0005712161317144482,0.0005764598744534092,0,,
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.0010485319185838992,0.0011070677729901062,0.004876616974817983,0.005057559169963886,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.4803467283632676
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,shallow5_control909121,False,True,False,False,fitted,0.37096254096832126,True,177,0.31171916627085705,0.04406919956763783,1.3522516439934406e-14,5.9399054035205745e-06,6.178580994272857e-06,2.398307466291057e-05,2.4822241116690955e-05,0,5.054824794311813e-05,5.183836529165877e-05,0.00017416149241637267,0.00017736212339839448,0,,
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.01034904883080742,0.010433716984226593,0.032299774024553425,0.03204199864071533,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3080944895465022
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,shallow5_control909121,False,False,False,False,fitted,0.42168370803119615,True,200,0.5855211938616443,0.080594773696541,1.8984813721090177e-14,1.3379192079634059e-05,1.4376495780931023e-05,5.36963350729473e-05,6.120215183541143e-05,0,5.8905668763249666e-05,6.329979495118008e-05,0.00021612770189939764,0.00024188849477575723,0,,
f2_909131_002,2,rich,0.0,126,84,42,0,1.9118040484045194e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.00390856079290886,0.003933607928153349,0.015674580076034197,0.016119395066332375,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.41304099380830417
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,shallow5_control909121,False,True,False,False,fitted,0.2771553749917075,True,135,0.17170601114635908,0.06900544190188274,1.2390088954816746e-14,8.745370756086892e-06,9.73484787883411e-06,4.0972841121065315e-05,4.7374554580963174e-05,0,1.2990861252232843e-05,1.3781367194364749e-05,8.431934278024068e-05,8.687113722987939e-05,0,,
f2_909131_003,2,rich,0.0,126,84,42,0,1.2390088954816746e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.0031335013783363396,0.0030838041854342334,0.01011591873456243,0.009806134022759665,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.24086526636462557
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,shallow5_control909121,False,False,False,False,fitted,0.502870750031434,True,262,0.6630445611983379,0.20007860938976557,1.425526363618701e-14,1.2781320274111362e-05,1.3798524430377031e-05,5.2888522863400084e-05,5.558912002842775e-05,0,2.3240989606737845e-05,2.27190996250576e-05,8.604463662070745e-05,8.375955424857543e-05,0,,
f2_909131_004,2,rich,0.0,126,84,42,0,1.5520917884259687e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.006304198202042749,0.006308649423947915,0.019759333691682705,0.02007994899966251,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.2978145497277104
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,shallow5_control909121,False,True,False,False,fitted,0.280209458025638,True,152,0.6124716236801591,0.029805435399100855,1.3589129821411915e-14,4.531352702943199e-06,5.262440539956759e-06,1.9617084510007684e-05,2.0036853603385217e-05,0,1.6365844722514837e-05,1.6990739286003775e-05,4.763070801628091e-05,5.063560284319004e-05,0,,
f2_909131_005,2,rich,0.0,126,84,42,0,1.4388490399142028e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.011308265330572768,0.011529907584153473,0.030506707050232312,0.030505879229477607,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.34427991068906905
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,shallow5_control909121,False,True,False,False,fitted,0.5816025829990394,True,316,1.0840607018247694,0.23311936392018373,1.5054624213917122e-14,7.709248512088903e-06,8.173850268582958e-06,3.398097473402694e-05,3.5449307587627026e-05,0,1.5003692433563272e-05,1.448452461091399e-05,6.942730538499898e-05,6.727485804710229e-05,0,,
f2_909131_006,2,rich,0.0,126,84,42,0,1.6120438317557272e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.002600771406556026,0.002628079705857879,0.008689919501011539,0.008713023219886649,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3339840056796314
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,shallow5_control909121,False,True,False,False,fitted,0.2652977079851553,True,138,0.43127004843130146,0.06655215588006425,1.8984813721090177e-14,8.342059443436282e-06,8.92569473047719e-06,5.833765566853959e-05,5.93888908385645e-05,0,4.0417045468167076e-05,4.301867595759022e-05,0.00010551265727549248,0.0001113924003766938,0,,
f2_909131_007,2,rich,0.0,126,84,42,0,1.8252066524837574e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.011402300606173348,0.011478727422717348,0.034153816889075296,0.03439135799889625,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.35102293958683795
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,shallow5_control909121,False,True,False,False,fitted,0.41355191700858995,True,224,0.3256909671653585,0.20357088563617692,1.3589129821411915e-14,8.840016232432114e-06,9.23037626618434e-06,4.581506299716252e-05,4.544135868135323e-05,0,5.9290284633048356e-05,6.209347319809119e-05,0.00016575435473439862,0.0001721570994194421,0,,
f2_909131_008,2,rich,0.0,126,84,42,0,1.4521717162097046e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.016871974690827365,0.017195280749478545,0.04348409508556582,0.04326909881762989,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.3697420324694959
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,shallow5_control909121,False,False,False,False,fitted,0.3764445840497501,True,200,0.12165252419426875,0.029861134470276218,1.8918200339612668e-14,1.4409491506538325e-05,1.4605174302824422e-05,8.766046896912666e-05,0.00010517387603616373,0,7.405772891106658e-05,7.494518841615155e-05,0.00020304367340738349,0.00020256070525647945,0,,
f2_909131_009,2,rich,0.0,126,84,42,0,1.9051427102567686e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.016794832216205043,0.0168762849515177,0.046988264632631824,0.04738350505968879,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.34264354339060665
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,shallow5_control909121,False,False,False,False,fitted,0.32004625000990927,True,171,0.06126987848001764,0.0064858922098455785,1.1901590823981678e-14,1.3176248090928876e-05,1.4207530458589587e-05,4.54324376030501e-05,4.507023125801923e-05,0,5.316020310307729e-05,5.4360437079375976e-05,0.00010811596993742007,0.00010978999963288077,0,,
f2_909131_010,2,rich,0.0,126,84,42,0,1.2723155862204293e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.00166431528265334,0.001690948769478045,0.0044834594153768245,0.004446426943603517,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.23194595311117572
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,shallow5_control909121,False,True,False,False,fitted,0.3551069999812171,True,195,0.1259935099520776,0.051294013245431536,1.7918999617450027e-14,7.529734466188993e-06,7.840589867152013e-06,3.13882604495975e-05,3.059959027781841e-05,0,2.6595814542491872e-05,2.5137911581203954e-05,0.00010646546692287618,9.908661334526101e-05,0,,
f2_909131_011,2,rich,0.0,126,84,42,0,1.7918999617450027e-14,black_scholes_on_double_heston,,False,,,fitted,,,,,,,0.005318428126908813,0.005360510827488281,0.016188494507792372,0.016280597847418213,0,,,,,,misspecified one-volatility price benchmark; no DH parameter recovery target,0.35710502992869086
