case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,factor,parameter,truth,estimate,absolute_error,relative_error,parameter_pass
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,shallow5_control909121,1,kappa,1.9569307254323585,1.517695396413239,0.43923532901911955,0.22445113836212888,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,shallow5_control909121,1,theta,0.09262660050076865,0.11525606069525965,0.022629460194490997,0.24430843917566863,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,shallow5_control909121,1,sigma,0.28233422607445796,0.3165893051056562,0.03425507903119823,0.12132811351806985,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,shallow5_control909121,1,rho,-8.317759765064103e-05,0.11998496128775304,0.12006813888540369,,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,shallow5_control909121,1,v0,0.1449260650009903,0.15171202348883406,0.006785958487843746,0.04682358889546457,True
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,shallow5_control909121,2,kappa,5.883419070251028,7.155663767142048,1.2722446968910202,0.216242406277671,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,shallow5_control909121,2,theta,0.1280138943466192,0.10649950866561758,0.021514385681001613,0.16806289497566404,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,shallow5_control909121,2,sigma,0.9657093126042902,1.0654143534685754,0.09970504086428522,0.10324539648002798,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,shallow5_control909121,2,rho,0.31299061317682086,0.25870275743475457,0.05428785574206629,,False
f2_909131_000,2,rich,0.0,126,84,42,0,2.178257574314557e-14,shallow5_control909121,2,v0,0.07535486331990167,0.06845618177995744,0.006898681539944232,0.09154925423535669,False
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,shallow5_control909121,1,kappa,0.3649196732840734,0.26328548554655046,0.10163418773752292,0.27851112225019814,False
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,shallow5_control909121,1,theta,0.043083662783899496,0.05140115954607857,0.008317496762179077,0.19305454143716289,False
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,shallow5_control909121,1,sigma,0.11850164850717573,0.10637586127927905,0.012125787227896687,0.10232589487700185,False
f2_909131_001,2,rich,0.0,126,84,42,0,1.41886502547095e-14,shallow5_control909121,1,rho,0.18814299232115406,0.17926295596729114,0.008880036353862919,,True
