run,selected_step,case,factor,parameter,truth,estimate,signed_error,relative_error,training_scaled_error,absolute_gate_tolerance,absolute_error_in_gate_units,parameter_pass,optimizer_success
double_sobolev_s17,12000,0,1,kappa,1.649794501992554,1.809299937935677,0.15950543594312294,0.09668200236482716,0.09668200236482716,0.08248972509962771,1.933640047296543,False,True
double_sobolev_s17,12000,0,1,theta,0.03939342666365212,0.039301045183314884,-9.238148033723775e-05,-0.002345098869565392,-0.002345098869565392,0.001969671333182606,0.04690197739130783,True,True
double_sobolev_s17,12000,0,1,sigma,0.20588552972798105,0.27704082617811554,0.07115529645013449,0.3456061071613236,0.3456061071613236,0.010294276486399053,6.912122143226472,False,True
double_sobolev_s17,12000,0,1,rho,-0.2464467135076679,-0.20082007967927062,0.04562663382839727,,0.09125326765679453,0.05,0.9125326765679453,True,True
double_sobolev_s17,12000,0,1,v0,0.01845715886952104,0.01627565294177914,-0.002181505927741901,-0.11819294308314694,-0.11819294308314694,0.0009228579434760521,2.3638588616629383,False,True
double_sobolev_s17,12000,0,2,kappa,6.9659396312606585,7.686002960633024,0.7200633293723655,0.10336916015478766,0.10336916015478766,0.34829698156303296,2.067383203095753,False,True
double_sobolev_s17,12000,0,2,theta,0.04993438431331109,0.04992448106719134,-9.903246119748188e-06,-0.00019832518726196175,-0.00019832518726196175,0.0024967192156655545,0.0039665037452392355,True,True
double_sobolev_s17,12000,0,2,sigma,0.577942892411992,0.5646665746434453,-0.013276317768546764,-0.022971677553017843,-0.022971677553017843,0.028897144620599603,0.4594335510603568,True,True
double_sobolev_s17,12000,0,2,rho,-0.00752456823647496,-0.008954089060674963,-0.0014295208242000035,,-0.002859041648400007,0.05,0.02859041648400007,True,True
double_sobolev_s17,12000,0,2,v0,0.033357296262996744,0.03554894967913551,0.002191653416138764,0.06570236984614265,0.06570236984614265,0.0016678648131498372,1.314047396922853,False,True
double_sobolev_s17,12000,1,1,kappa,1.6508894740031523,1.3281447935563584,-0.32274468044679394,-0.1954974488172051,-0.1954974488172051,0.08254447370015762,3.909948976344102,False,True
double_sobolev_s17,12000,1,1,theta,0.047802917465337075,0.038859683168725276,-0.008943234296611799,-0.1870855330764431,-0.1870855330764431,0.002390145873266854,3.741710661528862,False,True
double_sobolev_s17,12000,1,1,sigma,0.16000932620347494,0.15780227671624997,-0.0022070494872249713,-0.013793255303246446,-0.013793255303246446,0.008000466310173747,0.2758651060649289,True,True
double_sobolev_s17,12000,1,1,rho,-0.2751483136038373,-0.27753952274845717,-0.002391209144619877,,-0.004782418289239754,0.05,0.04782418289239754,True,True
double_sobolev_s17,12000,1,1,v0,0.04971122380326658,0.04049500117118133,-0.009216222632085248,-0.18539520709767038,-0.18539520709767038,0.002485561190163329,3.7079041419534073,False,True
double_sobolev_s17,12000,1,2,kappa,4.620666744981078,4.613913154135517,-0.0067535908455607085,-0.0014616052657111427,-0.0014616052657111427,0.2310333372490539,0.02923210531422285,True,True
double_sobolev_s17,12000,1,2,theta,0.036384226246289605,0.04537535639362879,0.008991130147339182,0.24711615650356397,0.24711615650356397,0.0018192113123144803,4.94232313007128,False,True
double_sobolev_s17,12000,1,2,sigma,0.16861484497092516,0.17090375170886032,0.0022889067379351646,0.01357476406261767,0.01357476406261767,0.008430742248546258,0.2714952812523534,True,True
