case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,parameter_gate,neural_price_gate,exact_price_gate,joint_recovery_gate,status,seconds,optimizer_success,total_nfev,max_positive_parameter_relative_error,max_rho_absolute_error,fitted_quadrature_max_error_spot,neural_all_price_rmse_spot,neural_holdout_price_rmse_spot,neural_all_iv_rmse,neural_holdout_iv_rmse,neural_invalid_iv_quotes,exact_all_price_rmse_spot,exact_holdout_price_rmse_spot,exact_all_iv_rmse,exact_holdout_iv_rmse,exact_invalid_iv_quotes,interpretation,sigma
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_standard_s17,False,False,False,False,fitted,0.11304858300718479,True,89,0.0739557667116193,0.008394976608209648,8.08311750866153e-15,1.4685504526874784e-05,1.475514186853513e-05,0.00012548830986356966,0.00012673677761946195,0,6.919049934608025e-05,6.916787786158923e-05,0.0006660821230943218,0.0006283910683427715,0,,
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,True,True,False,False,fitted,0.10425545801990665,True,85,0.010769363267050025,0.0005939723866145163,8.026912468039881e-15,8.744446373880495e-06,8.778036178782219e-06,6.960502098030999e-05,7.256983630246953e-05,0,1.2337669079856519e-05,1.2619794196051367e-05,0.00010170324717043795,0.00010821704920833489,0,,
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_standard_s17,True,False,False,False,fitted,0.10863833298208192,True,95,0.04371320178711846,0.015490323838056375,8.326672684688674e-15,6.73526363042217e-05,6.844469991809548e-05,0.00045821062742921483,0.0004778090494675069,0,4.314260251668539e-05,4.0426466264676726e-05,0.0005826187732004158,0.0005134002031073109,0,,
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,False,False,False,False,fitted,0.10550212499219924,True,75,0.10806782659505687,0.00684751583099541,7.993605777301127e-15,6.723170449923462e-05,6.805272901034554e-05,0.00044304980465878713,0.00045562631074218474,0,8.199622630582647e-05,8.30898271595166e-05,0.0005564024620832937,0.0005757845333343943,0,,
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_standard_s17,True,False,False,False,fitted,0.11422824999317527,True,71,0.033206770056819046,0.007942901574500172,1.84519066692701e-14,4.838438153671494e-05,4.9098129377190334e-05,0.00016008112006299033,0.00015841890572281311,0,0.00012281431256234564,0.000122600252404745,0.000567045970978718,0.0005373825317897364,0,,
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,True,False,False,False,fitted,0.11088545800885186,True,69,0.007511256561084423,0.00025055296492948465,1.8385293287792592e-14,2.3864244864959276e-05,2.442795504088507e-05,9.694683941206299e-05,0.00010090631173816976,0,1.3621342136635846e-05,1.3439830151647595e-05,7.258622759667942e-05,7.519770088766142e-05,0,,
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_standard_s17,False,False,False,False,fitted,0.10868450000998564,True,67,0.06415482369216963,0.017994582178269103,1.865174681370263e-14,8.495451513936512e-05,8.87279085722975e-05,0.00032031876316045545,0.0003233534864472435,0,0.00016754568177344573,0.00017152082995521294,0.0007139158356373443,0.0007012999706882662,0,,
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,True,False,False,False,fitted,0.10307829099474475,True,68,0.0405904609331722,0.00998495014112677,1.851852005074761e-14,5.541189387724644e-05,5.832385033419389e-05,0.0002862795978468668,0.0002952248116244443,0,6.209234568229257e-05,6.456468738298168e-05,0.0003183490537761429,0.0003269581822470523,0,,
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_standard_s17,True,True,False,False,fitted,0.15712345801875927,True,112,0.031452005448167175,0.003613462717892202,8.115383365314699e-15,5.018566958789347e-06,5.032444577366844e-06,5.6513229365494424e-05,5.6386727163737866e-05,0,3.199298031366329e-05,3.205705490718939e-05,0.0003771576656610784,0.00036242398023935763,0,,
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_sobolev_s17,True,True,True,True,fitted,0.1488394580082968,True,108,0.04624743874790338,0.0007737684945618994,8.181996746792207e-15,5.142388721027957e-06,5.076625658558657e-06,4.413119855028539e-05,4.506372687326807e-05,0,4.978782722458625e-06,4.875470619850014e-06,7.819204543077943e-05,6.663755556823002e-05,0,,
