case,factors,geometry,noise,quotes,calibration_quotes,holdout_quotes,invalid_observed_quotes,true_quadrature_max_error_spot,model,factor,parameter,truth,estimate,absolute_error,relative_error,parameter_pass
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_standard_s17,1,kappa,6.301206389183786,6.767216938904027,0.4660105497202407,0.07395576671161924,False
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_standard_s17,1,theta,0.1799446510402745,0.17755829057187553,0.0023863604683989625,0.013261636034209524,True
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_standard_s17,1,sigma,0.7155932949421786,0.7496327486984699,0.03403945375629125,0.04756815637720824,True
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_standard_s17,1,rho,-0.5610060906656362,-0.5526111140574266,0.008394976608209648,,True
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_standard_s17,1,v0,0.0911985202598462,0.09084130878373772,0.00035721147610848214,0.003916856053044523,True
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,1,kappa,6.301206389183786,6.23334640855801,0.06785998062577647,0.010769363267049975,True
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,1,theta,0.1799446510402745,0.18045171030122462,0.0005070592609501268,0.002817862370561039,True
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,1,sigma,0.7155932949421786,0.7146201865407115,0.0009731084014671376,0.00135986238041228,True
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,1,rho,-0.5610060906656362,-0.5616000630522507,0.0005939723866145163,,True
f1_907931_000,1,monthly,0.0,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,1,v0,0.0911985202598462,0.09122075331008483,2.2233050238629204e-05,0.0002437874011034606,True
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_standard_s17,1,kappa,6.301206389183786,6.167699750787161,0.13350663839662502,0.021187472707733117,True
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_standard_s17,1,theta,0.1799446510402745,0.1814221982559198,0.0014775472156453029,0.008211120514577586,True
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_standard_s17,1,sigma,0.7155932949421786,0.7468741690414951,0.03128087409931646,0.0437132017871185,True
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_standard_s17,1,rho,-0.5610060906656362,-0.5455157668275799,0.015490323838056375,,True
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_standard_s17,1,v0,0.0911985202598462,0.09163733564627109,0.00043881538642488727,0.004811650289660382,True
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,1,kappa,6.301206389183786,5.620248709777808,0.680957679405978,0.10806782659505688,False
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,1,theta,0.1799446510402745,0.18513180713746785,0.005187156097193363,0.02882639782403087,True
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,1,sigma,0.7155932949421786,0.7115067866903058,0.004086508251872845,0.0057106575491362626,True
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,1,rho,-0.5610060906656362,-0.5541585748346408,0.00684751583099541,,True
f1_907931_000,1,monthly,0.01,63,42,21,0,8.08311750866153e-15,single_sobolev_s17,1,v0,0.0911985202598462,0.09203046968973713,0.0008319494298909269,0.009122400533698416,True
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_standard_s17,1,kappa,6.301206389183786,6.4013395907034045,0.10013320151961835,0.015891115976061354,True
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_standard_s17,1,theta,0.1799446510402745,0.18021411061983675,0.00026945957956225897,0.001497458123953624,True
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_standard_s17,1,sigma,0.7155932949421786,0.7393558369415251,0.023762541999346465,0.033206770056819115,True
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_standard_s17,1,rho,-0.5610060906656362,-0.553063189091136,0.007942901574500172,,True
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_standard_s17,1,v0,0.0911985202598462,0.0912746050039297,7.60847440834933e-05,0.0008342760810889237,True
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,1,kappa,6.301206389183786,6.34853636701729,0.047329977833503456,0.007511256561084368,True
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,1,theta,0.1799446510402745,0.17983290291290058,0.00011174812737391182,0.0006210138880366096,True
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,1,sigma,0.7155932949421786,0.7181889734204479,0.0025956784782692477,0.003627309669634319,True
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,1,rho,-0.5610060906656362,-0.5612566436305657,0.00025055296492948465,,True
f1_907931_000,1,rich,0.0,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,1,v0,0.0911985202598462,0.09095974276989044,0.00023877748995576598,0.002618216713115874,True
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_standard_s17,1,kappa,6.301206389183786,6.6212761683864105,0.32006977920262436,0.050795000105382036,False
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_standard_s17,1,theta,0.1799446510402745,0.17994436994458698,2.810956875043402e-07,1.5621230521680054e-06,True
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_standard_s17,1,sigma,0.7155932949421786,0.7615020566144928,0.04590876167231417,0.06415482369216957,False
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_standard_s17,1,rho,-0.5610060906656362,-0.5430115084873671,0.017994582178269103,,True
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_standard_s17,1,v0,0.0911985202598462,0.09024643611637384,0.0009520841434723648,0.01043968850327452,True
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,1,kappa,6.301206389183786,6.556975260955806,0.2557688717720197,0.04059046093317222,True
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,1,theta,0.1799446510402745,0.17958560727094322,0.0003590437693312687,0.0019953011509684106,True
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,1,sigma,0.7155932949421786,0.7399297766091124,0.024336481666933807,0.03400881735329877,True
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,1,rho,-0.5610060906656362,-0.5510211405245095,0.00998495014112677,,True
f1_907931_000,1,rich,0.01,126,84,42,0,1.858513343222512e-14,single_sobolev_s17,1,v0,0.0911985202598462,0.08996692727775968,0.0012315929820865268,0.013504528128059823,True
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_standard_s17,1,kappa,1.4951551404599444,1.448129512836343,0.04702562762360141,0.03145200544816723,True
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_standard_s17,1,theta,0.15373101950429274,0.1571108647179227,0.0033798452136299673,0.021985447208561507,True
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_standard_s17,1,sigma,0.327471175025169,0.33590987073457856,0.008438695709409583,0.025769277887621702,True
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_standard_s17,1,rho,-0.20982386230449135,-0.20621039958659915,0.003613462717892202,,True
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_standard_s17,1,v0,0.06133396470474549,0.061456288981902765,0.00012232427715727634,0.0019943970318261842,True
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_sobolev_s17,1,kappa,1.4951551404599444,1.4260080446829102,0.06914709577703415,0.04624743874790338,True
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_sobolev_s17,1,theta,0.15373101950429274,0.15723734631598527,0.003506326811692523,0.02280819331712435,True
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_sobolev_s17,1,sigma,0.327471175025169,0.32424143933545513,0.003229735689713853,0.009862656429121189,True
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_sobolev_s17,1,rho,-0.20982386230449135,-0.20905009380992945,0.0007737684945618994,,True
f1_907931_001,1,monthly,0.0,63,42,21,0,8.260059303211165e-15,single_sobolev_s17,1,v0,0.06133396470474549,0.061386510042120035,5.254533737454603e-05,0.0008567086381500547,True
f1_907931_001,1,monthly,0.01,63,42,21,0,8.260059303211165e-15,single_standard_s17,1,kappa,1.4951551404599444,1.4810313400223707,0.014123800437573664,0.009446377874358146,True
f1_907931_001,1,monthly,0.01,63,42,21,0,8.260059303211165e-15,single_standard_s17,1,theta,0.15373101950429274,0.15798349355404592,0.00425247404975318,0.027661782660814496,True
f1_907931_001,1,monthly,0.01,63,42,21,0,8.260059303211165e-15,single_standard_s17,1,sigma,0.327471175025169,0.3497749672481398,0.022303792222970797,0.06810917700239283,False
f1_907931_001,1,monthly,0.01,63,42,21,0,8.260059303211165e-15,single_standard_s17,1,rho,-0.20982386230449135,-0.19905511222640448,0.010768750078086864,,True
f1_907931_001,1,monthly,0.01,63,42,21,0,8.260059303211165e-15,single_standard_s17,1,v0,0.06133396470474549,0.06096017678368135,0.00037378792106414205,0.006094305542834435,True
f1_907931_001,1,monthly,0.01,63,42,21,0,8.260059303211165e-15,single_sobolev_s17,1,kappa,1.4951551404599444,1.4594906810875161,0.03566445937242824,0.023853350336244722,True
f1_907931_001,1,monthly,0.01,63,42,21,0,8.260059303211165e-15,single_sobolev_s17,1,theta,0.15373101950429274,0.15801953010459402,0.004288510600301276,0.027896195667794457,True
f1_907931_001,1,monthly,0.01,63,42,21,0,8.260059303211165e-15,single_sobolev_s17,1,sigma,0.327471175025169,0.33834763068680695,0.010876455661637974,0.03321347492890641,True
f1_907931_001,1,monthly,0.01,63,42,21,0,8.260059303211165e-15,single_sobolev_s17,1,rho,-0.20982386230449135,-0.20171231769593578,0.008111544608555565,,True
f1_907931_001,1,monthly,0.01,63,42,21,0,8.260059303211165e-15,single_sobolev_s17,1,v0,0.06133396470474549,0.060894529971674966,0.0004394347330705234,0.007164622981506424,True
f1_907931_001,1,rich,0.0,126,84,42,0,1.6520118606422327e-14,single_standard_s17,1,kappa,1.4951551404599444,1.5144418357368314,0.01928669527688709,0.012899460902066695,True
f1_907931_001,1,rich,0.0,126,84,42,0,1.6520118606422327e-14,single_standard_s17,1,theta,0.15373101950429274,0.15379887813269824,6.785862840549828e-05,0.00044141142512623105,True
f1_907931_001,1,rich,0.0,126,84,42,0,1.6520118606422327e-14,single_standard_s17,1,sigma,0.327471175025169,0.3386989941610279,0.011227819135858907,0.03428643493582589,True
f1_907931_001,1,rich,0.0,126,84,42,0,1.6520118606422327e-14,single_standard_s17,1,rho,-0.20982386230449135,-0.20464051364473024,0.005183348659761111,,True
f1_907931_001,1,rich,0.0,126,84,42,0,1.6520118606422327e-14,single_standard_s17,1,v0,0.06133396470474549,0.061383915717815284,4.9951013069794714e-05,0.0008144103077349236,True
f1_907931_001,1,rich,0.0,126,84,42,0,1.6520118606422327e-14,single_sobolev_s17,1,kappa,1.4951551404599444,1.4816661554358719,0.013488985024072475,0.009021796239768771,True
f1_907931_001,1,rich,0.0,126,84,42,0,1.6520118606422327e-14,single_sobolev_s17,1,theta,0.15373101950429274,0.1541834850444881,0.0004524655401953459,0.0029432286447740067,True
f1_907931_001,1,rich,0.0,126,84,42,0,1.6520118606422327e-14,single_sobolev_s17,1,sigma,0.327471175025169,0.3255871688779262,0.0018840061472427672,0.005753196894651766,True
f1_907931_001,1,rich,0.0,126,84,42,0,1.6520118606422327e-14,single_sobolev_s17,1,rho,-0.20982386230449135,-0.20866778518475704,0.0011560771197343112,,True
f1_907931_001,1,rich,0.0,126,84,42,0,1.6520118606422327e-14,single_sobolev_s17,1,v0,0.06133396470474549,0.06135401566688104,2.0050962135552408e-05,0.000326914495615527,True
f1_907931_001,1,rich,0.01,126,84,42,0,1.6520118606422327e-14,single_standard_s17,1,kappa,1.4951551404599444,1.5795834822760018,0.0844283418160574,0.05646794739312824,False
f1_907931_001,1,rich,0.01,126,84,42,0,1.6520118606422327e-14,single_standard_s17,1,theta,0.15373101950429274,0.15137656094133167,0.0023544585629610704,0.015315442326168436,True
f1_907931_001,1,rich,0.01,126,84,42,0,1.6520118606422327e-14,single_standard_s17,1,sigma,0.327471175025169,0.33648995849860164,0.009018783473432657,0.027540694147323,True
f1_907931_001,1,rich,0.01,126,84,42,0,1.6520118606422327e-14,single_standard_s17,1,rho,-0.20982386230449135,-0.21032312276436627,0.0004992604598749173,,True
f1_907931_001,1,rich,0.01,126,84,42,0,1.6520118606422327e-14,single_standard_s17,1,v0,0.06133396470474549,0.061330165845245345,3.7988595001439696e-06,6.193728904419e-05,True
f1_907931_001,1,rich,0.01,126,84,42,0,1.6520118606422327e-14,single_sobolev_s17,1,kappa,1.4951551404599444,1.5496442945649769,0.05448915410503252,0.036443812839562856,True
f1_907931_001,1,rich,0.01,126,84,42,0,1.6520118606422327e-14,single_sobolev_s17,1,theta,0.15373101950429274,0.1516686182762162,0.002062401228076549,0.013415647894138627,True
f1_907931_001,1,rich,0.01,126,84,42,0,1.6520118606422327e-14,single_sobolev_s17,1,sigma,0.327471175025169,0.32397485729461295,0.003496317730556031,0.010676719043400718,True
f1_907931_001,1,rich,0.01,126,84,42,0,1.6520118606422327e-14,single_sobolev_s17,1,rho,-0.20982386230449135,-0.2138195761771874,0.003995713872696038,,True
f1_907931_001,1,rich,0.01,126,84,42,0,1.6520118606422327e-14,single_sobolev_s17,1,v0,0.06133396470474549,0.06128049640079738,5.3468303948110696e-05,0.0008717568512895072,True
f1_907931_002,1,monthly,0.0,63,42,21,0,8.348877145181177e-15,single_standard_s17,1,kappa,0.3495879154124375,0.8772806088790785,0.527692693466641,1.5094706372904187,False
f1_907931_002,1,monthly,0.0,63,42,21,0,8.348877145181177e-15,single_standard_s17,1,theta,0.10340001942918922,0.07280907943009061,0.030590939999098607,0.29585042795903926,False
f1_907931_002,1,monthly,0.0,63,42,21,0,8.348877145181177e-15,single_standard_s17,1,sigma,0.21477398996767016,0.23248787364472936,0.0177138836770592,0.08247685708928564,False
f1_907931_002,1,monthly,0.0,63,42,21,0,8.348877145181177e-15,single_standard_s17,1,rho,-0.313736989600335,-0.29945367299511494,0.014283316605220087,,True
f1_907931_002,1,monthly,0.0,63,42,21,0,8.348877145181177e-15,single_standard_s17,1,v0,0.04874592895825414,0.048734448567814656,1.148039043948057e-05,0.00023551485600597214,True
f1_907931_002,1,monthly,0.0,63,42,21,0,8.348877145181177e-15,single_sobolev_s17,1,kappa,0.3495879154124375,0.5467642816451104,0.19717636623267287,0.5640251208341907,False
f1_907931_002,1,monthly,0.0,63,42,21,0,8.348877145181177e-15,single_sobolev_s17,1,theta,0.10340001942918922,0.08394325005767986,0.019456769371509364,0.18816988119459513,False
f1_907931_002,1,monthly,0.0,63,42,21,0,8.348877145181177e-15,single_sobolev_s17,1,sigma,0.21477398996767016,0.2191719690659234,0.004397979098253235,0.020477242607055263,True
f1_907931_002,1,monthly,0.0,63,42,21,0,8.348877145181177e-15,single_sobolev_s17,1,rho,-0.313736989600335,-0.31040261572373906,0.003334373876595964,,True
f1_907931_002,1,monthly,0.0,63,42,21,0,8.348877145181177e-15,single_sobolev_s17,1,v0,0.04874592895825414,0.04874187486833177,4.0540899223645566e-06,8.316776413957495e-05,True
f1_907931_002,1,monthly,0.01,63,42,21,0,8.348877145181177e-15,single_standard_s17,1,kappa,0.3495879154124375,1.1390064679759815,0.789418552563544,2.258140278196408,False
f1_907931_002,1,monthly,0.01,63,42,21,0,8.348877145181177e-15,single_standard_s17,1,theta,0.10340001942918922,0.0700746363030431,0.03332538312614612,0.32229571435398163,False
f1_907931_002,1,monthly,0.01,63,42,21,0,8.348877145181177e-15,single_standard_s17,1,sigma,0.21477398996767016,0.24778804540684693,0.033014055439176765,0.15371533324005554,False
f1_907931_002,1,monthly,0.01,63,42,21,0,8.348877145181177e-15,single_standard_s17,1,rho,-0.313736989600335,-0.28445271766692637,0.029284271933408657,,True
f1_907931_002,1,monthly,0.01,63,42,21,0,8.348877145181177e-15,single_standard_s17,1,v0,0.04874592895825414,0.04840005375899053,0.00034587519926360805,0.007095468414599597,True
f1_907931_002,1,monthly,0.01,63,42,21,0,8.348877145181177e-15,single_sobolev_s17,1,kappa,0.3495879154124375,0.7809316947764664,0.4313437793640289,1.2338635300225904,False
f1_907931_002,1,monthly,0.01,63,42,21,0,8.348877145181177e-15,single_sobolev_s17,1,theta,0.10340001942918922,0.07737046001638401,0.026029559412805214,0.2517365040790043,False
f1_907931_002,1,monthly,0.01,63,42,21,0,8.348877145181177e-15,single_sobolev_s17,1,sigma,0.21477398996767016,0.23394107265318806,0.019167082685517894,0.0892430349149965,False
f1_907931_002,1,monthly,0.01,63,42,21,0,8.348877145181177e-15,single_sobolev_s17,1,rho,-0.313736989600335,-0.29353570501506154,0.020201284585273482,,True
f1_907931_002,1,monthly,0.01,63,42,21,0,8.348877145181177e-15,single_sobolev_s17,1,v0,0.04874592895825414,0.04841606872666261,0.000329860231591525,0.006766928821358934,True
f1_907931_002,1,rich,0.0,126,84,42,0,1.1857181902996672e-14,single_standard_s17,1,kappa,0.3495879154124375,0.3928945438079328,0.04330662839549532,0.12387907729705971,False
f1_907931_002,1,rich,0.0,126,84,42,0,1.1857181902996672e-14,single_standard_s17,1,theta,0.10340001942918922,0.09931062685962665,0.004089392569562575,0.03954924372488235,True
f1_907931_002,1,rich,0.0,126,84,42,0,1.1857181902996672e-14,single_standard_s17,1,sigma,0.21477398996767016,0.22061035176202623,0.005836361794356065,0.027174434833727352,True
f1_907931_002,1,rich,0.0,126,84,42,0,1.1857181902996672e-14,single_standard_s17,1,rho,-0.313736989600335,-0.31144518236212587,0.0022918072382091537,,True
f1_907931_002,1,rich,0.0,126,84,42,0,1.1857181902996672e-14,single_standard_s17,1,v0,0.04874592895825414,0.04885667679835446,0.00011074784010032396,0.0022719402925969073,True
f1_907931_002,1,rich,0.0,126,84,42,0,1.1857181902996672e-14,single_sobolev_s17,1,kappa,0.3495879154124375,0.3750906493704001,0.025502733957962598,0.07295084536281791,False
f1_907931_002,1,rich,0.0,126,84,42,0,1.1857181902996672e-14,single_sobolev_s17,1,theta,0.10340001942918922,0.10047442916347434,0.0029255902657148863,0.02829390440993485,True
f1_907931_002,1,rich,0.0,126,84,42,0,1.1857181902996672e-14,single_sobolev_s17,1,sigma,0.21477398996767016,0.21788709266822323,0.0031131027005530665,0.014494784498912928,True
f1_907931_002,1,rich,0.0,126,84,42,0,1.1857181902996672e-14,single_sobolev_s17,1,rho,-0.313736989600335,-0.30965849786097505,0.0040784917393599796,,True
f1_907931_002,1,rich,0.0,126,84,42,0,1.1857181902996672e-14,single_sobolev_s17,1,v0,0.04874592895825414,0.048698755188329085,4.7173769925051845e-05,0.0009677478906074663,True
f1_907931_002,1,rich,0.01,126,84,42,0,1.1857181902996672e-14,single_standard_s17,1,kappa,0.3495879154124375,0.21166799146014031,0.13791992395229719,0.39452142900758386,False
f1_907931_002,1,rich,0.01,126,84,42,0,1.1857181902996672e-14,single_standard_s17,1,theta,0.10340001942918922,0.13758082402230337,0.03418080459311415,0.3305686476831078,False
f1_907931_002,1,rich,0.01,126,84,42,0,1.1857181902996672e-14,single_standard_s17,1,sigma,0.21477398996767016,0.209711512396298,0.005062477571372154,0.023571185561781508,True
f1_907931_002,1,rich,0.01,126,84,42,0,1.1857181902996672e-14,single_standard_s17,1,rho,-0.313736989600335,-0.31928383722897774,0.005546847628642715,,True
f1_907931_002,1,rich,0.01,126,84,42,0,1.1857181902996672e-14,single_standard_s17,1,v0,0.04874592895825414,0.04894777391282114,0.00020184495456700147,0.004140755112901035,True
f1_907931_002,1,rich,0.01,126,84,42,0,1.1857181902996672e-14,single_sobolev_s17,1,kappa,0.3495879154124375,0.26605525909714905,0.08353265631528844,0.23894606372974342,False
f1_907931_002,1,rich,0.01,126,84,42,0,1.1857181902996672e-14,single_sobolev_s17,1,theta,0.10340001942918922,0.12140550289333325,0.01800548346414403,0.1741342367587717,False
f1_907931_002,1,rich,0.01,126,84,42,0,1.1857181902996672e-14,single_sobolev_s17,1,sigma,0.21477398996767016,0.2144574838918284,0.0003165060758417715,0.0014736704192598695,True
f1_907931_002,1,rich,0.01,126,84,42,0,1.1857181902996672e-14,single_sobolev_s17,1,rho,-0.313736989600335,-0.3071291531611824,0.006607836439152637,,True
f1_907931_002,1,rich,0.01,126,84,42,0,1.1857181902996672e-14,single_sobolev_s17,1,v0,0.04874592895825414,0.04860561476629609,0.00014031419195804917,0.0028784802127417414,True
f1_907931_003,1,monthly,0.0,63,42,21,0,8.459899447643693e-15,single_standard_s17,1,kappa,0.39108762871714875,0.5906681088590795,0.19958048014193075,0.510321640182272,False
f1_907931_003,1,monthly,0.0,63,42,21,0,8.459899447643693e-15,single_standard_s17,1,theta,0.19484918538031729,0.1449374415899883,0.04991174379032898,0.2561557734660707,False
f1_907931_003,1,monthly,0.0,63,42,21,0,8.459899447643693e-15,single_standard_s17,1,sigma,0.09586863025205335,0.1072852429945874,0.011416612742534055,0.11908601085170432,False
f1_907931_003,1,monthly,0.0,63,42,21,0,8.459899447643693e-15,single_standard_s17,1,rho,-0.1598630804841492,-0.15588674596894325,0.003976334515205959,,True
f1_907931_003,1,monthly,0.0,63,42,21,0,8.459899447643693e-15,single_standard_s17,1,v0,0.038380953783545814,0.03832391404700506,5.703973654075378e-05,0.0014861469275213042,True
f1_907931_003,1,monthly,0.0,63,42,21,0,8.459899447643693e-15,single_sobolev_s17,1,kappa,0.39108762871714875,0.7237503483774996,0.3326627196603509,0.8506091607948733,False
f1_907931_003,1,monthly,0.0,63,42,21,0,8.459899447643693e-15,single_sobolev_s17,1,theta,0.19484918538031729,0.12571534218522395,0.06913384319509333,0.3548069398399286,False
f1_907931_003,1,monthly,0.0,63,42,21,0,8.459899447643693e-15,single_sobolev_s17,1,sigma,0.09586863025205335,0.09862148817840652,0.002752857926353172,0.028714897867169752,True
f1_907931_003,1,monthly,0.0,63,42,21,0,8.459899447643693e-15,single_sobolev_s17,1,rho,-0.1598630804841492,-0.16087385484935612,0.0010107743652069123,,True
f1_907931_003,1,monthly,0.0,63,42,21,0,8.459899447643693e-15,single_sobolev_s17,1,v0,0.038380953783545814,0.038316644392336695,6.430939120911916e-05,0.0016755547965743637,True
f1_907931_003,1,monthly,0.01,63,42,21,0,8.459899447643693e-15,single_standard_s17,1,kappa,0.39108762871714875,0.5827193587636397,0.19163173004649092,0.4899969111144837,False
f1_907931_003,1,monthly,0.01,63,42,21,0,8.459899447643693e-15,single_standard_s17,1,theta,0.19484918538031729,0.14026155111196287,0.05458763426835442,0.2801532588489261,False
f1_907931_003,1,monthly,0.01,63,42,21,0,8.459899447643693e-15,single_standard_s17,1,sigma,0.09586863025205335,0.13386608888210996,0.037997458630056616,0.3963492388506591,False
f1_907931_003,1,monthly,0.01,63,42,21,0,8.459899447643693e-15,single_standard_s17,1,rho,-0.1598630804841492,-0.12130200481755915,0.03856107566659006,,True
