candidate_id,distribution,regime,intended_training_role,split,attempt,kappa_slow,theta_slow,sigma_slow,rho_slow,v0_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,v0_fast,hard_bounds_valid,canonical_valid,slow_feller_margin,fast_feller_margin,correlation_disk_value,correlation_margin,ordering_margin,minimum_hard_bound_distance,accepted_hard_bound_near,accepted_feller_near,accepted_correlation_disk_near,accepted_weak_slow_fast_separation,accepted_any_boundary_near,accepted,primary_rejection_reason,rejection_reasons
0,interior_train,normal,interior_train,train,0,1.243000634088067,0.09042434055346166,0.22300649276360404,0.03135276568969139,0.04929891413487877,5.816420262170391,0.02487022815617846,0.1790171760635197,-0.23909254532320323,0.06829185256756057,True,True,0.637690208198044,0.8005520649881656,0.05814824114552068,0.9418517588544794,0.382712939588479,0.1155062028089821,False,False,False,False,False,True,,
1,interior_train,normal,interior_train,train,0,0.45614507595520626,0.07064650847350729,0.09065834658293208,0.01487667668323917,0.05899564879619193,3.938509281907837,0.07146933761986782,0.27205980515492695,-0.5240800982491073,0.09672157355427205,True,True,0.773798175890389,0.7676023606642937,0.2748812648899316,0.7251187351100684,0.2914112306236511,0.08608879053561012,False,False,False,False,False,True,,
2,interior_train,normal,interior_train,train,0,1.3241403078528584,0.09535757993504182,0.24600418288680942,-0.6534897757851882,0.1180666087622264,5.529319239470741,0.06855879392049069,0.4425029989540583,-0.30235754811390764,0.0568333675332967,True,True,0.6133669919641269,0.5894887483422562,0.5184689739572295,0.48153102604277054,0.3518978185454295,0.1560580127446378,False,False,False,False,False,True,,
3,interior_train,normal,interior_train,train,0,0.9320413991697771,0.043845149244102266,0.1624998802043473,-0.1042576822316152,0.05694495964217737,2.6570064331549084,0.019997549631667985,0.2125072608129261,0.054397394476352945,0.014150436480068737,True,True,0.5116165172920742,0.40354806529690257,0.013828740830124406,0.9861712591698756,0.1443485384087976,0.048993695484148135,False,False,False,False,False,False,ordinary_training_margin_policy,ordinary_training_margin_policy
4,interior_train,normal,interior_train,train,0,0.699862478941918,0.11145515801099684,0.21991050117433222,-0.5660361833341828,0.025254835165382503,2.6195058091039445,0.0541109738213619,0.15252726102594072,-0.38834444478620256,0.05564321472339821,True,True,0.5267280685118659,0.8483170709747659,0.47120836863983256,0.5287916313601675,0.16063960921857962,0.06866045818773729,False,False,False,False,False,True,,
5,interior_train,normal,interior_train,train,0,1.2312781717114234,0.04907883835358214,0.15373330256028764,-0.6356377648065951,0.10086987496609047,5.822927138502068,0.014429706508936626,0.11499183587577938,0.0229237494508599,0.05790233654435985,True,True,0.6728717122064645,0.8541052857052263,0.40456086633721006,0.59543913366279,0.38423840726281544,0.06277629549967993,False,False,False,False,False,True,,
6,interior_train,normal,interior_train,train,0,0.38299252283112106,0.09719759655820281,0.10883718015955374,-0.7241082819490418,0.12507900006792494,3.160205546849249,0.02686778907588474,0.2218596784417617,0.12564470584030213,0.08633359712047523,True,True,0.7254719916079023,0.5505629237640515,0.540119396092889,0.45988060390711105,0.23240276351616132,0.10435897503472737,False,False,False,False,False,True,,
7,interior_train,normal,interior_train,train,0,0.9953365338742168,0.05148809396220658,0.19215471195212158,-0.48465414500966136,0.13032872366631354,2.800340805989998,0.07693982538316725,0.5039689257349886,-0.540537562098263,0.031152453585512056,True,True,0.47032572835727393,0.25833077837925655,0.5270704963141793,0.47292950368582065,0.15104638260383108,0.11755021607061314,False,False,False,False,False,True,,
8,interior_train,normal,interior_train,train,0,0.7652641423001315,0.11995383338367813,0.2248299654414587,0.11041214225774745,0.03909499509230878,4.783121816838979,0.021239468434127023,0.2304873708532286,0.22710499161105516,0.0694023830657226,True,True,0.5682220561397773,0.585461487759985,0.0637675183726025,0.9362324816273975,0.33622239954299976,0.09716903249559102,False,False,False,False,False,True,,
9,interior_train,normal,interior_train,train,0,0.31241537913884115,0.06824903179018593,0.08318460020265993,-0.6110888128711653,0.1495594495203131,4.314273260456553,0.07969191873869172,0.21033849448381303,0.13476501826394333,0.05266935068439158,True,True,0.7207767919105506,0.8790975974738439,0.3915911473639711,0.608408852636029,0.3348835047127793,0.07857748764086425,False,False,False,False,False,True,,
