symbol,trade_date,split,engine,v0,spot_vol,state_fit_seconds,optimizer_evaluations,calibration_rows,holdout_rows,calibration_iv_rmse,holdout_iv_rmse
ADANIENSOL,2026-02-02,validation,pinn,0.08722346571987519,0.29533619100928893,0.0728918750101002,59,11,6,0.0041346124156946325,0.0099194464348698
ADANIENSOL,2026-02-03,validation,pinn,0.07442464918754726,0.2728088143509063,0.07865358299750369,64,15,7,0.01867263888085057,0.013902933378465536
ADANIENSOL,2026-02-04,validation,pinn,0.07504928385088504,0.27395124356513706,0.07543574999726843,61,13,6,0.01060253209653,0.008169512028733337
ADANIENSOL,2026-02-05,validation,pinn,0.06456816283366265,0.2541026619964117,0.06967374999658205,58,13,6,0.01401076083839593,0.010682120833309116
ADANIENSOL,2026-02-06,validation,pinn,0.05747938341571058,0.2397485837616368,0.0745366670016665,61,17,8,0.04049023600134744,0.01743366344559517
ADANIENSOL,2026-02-16,validation,pinn,0.13534644365700862,0.3678946094427161,0.07357074999890756,61,9,5,0.035104221915504816,0.029948224249085234
ADANIENSOL,2026-02-17,validation,pinn,0.1148715724678495,0.3389270901947047,0.06872433400712907,56,13,6,0.07296147572319872,0.0650473948485357
ADANIENSOL,2026-02-26,validation,pinn,0.005009246811121852,0.07077603274500381,0.08075187500799075,64,9,5,0.0253015401251516,0.025545434339505332
ADANIENSOL,2026-03-02,validation,pinn,0.043356199761583405,0.20822151608703507,0.06613037499482743,55,9,4,0.0018468512306422649,0.0036539632311461804
ADANIENSOL,2026-03-04,validation,pinn,0.0958815789563286,0.30964750758940174,0.06773179100127891,55,10,5,0.013619285548797027,0.008751559007178087
ADANIENSOL,2026-03-06,validation,pinn,0.0949024841190463,0.30806246788443137,0.05869441699178424,49,8,4,0.003881028751531614,0.006160519068434722
ADANIENSOL,2026-03-09,validation,pinn,0.14448883539226517,0.3801168707019792,0.06963379100488964,58,9,4,0.008410856985574516,0.007523840561012227
ADANIENSOL,2026-03-10,validation,pinn,0.11508536957602226,0.33924234637795775,0.06359216700366233,54,9,4,0.0030566090025114403,0.0034296499104255118
ADANIENSOL,2026-03-11,validation,pinn,0.2018503221376835,0.44927755579116513,0.07003008300671354,57,9,5,0.007072217743970453,0.005771534179471181
ADANIENSOL,2026-03-13,validation,pinn,0.19203085374045362,0.438213251443237,0.06728587500401773,54,9,4,0.00477720619827205,0.005926164542686398
ADANIENSOL,2026-03-18,validation,pinn,0.12040028530137953,0.3469874425701592,0.07293824999942444,59,11,5,0.005284663574574894,0.0045128737425780534
ADANIENSOL,2026-04-07,validation,pinn,0.25632607602482244,0.5062865552479371,0.07123950000095647,57,7,3,0.007140355320139088,0.00333786778923292
ADANIENSOL,2026-04-13,validation,pinn,0.34245591189044816,0.5851973273097274,0.06888145799166523,55,13,7,0.03240120537584443,0.03414735187761862
ADANIENSOL,2026-04-23,validation,pinn,0.37926199576507685,0.6158425088974265,0.06948950000514742,57,8,4,0.0074356224977329835,0.011333360770024158
ADANIENSOL,2026-04-27,validation,pinn,0.2870198784909987,0.5357423620463466,0.06779583400930278,55,9,5,0.009055372453137861,0.004968370932578291
ADANIENSOL,2026-04-29,validation,pinn,0.2349499101276191,0.48471631922973163,0.06163929200556595,51,10,6,0.008180779352832663,0.012691474907246841
ADANIENSOL,2026-05-05,validation,pinn,0.2730584065527659,0.5225499081932423,0.06367762500303797,53,10,6,0.008985327717942467,0.009855762067944298
ADANIENSOL,2026-05-06,test,pinn,0.23168803097793816,0.48133982899604116,0.06388833399978466,51,10,5,0.012883472822879601,0.008653180166400333
ADANIENSOL,2026-05-07,test,pinn,0.30397931326853544,0.551343190098994,0.07201699999859557,58,9,5,0.012746490439785154,0.013545770701338018
ADANIENSOL,2026-05-08,test,pinn,0.29477406718773524,0.5429309967092828,0.07069287498597987,58,8,4,0.01379338451410215,0.014532146421589147
ADANIENSOL,2026-05-22,test,pinn,0.17582164164510183,0.4193109128619262,0.07152291700185742,60,7,3,0.02336626319952925,0.027736695167495086
ADANIENSOL,2026-05-29,test,pinn,0.1256522894636947,0.35447466688565304,0.06891175000055227,56,11,6,0.00932553141725722,0.009336285117354171
ADANIENSOL,2026-06-02,test,pinn,0.17616419420631688,0.4197191849395461,0.06609037499583792,54,9,4,0.012450980104152524,0.01010906458395838
ADANIENSOL,2026-06-04,test,pinn,0.1900570437931749,0.435955323161875,0.0675905829994008,56,9,5,0.009039874955338168,0.01039924203581239
ADANIENSOL,2026-06-16,test,pinn,0.19654041424630786,0.443328787973788,0.0677668749995064,56,7,4,0.016439244603518425,0.022517919754917876
ADANIENSOL,2026-06-17,test,pinn,0.18039199129419106,0.4247257836465677,0.06586874999629799,54,8,4,0.012322492789755,0.013670381573475452
ADANIENSOL,2026-06-29,test,pinn,0.18412685450459804,0.4291000518580696,0.06926874999771826,58,6,3,0.00734726558687219,0.00846077712580998
ADANIENSOL,2026-07-06,test,pinn,0.11918774960914483,0.345235788424585,0.06545516700134613,54,11,6,0.00765664508387258,0.0067329176978664675
ADANIENSOL,2026-07-08,test,pinn,0.13826250986500788,0.3718366709524598,0.06374166600289755,52,15,7,0.015473140174384975,0.018890323292716515
ADANIENSOL,2026-07-10,test,pinn,0.12046439548270163,0.3470798114017893,0.06705754100403283,54,11,5,0.01652499038174772,0.0173917295703164
ADANIENSOL,2026-07-21,test,pinn,0.1080917572218126,0.32877310903085216,0.07489808299578726,57,13,7,0.11707813930310204,0.06427703365681499
ADANIENSOL,2026-07-28,test,pinn,0.0050090519524151455,0.07077465614480331,0.07076524999865796,60,11,5,0.045858825711708726,0.0533851028509027
ADANIGREEN,2026-02-03,validation,pinn,0.06622376107563346,0.25733977748423087,0.0741392499912763,60,21,11,0.014505030958908288,0.05386714879582699
ADANIGREEN,2026-02-04,validation,pinn,0.05682808086337033,0.23838641081943057,0.06638583399762865,53,18,9,0.01393819145873083,0.024551553489769635
ADANIGREEN,2026-02-09,validation,pinn,0.027632655605272897,0.16623073002689032,0.06837716599693522,56,17,8,0.016737530544429554,0.010887444298252884
ADANIGREEN,2026-02-10,validation,pinn,0.045722335134582084,0.21382781655945066,0.07057491700106766,58,17,9,0.020913181346062907,0.03363517233645528
ADANIGREEN,2026-02-12,validation,pinn,0.05646180973909175,0.23761693908282663,0.06266870799299795,52,17,8,0.04542152340848949,0.04141731393719272
ADANIGREEN,2026-02-16,validation,pinn,0.15456045355860076,0.393141772848677,0.06473891700443346,54,16,8,0.09094007664886962,0.05503224218864002
ADANIGREEN,2026-02-19,validation,pinn,0.005009109746541061,0.0707750644403879,0.07090058400353882,59,7,3,0.1198454011062223,0.11385426269351417
ADANIGREEN,2026-02-23,validation,pinn,0.0050090519524151455,0.07077465614480331,0.07381625000562053,60,9,4,0.08958112483071885,0.08699265822772925
ADANIGREEN,2026-02-24,validation,pinn,0.0050090519524151455,0.07077465614480331,0.0723581250058487,61,10,5,0.07439032410740298,0.08000519827941012
ADANIGREEN,2026-02-25,validation,pinn,0.005009111726722622,0.07077507842964656,0.07009179198939819,60,9,5,0.08079294983048972,0.08541484175024563
ADANIGREEN,2026-02-26,validation,pinn,0.005009103749924777,0.07077502207646973,0.07457391699426807,64,9,4,0.09537443059866567,0.09392846221880868
ADANIGREEN,2026-02-27,validation,pinn,0.005009093210326403,0.07077494761797004,0.07384458299202379,64,9,4,0.08908935953575614,0.0874985544854931
ADANIGREEN,2026-03-02,validation,pinn,0.0050090519524151455,0.07077465614480331,0.07800404199224431,63,13,6,0.015224320916475673,0.00873758950300702
ADANIGREEN,2026-03-10,validation,pinn,0.09527857819765974,0.30867228284648385,0.0649611250119051,56,12,6,0.021309855474119087,0.023494701356973787
ADANIGREEN,2026-03-12,validation,pinn,0.1076619564313271,0.32811881450372077,0.07041345899051521,57,15,7,0.022940050062988285,0.024441227976960318
ADANIGREEN,2026-03-13,validation,pinn,0.12724303885836682,0.35671142238280906,0.0763593339943327,61,13,7,0.0212266716468529,0.021106015413843982
ADANIGREEN,2026-03-16,validation,pinn,0.13133888068373906,0.3624070648921445,0.07004004200280178,57,17,8,0.03139298614396783,0.01823353233710318
ADANIGREEN,2026-03-20,validation,pinn,0.11314902954179161,0.33637632131556405,0.06933108299563173,57,14,7,0.02463920515653026,0.031193636108322285
ADANIGREEN,2026-03-25,validation,pinn,0.0050090519524151455,0.07077465614480331,0.07505045901052654,63,11,5,0.04207204777340884,0.0261924858401206
ADANIGREEN,2026-03-27,validation,pinn,0.06449778400152381,0.2539641392037935,0.06932379200588912,58,11,6,0.028440798408780606,0.041208712393196685
ADANIGREEN,2026-04-01,validation,pinn,0.03813066023921595,0.1952707357471056,0.07239824999123812,60,11,6,0.023293629396477427,0.030483248008436936
ADANIGREEN,2026-04-06,validation,pinn,0.21324964474712182,0.4617896109129371,0.06471287499880418,54,16,8,0.028762379909286012,0.02741224885662509
ADANIGREEN,2026-04-07,validation,pinn,0.1880067838184883,0.4335974905583383,0.06438020800123923,55,13,7,0.02065962699881503,0.028980937417927087
ADANIGREEN,2026-04-08,validation,pinn,0.15169366479697868,0.38947870904194326,0.07257958401169162,56,25,12,0.019104379651774445,0.015880087806783856
ADANIGREEN,2026-04-09,validation,pinn,0.16027358290056107,0.4003418325638242,0.07267858400882687,57,19,9,0.013499175104154522,0.005336471171480716
ADANIGREEN,2026-04-13,validation,pinn,0.23587401758461785,0.48566862940138295,0.06650595800601877,55,17,8,0.019101577564687666,0.016002230146583734
ADANIGREEN,2026-04-24,validation,pinn,0.11470861598331274,0.33868660437536163,0.059581459005130455,48,14,7,0.02432965702983469,0.018284373994883113
ADANIGREEN,2026-04-27,validation,pinn,0.11612630094096388,0.3407730930413431,0.07680749999417458,63,12,6,0.009748853233876672,0.008430661536225676
ADANIGREEN,2026-05-04,validation,pinn,0.11508164210531793,0.33923685251652413,0.07450783300737385,59,17,8,0.009384703901270218,0.010203210311953278
ADANIGREEN,2026-05-05,validation,pinn,0.11675983353340846,0.34170138064311134,0.06773408399021719,57,14,7,0.0077781633113487144,0.006582707418697327
ADANIGREEN,2026-05-06,test,pinn,0.08641434798034336,0.29396317453100035,0.07293983300041873,58,17,8,0.008477442960769048,0.00761602258931691
ADANIGREEN,2026-05-07,test,pinn,0.0992320059787869,0.31501112040495793,0.07359020799049176,61,19,9,0.009935761418390466,0.006743045263562077
ADANIGREEN,2026-05-08,test,pinn,0.11002343697756528,0.33169780972681334,0.0671469579974655,55,15,7,0.009732310155432073,0.01451481860951236
ADANIGREEN,2026-05-11,test,pinn,0.14967846197771434,0.38688300812741094,0.07344783400185406,62,20,10,0.02569218495143941,0.01597125812740235
ADANIGREEN,2026-05-20,test,pinn,0.0050090519524151455,0.07077465614480331,0.07713512500049546,63,7,3,0.013450691406441185,0.01317247995615197
ADANIGREEN,2026-05-22,test,pinn,0.0050090519524151455,0.07077465614480331,0.07178566600487102,61,7,3,0.03548637474296891,0.038376163147850355
ADANIGREEN,2026-05-25,test,pinn,0.0050090519524151455,0.07077465614480331,0.06951549999939743,56,9,5,0.01823162761004382,0.02430615165584542
ADANIGREEN,2026-05-27,test,pinn,0.0050090519524151455,0.07077465614480331,0.07373645801271778,60,17,8,0.04384982289113768,0.045304371526297814
ADANIGREEN,2026-05-29,test,pinn,0.0050091315839125095,0.07077521871327923,0.07619462499860674,63,15,7,0.037302150659407875,0.03693101944182979
ADANIGREEN,2026-06-01,test,pinn,0.005009088849267511,0.07077491680862304,0.07291037500544917,63,12,6,0.01183058824515287,0.010627911693892263
ADANIGREEN,2026-06-02,test,pinn,0.0050090519524151455,0.07077465614480331,0.07153116600238718,59,13,7,0.0065282226107390064,0.007252809175813155
ADANIGREEN,2026-06-05,test,pinn,0.0050090519524151455,0.07077465614480331,0.0684811660030391,59,16,8,0.0112592468908641,0.012059490040790242
ADANIGREEN,2026-06-09,test,pinn,0.02657505544804874,0.16301857393575966,0.06732987500436138,59,13,7,0.0136039598390773,0.014213653809568698
ADANIGREEN,2026-06-11,test,pinn,0.03561041726713926,0.18870722632464096,0.0683470420044614,58,13,7,0.005503863560932318,0.008530761682877556
ADANIGREEN,2026-06-12,test,pinn,0.019774280385619573,0.1406210524267955,0.0727037089964142,62,13,6,0.007890860002052524,0.009768696562948468
ADANIGREEN,2026-06-16,test,pinn,0.042497296142550545,0.20614872335901221,0.06960645801154897,57,10,5,0.004691650740540477,0.006040088939587889
ADANIGREEN,2026-06-19,test,pinn,0.045391137130779725,0.2130519587583736,0.06808920900220983,57,15,7,0.03683071886079704,0.013317440914810214
ADANIGREEN,2026-06-22,test,pinn,0.07076737974495072,0.266021389638034,0.07708449999336153,63,19,9,0.07414612372344477,0.07007172323767012
ADANIGREEN,2026-07-01,test,pinn,0.0050090519524151455,0.07077465614480331,0.0683539170131553,59,10,5,0.034944561559619884,0.036840044133266074
ADANIGREEN,2026-07-02,test,pinn,0.0050090519524151455,0.07077465614480331,0.07956845901207998,63,12,6,0.032232375847729,0.03132845308881464
ADANIGREEN,2026-07-03,test,pinn,0.0050090519524151455,0.07077465614480331,0.07157412500237115,59,12,6,0.02186166859484676,0.02192392452803345
ADANIGREEN,2026-07-06,test,pinn,0.014240352483590554,0.11933294802187096,0.0718172089982545,58,12,6,0.007263439386774641,0.008771697803361038
ADANIGREEN,2026-07-08,test,pinn,0.09907099110759138,0.3147554465098124,0.0672693749947939,56,13,7,0.009639261489307776,0.011111544954946867
ADANIGREEN,2026-07-10,test,pinn,0.07379187909185735,0.2716466069949289,0.05783029198937584,48,13,7,0.010182721944274747,0.01672007632572777
ADANIGREEN,2026-07-14,test,pinn,0.16111740713728245,0.401394328730841,0.0680882080050651,58,14,7,0.009685136327388329,0.009280740710857723
ADANIGREEN,2026-07-20,test,pinn,0.2639109864040491,0.5137226746057147,0.06756450000102632,57,13,6,0.0120246092354896,0.010940212146471794
ADANIGREEN,2026-07-23,test,pinn,0.005009148869027939,0.07077534082593978,0.07226670799718704,60,12,6,0.07712472101733997,0.07177896693803838
ADANIGREEN,2026-07-24,test,pinn,0.0050090519524151455,0.07077465614480331,0.07352749998972286,62,11,6,0.07183152649844399,0.07199883457011814
ADANIGREEN,2026-07-27,test,pinn,0.0050090519524151455,0.07077465614480331,0.07477662499877624,62,11,6,0.04836648806607379,0.04659494071480781
ADANIGREEN,2026-07-29,test,pinn,0.0050090519524151455,0.07077465614480331,0.0730454160075169,60,10,5,0.05425371383230715,0.05545711557776474
ADANIGREEN,2026-07-30,test,pinn,0.0050090519524151455,0.07077465614480331,0.07276770900352858,60,7,4,0.05308668477851948,0.0531259405346599
ADANIGREEN,2026-07-31,test,pinn,0.0050090519524151455,0.07077465614480331,0.0752368329995079,62,9,5,0.05797674058802778,0.05322190217079205
