symbol,first_trade_date,last_trade_date,observed_spot_max,observed_spot_min,listed_strike_max,listed_strike_min,spot_rows_with_underlying,spot_rows_total,ten_year_price_max,pinn_spot_low,pinn_spot_high
ADANIENSOL,2024-11-29,2026-08-03,1741.6,646.65,2000.0,520.0,18506,18506,2000.0,0.0,3000.0
ADANIGREEN,2024-11-29,2026-08-03,1604.5,768.55,1840.0,560.0,26243,26243,1840.0,0.0,2760.0
ADANIPOWER,2016-08-03,2026-08-03,248.9,157.1,280.0,1.0,5380,22483,280.0,0.0,420.0
CESC,2016-08-03,2025-08-26,199.65,122.2,1300.0,37.0,6108,20016,1300.0,0.0,1950.0
JSWENERGY,2016-08-03,2026-08-03,688.95,431.5,780.0,40.0,20339,25459,780.0,0.0,1170.0
NHPC,2016-08-03,2026-08-03,90.93,72.13,102.0,2.5,20361,26859,102.0,0.0,153.0
NTPC,2016-08-03,2026-08-03,443.2,298.2,500.0,60.0,34703,125268,500.0,0.0,750.0
POWERGRID,2016-08-03,2026-08-03,365.45,250.85,420.0,67.5,31792,107501,420.0,0.0,630.0
PTC,2016-08-03,2019-01-30,,,150.0,50.0,0,9388,150.0,0.0,225.0
RPOWER,2016-08-03,2019-06-26,,,75.0,1.0,0,12175,75.0,0.0,112.5
SJVN,2024-11-29,2025-08-26,122.25,82.0,140.0,60.0,6934,6934,140.0,0.0,210.0
TATAPOWER,2016-08-03,2026-08-03,485.5,337.15,560.0,19.0,40660,134760,560.0,0.0,840.0
TORNTPOWER,2016-09-30,2026-04-27,1772.4,1200.0,2000.0,125.0,12065,36920,2000.0,0.0,3000.0
