scope,model,rows,iv_rmse,iv_mae,iv_bias,iv_r2,experiment
ALL,selected_heston,8818,0.0444693084571023,0.0280483186124715,-0.0046039663409389,0.8148987526411452,original locked next-session
ALL,prior_session_expiry_median_iv,8818,0.0680792055567631,0.0420602986394565,-0.0315877116444233,0.5661720265380428,original locked next-session
ALL,selected_heston,2979,0.0273436243927604,0.0196123324435321,0.0111961111607188,0.9009011527087252,original locked next-session
ALL,prior_session_expiry_median_iv,2979,0.0246227798069602,0.0174195788959241,0.0052477804543525,0.9196417248714294,original locked next-session
ALL,selected_heston,4482,0.0348040004293774,0.0243400195995853,-0.0016920510509893,0.833398968304047,original locked next-session
ALL,prior_session_expiry_median_iv,4482,0.0482666047049271,0.0346849948143908,-0.0291871489723852,0.6795849882096952,original locked next-session
ALL,selected_heston,1357,0.0849002037266917,0.0588157460060062,-0.0489073084242053,0.4282979193380937,original locked next-session
ALL,prior_session_expiry_median_iv,1357,0.1452307476226067,0.1205133685436037,-0.1203808235518134,-0.6728979698187072,original locked next-session
ALL,selected_heston,6900,0.0475874599052522,0.0298172077203258,-0.0103580357713071,0.8021153537099028,original locked next-session
ALL,prior_session_expiry_median_iv,6900,0.0750742459768917,0.0476885141892679,-0.0372424886445338,0.5074968539318161,original locked next-session
ALL,selected_heston,1918,0.0307387175435567,0.0216847446582512,0.0160962834346297,0.8443559646055143,original locked next-session
ALL,prior_session_expiry_median_iv,1918,0.0321305649342805,0.0218128078711049,-0.0112446661278631,0.8299417455712947,original locked next-session
ALL,Single Heston,8814,0.0441996135263416,0.0279568156472012,-0.0045018237785406,0.8165779091304226,identical-row Single vs Double
ALL,Double Heston,8814,0.0455096044540236,0.0282643203791824,-0.0056009346653749,0.8055442375076615,identical-row Single vs Double
