category,check,passed,observed,severity,detail
source,input_sha256_matches_locked_NSE_model_input,True,a8a56dd7b17074d8fa32f88936c8b404456f22f296d9dc4665faf3b13621f1d3,critical,
source,model_ready_row_count_is_locked,True,215636,critical,
source,model_input_row_keys_unique,True,0,critical,
source,model_input_contains_11_power_stocks,True,11,critical,
source,model_ready_filter_reproduces_locked_subset,True,"all=572512, ready=215636",critical,
source,source_paths_are_NSE_bhavcopies,True,0,critical,
source,referenced_raw_NSE_files_exist_locally,True,0,critical,All row-level source paths resolve in the project tree.
expiry,expiry_distance_matches_saved_days,True,0,critical,
expiry,maturity_is_exact_days_divided_by_365,True,4.931506591976387e-11,critical,
expiry,multiple_historical_expiry_weekdays_preserved,True,"Monday, Thursday, Tuesday",critical,No weekday normalization was applied.
chronology,single_candidates_strictly_precede_validation,True,0,critical,
chronology,single_origin_strictly_precedes_target,True,0,critical,
chronology,single_saved_split_matches_independent_70_15_15,True,0,critical,
chronology,single_validation_and_test_keys_disjoint,True,0,critical,
selection,single_validation_selection_recomputed,True,11,critical,
selection,single_selection_declares_validation_only,True,0,critical,
selection,single_has_three_train_only_candidates_per_stock,True,3,critical,
lineage,single_test_rows_resolve_to_source,True,0,critical,
lineage,single_test_values_match_source_rows,True,0,critical,
equation,single_variance_propagation_recomputed,True,1.1102230246251565e-16,critical,
equation,single_saved_prices_reprice_exactly,True,1.1368683772161603e-12,critical,
equation,single_saved_IV_inverts_saved_prices,True,5.703770789011742e-13,critical,
validity,single_prices_within_no_arbitrage_bounds,True,0,critical,
constraints,all_single_candidates_Feller_valid,True,0.02495313693270962,critical,
constraints,all_single_candidates_within_declared_bounds,True,33 candidates,critical,
metrics,single_selected_heston_metrics_recomputed,True,9.367506770274758e-17,critical,
metrics,single_prior_session_expiry_median_iv_metrics_recomputed,True,8.326672684688674e-17,critical,
chronology,double_candidates_strictly_precede_validation,True,0,critical,
selection,double_has_five_train_only_candidates_per_stock,True,5,critical,
selection,each_double_validation_key_has_all_five_candidates,True,5,critical,
selection,double_validation_selection_recomputed,True,11,critical,
selection,double_selection_declares_validation_only,True,0,critical,
constraints,all_double_candidates_satisfy_both_Feller_conditions,True,3.28336959995474e-05,critical,
constraints,all_double_candidates_have_ordered_factors,True,0,critical,
constraints,all_double_candidates_satisfy_joint_correlation_disk,True,0.9496814173760569,critical,
overfit,double_boundary_near_candidates_recorded,True,55,warning,"A passing evidence check records that every candidate is boundary-near; this is an identifiability warning, not a quality success."
equation,double_variance_propagation_recomputed,True,1.1102230246251565e-16,critical,
equation,double_saved_prices_reprice_exactly,True,6.821210263296962e-13,critical,
equation,double_saved_IV_inverts_saved_prices,True,1.1843370728570335e-10,critical,
validity,double_prices_within_no_arbitrage_bounds,True,0,critical,
coverage,single_test_universe_has_8818_rows,True,8818,critical,
coverage,double_common_and_failure_rows_partition_single_universe,True,"common=8814, failures=4, universe=8818",critical,
coverage,double_invalid_rows_are_documented_not_imputed,True,4,critical,
lineage,single_and_double_use_identical_common_rows,True,8814,critical,
metrics,single_heston_comparison_metrics_recomputed,True,7.632783294297951e-17,critical,
metrics,double_heston_comparison_metrics_recomputed,True,8.326672684688674e-17,critical,
metrics,double_minus_single_cluster_bootstrap_recomputed,True,0.0,critical,
overfit,historical_bootstrap_favors_single_Heston,True,"95% interval [0.00060695, 0.00199293]",warning,
overfit,single_three_fold_strike_crossfit_metrics_recomputed,True,3.469446951953614e-18,critical,
leakage,all_strike_crossfit_leakage_checks_pass,True,11/11,critical,
overfit,quadratic_same_day_smile_beats_single_Heston,True,quadratic=0.014712; Heston=0.030028,warning,
overfit,single_half_sample_boundary_flags_recorded,True,39,warning,
honesty,generalized_single_result_labeled_retrospective,True,"retrospective historical-test comparison; the original test graph was viewed before the improvement was designed, so future NSE sessions are required for pristine forward confirmation",warning,
honesty,conditional_evaluation_scope_explicit,True,['CONDITIONAL_ON_REALIZED_TARGET_SPOT_AND_QUOTES'],warning,The evaluation uses realized target spot and listed quote coordinates; it is not a pure pre-market spot/contract forecast.
controlled,single_exact_synthetic_recovery,True,3.221947400236205e-10,critical,
controlled,single_one_percent_noise_sensitivity_recorded,True,0.1241260944772804,warning,
controlled,double_exact_synthetic_recovery,True,1.1886345312058081e-05,critical,
controlled,double_one_percent_noise_sensitivity_recorded,True,0.28874634698904245,warning,
privacy,no_credential_patterns_in_reviewed_code_and_reports,True,[],critical,
privacy,raw_machine_artifacts_with_local_paths_identified,True,"['outputs/single_heston_next_day_forecast/parameter_candidates_train_only.csv', 'outputs/single_heston_next_day_forecast/next_day_forecast_summary.json']",warning,Do not share these raw files verbatim; use the sanitized handoff catalogs and report.
