model,symbol,selected_candidate,kappa,theta,sigma,rho,v0_training_median,validation_iv_rmse,training_last_date
Single Heston,ADANIENSOL,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,0.1514671765058412,0.049178544040827,2026-01-29
Single Heston,ADANIGREEN,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,0.1676403212150879,0.0772557131502714,2026-01-29
Single Heston,ADANIPOWER,main,9.996658890599742,0.5603971189096888,3.039316435159249,-0.0553112678806645,0.3252963385345131,0.0233627889728946,2026-06-25
Single Heston,CESC,half_a,5.506302104860819,0.8793728154859137,3.095346362786221,0.1348525235979984,0.0395884093074427,0.0734653302029163,2025-06-06
Single Heston,JSWENERGY,main,9.996663265939349,0.4261526026477331,2.9033742402422864,-0.1220503677663624,0.098113232677119,0.0449946118553637,2026-01-29
Single Heston,NHPC,half_a,9.996663266201772,0.2585947109522889,2.2616760965826956,0.0126045718209338,0.0457677416553846,0.0426142521472198,2026-01-29
Single Heston,NTPC,half_a,9.996663266201034,0.1208304310367263,1.5459984334561392,-0.0941109606214549,0.0562038248009049,0.0482915201191362,2025-12-15
Single Heston,POWERGRID,main,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.1142744527892025,0.0293783084496977,0.0466877992843884,2025-12-15
Single Heston,SJVN,main,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982,0.1275901339773908,0.0449676364388064,2025-06-06
Single Heston,TATAPOWER,main,9.996663266139077,0.1754136729326282,1.862740889858218,0.0300420672198875,0.0642002052680835,0.0528406988741731,2025-12-15
Single Heston,TORNTPOWER,half_b,9.996663266201248,0.3952351931416766,2.7960714841213345,-0.1134629799333277,0.0569399052168659,0.0505589402987425,2025-12-09
