symbol,candidate,candidate_source,training_objective,training_dates,training_first_date,training_last_date,optimizer_evaluations,v0_slow_training_median,v0_fast_training_median,kappa_slow,theta_slow,sigma_slow,rho_slow,kappa_fast,theta_fast,sigma_fast,rho_fast,feller_gap_slow,feller_gap_fast,correlation_radius
ADANIENSOL,full_start_1,all training dates; generic start 1,4.857522494247592e-05,12,2024-12-06,2025-08-29,140,0.041579874716494,0.0572299633342539,4.949989085619324,0.2599803909832907,1.594924138976589,0.643511410209002,9.911396769289372,0.2035865137579847,1.9974842173735872,-0.6978780712474282,0.0300171865944536,0.045710230806979,0.9492843290591122
ADANIENSOL,full_start_2,all training dates; generic start 2,6.563857890486501e-05,12,2024-12-06,2025-08-29,92,0.0216782610604579,0.0839144827519471,4.992429885248985,0.1559490599628256,1.241192278540782,-0.9496533935809938,7.877203729104039,0.3071186525415652,2.187922724791913,-4.058749656507451e-06,0.0165712227605345,0.05146654049478,0.9496533935896672
ADANIENSOL,full_start_3,all training dates; generic start 3,4.856387259536831e-05,12,2024-12-06,2025-08-29,140,0.0418075255052146,0.0570057504632509,4.962104007876751,0.2598143045813771,1.5965990632140257,0.6419198030026522,9.917424736662854,0.2033802952799629,1.9972682041343872,-0.6994390216546665,0.0293226354780209,0.044937263472399,0.9493555595772328
ADANIENSOL,training_half_a,alternating training-date half A,3.707714661269871e-05,6,2024-12-06,2025-08-07,140,0.0453927680985835,0.0934576440863146,4.75564960896903,0.3538489793353169,1.8215148980837872,0.5675245727714624,9.917286823712145,0.2069070978124285,2.013533029466333,-0.7602140090570412,0.0476469964789902,0.0495988089835641,0.9486882945762586
ADANIENSOL,training_half_b,alternating training-date half B,8.400422140814212e-05,6,2025-02-07,2025-08-29,62,0.0141976106445489,0.0637933135484413,4.991910051096245,0.1201947763825449,1.0896067115864845,-0.9496783076585936,5.173684044779602,0.4612426127449319,2.1729900935952204,-1.1786884378304543e-06,0.0127602386922713,0.0507611457988561,0.949678307659325
ADANIGREEN,full_start_1,all training dates; generic start 1,3.7609714574311145e-05,12,2024-11-29,2025-07-10,80,0.0170282000969577,0.1071666630467588,0.229832030806533,0.1502678900015914,0.2614173500800085,-0.948792926543852,4.597594223201534,0.8485209042642579,2.77836647481789,-0.0408395754918629,0.0007337177253032,0.0829893470301978,0.94967146339458
ADANIGREEN,full_start_2,all training dates; generic start 2,3.7458554153893305e-05,12,2024-11-29,2025-07-10,45,0.0273115270744802,0.0999550371362508,4.998306686627307,0.0833729089218261,0.9080671072684876,-0.9496814173758128,8.763302784781079,0.4440751751719493,2.7749495696041144,-6.798144503508654e-07,0.0088608649921074,0.0827853246269167,0.9496814173760564
ADANIGREEN,full_start_3,all training dates; generic start 3,3.760968552571796e-05,12,2024-11-29,2025-07-10,72,0.0170280059389409,0.107165785669663,0.2299930640330203,0.1503035832675061,0.2615411430143493,-0.9488031470104884,4.597021382129155,0.8486065262893342,2.778333549604072,-0.0408334113897116,0.0007337938124196,0.0829873798772702,0.9496814093488026
ADANIGREEN,training_half_a,alternating training-date half A,4.214440418478532e-05,6,2024-11-29,2025-07-03,95,0.0299272019605521,0.0953052043283242,3.813725157027662,0.1715702420143102,1.137861416054948,-0.9496814163301088,3.927226552024502,0.8276564483437063,2.536068716770286,-7.207488593810168e-07,0.0139148941880264,0.0691442235985135,0.9496814163303822
ADANIGREEN,training_half_b,alternating training-date half B,2.9707724945363737e-05,6,2025-01-17,2025-07-10,62,0.015631463106082,0.0516993100668678,0.8857955978775013,0.0768089956640238,0.3669181408430877,-0.949679314764326,9.9967559873317,0.4341942686347538,2.9306536743403435,-3.90507110639422e-06,0.0014452183934208,0.0923373503546116,0.9496793147723548
ADANIPOWER,full_start_1,all training dates; generic start 1,1.1943160985269465e-05,12,2026-04-06,2026-05-07,67,0.1302238164334976,0.0719614866418737,4.998338477054964,0.4339152338011821,1.1970269788297638,0.8240668966521499,9.998354706133178,0.5657228493052054,3.3454841663004258,-0.4720259996562597,2.9048368297311864,0.1203311184686874,0.9496814173760568
ADANIPOWER,full_start_2,all training dates; generic start 2,1.2201883314629373e-05,12,2026-04-06,2026-05-07,45,0.078578416424878,0.2095144855696649,4.998279097693616,0.8481590988157801,2.8962882644492502,-0.5290360385915117,9.997689103634707,0.1515116486000997,1.205051763981581,0.7886566350040536,0.0901860794726872,1.5773829626907765,0.9496622652630335
ADANIPOWER,full_start_3,all training dates; generic start 3,1.2202079589873005e-05,12,2026-04-06,2026-05-07,59,0.0784820891185634,0.2091728998934103,4.998340010180476,0.8459356802109068,2.892499924300738,-0.531453049950275,9.997613578496718,0.1537341665769181,1.2085561230230613,0.7870163459129911,0.0899925007950468,1.6133416800000144,0.949651026975534
ADANIPOWER,training_half_a,alternating training-date half A,1.7674556655582357e-05,6,2026-04-06,2026-05-06,140,0.1572090109306808,0.029434689974074,4.989021485315913,0.2720292924215589,1.2552511135268622,0.835903926933131,9.99031514577088,0.7266435007740212,3.787793682997343,-0.4485831432335906,1.138664611042458,0.1714141577627774,0.9486633815298012
ADANIPOWER,training_half_b,alternating training-date half B,5.890983237380707e-06,6,2026-04-08,2026-05-07,47,0.0658999462562019,0.1650049302536469,4.998339922348355,0.8494857453509923,2.898570431783768,-0.4814696338554334,5.0999911696644915,0.1501853292611971,0.844050586403031,0.8185852345263206,0.0903264808962855,0.8194663136832191,0.9496814173760568
CESC,full_start_1,all training dates; generic start 1,4.21703063414076e-05,12,2024-12-05,2025-05-19,106,0.0059231648774497,0.0286042743208016,0.0518084435707946,0.1504446887042075,0.0182394792279535,-0.0084618214494635,5.793627113981058,0.8471949972841002,3.116447611766642,-9.42566658538617e-07,0.0152559317280084,0.1044180973025366,0.00846182150196
CESC,full_start_2,all training dates; generic start 2,4.216646726146315e-05,12,2024-12-05,2025-05-19,76,0.005911795921456,0.0286090370462816,0.0516608992960675,0.150203221825269,0.0101713378565994,-0.0007608985758293,5.784641444194157,0.8484479659197697,3.116331930630938,-1.2306392388120936e-06,0.0154158109195271,0.1044098319335145,0.0007608995710158
CESC,full_start_3,all training dates; generic start 3,4.216718990692618e-05,12,2024-12-05,2025-05-19,93,0.0059111787061354,0.0286203565021221,0.0516599831458981,0.1504805563297044,0.0140159009463942,-0.0025752406332675,5.800405782298092,0.846436497852143,3.116874083508484,2.856487313926832e-09,0.0153512005282166,0.1044462605325815,0.002575240633269
CESC,training_half_a,alternating training-date half A,5.8719822003386065e-05,6,2024-12-05,2025-05-06,79,0.0058430856522913,0.0241199648775787,0.0517037571728708,0.150342519173402,0.0135929193787164,-0.0011077073849227,5.762405816904913,0.8479778786743382,3.109474955107853,-2.4089073266224397e-07,0.0153617787509622,0.1039508249164065,0.0011077074111157
CESC,training_half_b,alternating training-date half B,2.3383683311466976e-05,6,2024-12-09,2025-05-19,73,0.0083110991493193,0.025416893031712,0.0561064848740571,0.1502208094111633,0.1291372835411807,-0.9496202797100058,5.803090397807002,0.8493508000638451,3.122957671338285,-1.1179785154509703e-06,0.0001802851415968,0.1048543274697433,0.949620279710664
JSWENERGY,full_start_1,all training dates; generic start 1,1.9686261298144584e-05,12,2024-12-30,2025-06-06,140,0.0268028864474441,0.0473848512511044,4.83019191457844,0.3360533535813503,1.7908560449276898,0.6501997997167203,9.86991253243113,0.2352715560697138,2.142738344106523,-0.6914218395947501,0.0392390090171685,0.0528917482497206,0.9491174531217154
JSWENERGY,full_start_2,all training dates; generic start 2,2.78621690558715e-05,12,2024-12-30,2025-06-06,65,0.018643069798967,0.0355568071861497,4.997440652296575,0.1145860207603707,1.064469718111654,-0.949679617492082,5.107722633318876,0.6007740455766871,2.4641221820175434,-3.1424037879534686e-06,0.0121778958888476,0.0652762522942822,0.9496796174972808
JSWENERGY,full_start_3,all training dates; generic start 3,1.9681766225031743e-05,12,2024-12-30,2025-06-06,140,0.0268258695297904,0.04739048611885,4.870043165492925,0.3352556928090831,1.7963651348994438,0.6473157283864723,9.898083420699532,0.2338464843312601,2.1392536025360926,-0.6941277725024166,0.0384916930326442,0.0528580431325869,0.9491211812912383
JSWENERGY,training_half_a,alternating training-date half A,1.4228300282921016e-05,6,2024-12-30,2025-05-30,72,0.0066612003333436,0.0370792442748137,2.1538982537194173,0.1501790785062264,0.8000397096015843,-0.9496814173729304,3.672888975247621,0.8494116357904777,2.484597265398864,-2.389013020019992e-06,0.0068773729401173,0.0663656938562731,0.9496814173759353
JSWENERGY,training_half_b,alternating training-date half B,3.6026509863665506e-05,6,2025-01-03,2025-06-06,65,0.0208219624283022,0.0446886288501574,4.995403549169228,0.1689134435061324,1.2921439430448938,-0.9496806994315076,9.870257574637176,0.3631764549563148,2.663275186326186,-1.7618846562615124e-06,0.0179456608382537,0.0762555928241059,0.9496806994331418
NHPC,full_start_1,all training dates; generic start 1,1.128344127376734e-05,12,2025-01-03,2025-11-25,94,0.0047597184085733,0.0355091470714034,0.0543643177994692,0.0862429318529008,0.0960352117725656,-0.9438487845942244,3.800453760631151,0.4426329593877144,1.824452345394576,-1.5512810038829214e-06,0.0001543144102166,0.0357858295529007,0.9438487845954991
NHPC,full_start_2,all training dates; generic start 2,1.128491063775976e-05,12,2025-01-03,2025-11-25,140,0.004770756333447,0.0354873528991685,0.0552131016402268,0.086986576044746,0.0971933249390803,-0.9465174717942488,3.776900739728441,0.4450061709314531,1.823656642460241,-1.3445827450164714e-05,0.0001590549162741,0.0357647227600943,0.9465174718897518
NHPC,full_start_3,all training dates; generic start 3,1.1282503906798176e-05,12,2025-01-03,2025-11-25,77,0.0047568106220245,0.0354852848247988,0.0536259141730786,0.0849836235557603,0.0949338146572231,-0.9494730987236296,3.726138457318077,0.4504319384112619,1.8223727234385456,-2.7252537790752027e-06,0.0001022198404648,0.0357011931042383,0.9494730987275408
NHPC,training_half_a,alternating training-date half A,1.347554388899267e-05,6,2025-01-03,2025-10-20,111,0.0041136155859378,0.0300679330417909,0.0635743970290944,0.1356286098207681,0.1299232266363663,-0.9448298070407706,3.36002636682258,0.6606079986711142,2.095669534560627,-6.699927655969502e-06,0.0003649693588946,0.0474897892521246,0.9448298070645256
NHPC,training_half_b,alternating training-date half B,7.973573644763614e-06,6,2025-01-31,2025-11-25,140,0.0034029746750681,0.023180627611215,0.0516599831998707,0.1500996653628613,0.1238648403777153,-0.949643612384304,1.8465051192762072,0.8483879964449641,1.7606205079489534,-0.0084427472249759,0.0001657937001063,0.0333209841257913,0.9496811415011964
NTPC,full_start_1,all training dates; generic start 1,1.86117067956331e-05,12,2024-07-08,2024-11-07,140,0.0168546662465535,0.031861718647706,4.975144938143851,0.0963320638909556,0.9733262991122204,0.6573763585844452,9.995980817953717,0.0610773075796172,1.09907950232777,-0.6847645509637614,0.0111678755525844,0.0130794375191667,0.949234516377458
NTPC,full_start_2,all training dates; generic start 2,2.3540943198966912e-05,12,2024-07-08,2024-11-07,30,0.0071923958865617,0.0524339233717893,4.998337142040018,0.0184671273450668,0.4273741661049325,-0.9496247415250176,9.998356226450875,0.1044546863241627,1.4375458132816274,-0.0103752008622166,0.001961179177374,0.0222123614987954,0.9496814173760524
NTPC,full_start_3,all training dates; generic start 3,2.3558764384291703e-05,12,2024-07-08,2024-11-07,39,0.0071929394625843,0.0523874159454272,4.998333270547542,0.0184717576732727,0.4274275749575172,-0.9496814155389608,9.998356205605488,0.1044808766326839,1.4377260206473774,7.476621292778171e-07,0.0019616700535582,0.0222179320484503,0.9496814155392552
NTPC,training_half_a,alternating training-date half A,2.190339708160776e-05,6,2024-07-08,2024-10-30,91,0.0054773519820608,0.0491489142547661,0.0846061283624604,0.0209701556159799,0.0591165884552447,0.9406183373425644,9.996567357389994,0.1182109315597659,1.5291413560812792,-0.1061859364745563,5.363632506595823e-05,0.0251337925559438,0.9465930010569849
NTPC,training_half_b,alternating training-date half B,2.0295165697087773e-05,6,2024-07-25,2024-11-07,136,0.0222215563085727,0.0302991090763977,4.997312698820739,0.0811780092423029,0.8958525501710582,0.6506354102297093,9.99745420959367,0.0664646484315502,1.1466572665025196,-0.6916158696602607,0.0087920012551072,0.0141316716793005,0.949557237985526
POWERGRID,full_start_1,all training dates; generic start 1,1.4890509107911212e-05,12,2024-07-08,2024-12-23,89,0.002922822981195,0.0245746249985334,0.0522284650460566,0.039318918616447,0.0573856823563559,0.9101284462829982,6.281743533957302,0.2197377798503469,1.652668414710312,-0.1407138212293501,0.0008140169937111,0.0293598665010046,0.9209420004639108
POWERGRID,full_start_2,all training dates; generic start 2,1.2124951928473228e-05,12,2024-07-08,2024-12-23,140,0.0113190058460019,0.0131038287772183,4.997745005636855,0.1505541979709944,1.2201889529771972,-0.7518479776596809,5.100274119689849,0.1146785125319373,1.0758000298490342,0.5801891182986766,0.016001901006811,0.0124379948791533,0.949681417372767
POWERGRID,full_start_3,all training dates; generic start 3,1.2130461214080788e-05,12,2024-07-08,2024-12-23,140,0.0118191424557147,0.0131671413318059,4.9956169648869775,0.1537548478866967,1.2328279819856374,-0.7359503825732026,5.113148374821945,0.1098494609270323,1.0542338522175214,0.6002215851696179,0.016335819906019,0.0119441700668496,0.949678322861574
POWERGRID,training_half_a,alternating training-date half A,2.3875675407073637e-05,6,2024-07-08,2024-12-13,92,0.0019829937226791,0.0127884310271564,1.4881979698771963,0.1996413829574731,0.7667431536042225,-0.9496808304056428,1.5943614316809078,0.7174082692632527,1.5044229862421776,-2.657675360827118e-05,0.0063167380426266,0.0243276290307323,0.9496808307775172
