symbol,kappa_slow_log_range,theta_slow_log_range,sigma_slow_log_range,kappa_fast_log_range,theta_fast_log_range,sigma_fast_log_range,max_positive_parameter_log_range,rho_slow_range,rho_fast_range,training_objective_range
ADANIENSOL,0.04858943955008437,1.0797566466209778,0.5138517003790402,0.650708268484878,0.818846577272077,0.09117221726101844,1.0797566466209778,1.5931897178675958,0.7602128303686033,4.692707479544341e-05
ADANIGREEN,3.0795057301000734,0.8036709928444506,1.4707876560923785,0.9343271743015227,0.6701035658638264,0.14461036246488979,3.0795057301000734,0.0008884908319607421,0.04083889567741255,1.2436679239421582e-05
ADANIPOWER,0.001866063939478183,1.1387214077014105,0.8843766958663223,0.673181741780473,1.576565927070958,1.501326557580535,1.576565927070958,1.367356976883406,1.2906112341825802,1.178357341820165e-05
CESC,0.08256793933393285,0.0018446926853325162,2.5413023012553606,0.0070355388072405765,0.0034371115815637807,0.004326637148395204,2.5413023012553606,0.9488593811341766,1.2334957261260204e-06,3.533613869191909e-05
JSWENERGY,0.8416465701954949,1.075944123831703,0.8088591692702638,0.9913626054166084,1.2898790664239663,0.21909965412065668,1.2898790664239663,1.5998812170896506,0.6941260106177604,2.179820958074449e-05
NHPC,0.2075273643985573,0.5688409353306231,0.3137637506860333,0.7218257425677714,0.6505971816210542,0.17420678096998243,0.7218257425677714,0.00579482779007956,0.008441195943972017,5.5019702442290556e-06
NTPC,4.078853861248883,1.651808970497228,2.801207810079175,0.00023760812904767998,0.6603301851308708,0.33023335928149805,4.078853861248883,1.8902997528815253,0.69161661732239,4.947057588658602e-06
POWERGRID,4.561114437154765,1.624816879058016,3.0672711457493955,1.3711742749830913,1.876534200280452,0.4495769059717682,4.561114437154765,1.859809276688641,0.7409354063989679,1.8362506523497094e-05
SJVN,3.4469996247827033,0.008172940453189772,1.7270678750725652,0.2782474585234372,0.009137522039884228,0.14375169445026695,3.4469996247827033,0.0006055081489015901,1.1770451833660387e-05,3.409737696778928e-06
TATAPOWER,2.15342299280239,1.6037208712437754,1.0828803473356712,1.481037156220448,1.6037182712348679,0.06134704667532885,2.15342299280239,0.0023410190425487976,0.06664133625044596,2.947449885116159e-06
TORNTPOWER,0.9617639333603899,1.1546040264655635,1.0534084241505033,0.653741746323338,0.809994235775251,0.3815876268700098,1.1546040264655635,1.5914470750896095,0.6988667546117041,1.3932531369270787e-05
