symbol,kappa,theta,sigma,rho,v0_training_median,feller_gap,training_surface_fits,stable_training_fits,selected_training_date,training_last_date,test_first_date,selection_rule
ADANIENSOL,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.14990878609910696,0.07457065418310993,12,12,joint_train_fit,2026-01-29,2026-05-06,joint train-only fit with one v0 state per date and equal date weights
ADANIGREEN,8.902197121911696,0.49698589984522257,2.958785915545892,-0.053391252995965074,0.18967864232112663,0.09411880043292697,12,12,joint_train_fit,2026-01-29,2026-05-06,joint train-only fit with one v0 state per date and equal date weights
ADANIPOWER,9.996658890599742,0.5603971189096888,3.039316435159249,-0.055311267880664525,0.3252963385345131,1.9667532890009163,12,12,joint_train_fit,2026-06-25,2026-07-16,joint train-only fit with one v0 state per date and equal date weights
CESC,4.809113021671593,0.9996370325362479,3.084228499188672,0.0782937239110708,0.04898981232361775,0.10226950502283039,12,12,joint_train_fit,2025-06-06,2025-07-17,joint train-only fit with one v0 state per date and equal date weights
JSWENERGY,9.996663265939347,0.4261526026477331,2.9033742402422864,-0.12205036776636244,0.098113232677119,0.0906261582436052,12,12,joint_train_fit,2026-01-29,2026-05-06,joint train-only fit with one v0 state per date and equal date weights
NHPC,9.968240027214241,0.2035697154684539,2.003821206837815,0.0005366822169521693,0.05008721148918355,0.04316414314955441,12,12,joint_train_fit,2026-01-29,2026-05-06,joint train-only fit with one v0 state per date and equal date weights
NTPC,9.996663266068168,0.11940638018933163,1.5368612451656705,-0.0807917142512928,0.05855478683205938,0.025388262253547733,12,12,joint_train_fit,2025-12-15,2026-04-13,joint train-only fit with one v0 state per date and equal date weights
POWERGRID,9.996663266030518,0.1554600168265472,1.7535983606556598,-0.11427445278920254,0.02937830844969776,0.03305566859864406,12,12,joint_train_fit,2025-12-15,2026-04-13,joint train-only fit with one v0 state per date and equal date weights
SJVN,9.99644326140275,0.4340510494611402,2.9301244641319073,-0.0017378173719982259,0.1275901339773908,0.09230400167691677,12,12,joint_train_fit,2025-06-06,2025-07-17,joint train-only fit with one v0 state per date and equal date weights
TATAPOWER,9.996663266139075,0.17541367293262827,1.862740889858218,0.030042067219887503,0.06420020526808351,0.03729921841849215,12,12,joint_train_fit,2025-12-15,2026-04-13,joint train-only fit with one v0 state per date and equal date weights
TORNTPOWER,9.996659402709133,0.403564420725771,2.8253796448921156,-0.06783840932604263,0.07452274758491206,0.08582198432358812,12,12,joint_train_fit,2025-12-09,2026-02-16,joint train-only fit with one v0 state per date and equal date weights
