symbol,trade_date,kappa,theta,sigma,rho,v0,objective,optimizer_evaluations,starting_value_loss_spread,calibration_rows,holdout_rows,calibration_iv_rmse,holdout_iv_rmse,feller_gap
ADANIENSOL,2024-12-06,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.27500583963492,7.001416190374116e-05,49,6.690193139606039e-11,8,4,0.011646915516380103,0.008995019618952061,0.07457065418310993
ADANIENSOL,2025-02-07,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.15275300308611386,7.001416190374116e-05,49,6.690193139606039e-11,7,4,0.015365586878278865,0.018365887143707852,0.07457065418310993
ADANIENSOL,2025-03-07,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.21709205673690302,7.001416190374116e-05,49,6.690193139606039e-11,9,4,0.01826871195737796,0.01661107608066352,0.07457065418310993
ADANIENSOL,2025-04-01,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.2323043513365394,7.001416190374116e-05,49,6.690193139606039e-11,9,4,0.026840409270717746,0.025181852397407146,0.07457065418310993
ADANIENSOL,2025-04-08,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.3350878888223518,7.001416190374116e-05,49,6.690193139606039e-11,10,5,0.04119191946857245,0.03263234925982722,0.07457065418310993
ADANIENSOL,2025-04-25,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.16294185431847513,7.001416190374116e-05,49,6.690193139606039e-11,8,4,0.007112504998666513,0.010477895310562223,0.07457065418310993
ADANIENSOL,2025-05-30,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.11998257555692862,7.001416190374116e-05,49,6.690193139606039e-11,6,3,0.008181141394143129,0.01430818273951957,0.07457065418310993
ADANIENSOL,2025-06-06,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.07901522208734102,7.001416190374116e-05,49,6.690193139606039e-11,7,4,0.005896884298679793,0.00942036495913652,0.07457065418310993
ADANIENSOL,2025-06-27,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.030858150425717844,7.001416190374116e-05,49,6.690193139606039e-11,7,4,0.011232414470257997,0.008844623842467437,0.07457065418310993
ADANIENSOL,2025-07-24,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,0.14706456911210003,7.001416190374116e-05,49,6.690193139606039e-11,7,3,0.09387614660662613,0.04327260264258013,0.07457065418310993
