scope,model,rows,iv_rmse,iv_mae,iv_bias,iv_r2,forecast_on_actual_slope
ALL,original_locked_heston,8818,0.044469308457102376,0.028048318612471593,-0.004603966340938931,0.8148987526411452,0.80659815857837
ALL,guarded_candidate_raw,8818,0.04447892472174718,0.027967239438983455,-0.00483851070271041,0.8148186895550034,0.8079507657939023
ALL,generalized_heston,8818,0.03658952753363342,0.025294547157581917,0.0009189552618056748,0.8746852485348937,0.8789630841361615
ALL,prior_session_median_iv,8818,0.06807920555676318,0.04206029863945658,-0.03158771164442337,0.5661720265380428,0.6818941672531069
ADANIENSOL,original_locked_heston,410,0.03505781922839967,0.02587117843675604,-0.004991000329279157,0.7981990692551362,0.7188762923971193
ADANIENSOL,guarded_candidate_raw,410,0.03505781922839967,0.02587117843675604,-0.004991000329279157,0.7981990692551362,0.7188762923971193
ADANIENSOL,generalized_heston,410,0.03505781922839967,0.02587117843675604,-0.004991000329279157,0.7981990692551362,0.7188762923971193
ADANIENSOL,prior_session_median_iv,410,0.06992255433923063,0.04504599746159143,-0.03254580637115294,0.1972359033623502,0.41944015251376204
ADANIGREEN,original_locked_heston,1336,0.042358271989487904,0.02200319991278217,-0.003619885719617658,0.6674942670439648,0.5670241653954609
ADANIGREEN,guarded_candidate_raw,1336,0.042358271989487904,0.02200319991278217,-0.003619885719617658,0.6674942670439648,0.5670241653954609
ADANIGREEN,generalized_heston,1336,0.042358271989487904,0.02200319991278217,-0.003619885719617658,0.6674942670439648,0.5670241653954609
ADANIGREEN,prior_session_median_iv,1336,0.0735219319116755,0.04101471665705788,-0.032983690741431246,-0.00174339811793911,0.2894456193644448
ADANIPOWER,original_locked_heston,183,0.0571087244766073,0.04700795986378193,0.02998322027334332,0.540038468628344,0.5822591043773468
ADANIPOWER,guarded_candidate_raw,183,0.0571087244766073,0.04700795986378193,0.02998322027334332,0.540038468628344,0.5822591043773468
ADANIPOWER,generalized_heston,183,0.0571087244766073,0.04700795986378193,0.02998322027334332,0.540038468628344,0.5822591043773468
ADANIPOWER,prior_session_median_iv,183,0.05326672892525638,0.035989580362987286,-0.009590279561645234,0.5998446328261593,0.5854207740498858
