symbol,candidate,candidate_selection_daily_rmse,selected_specification,validation_dates,early_validation_last_date,late_validation_first_date,late_validation_last_date,late_raw_daily_rmse,late_best_daily_rmse,relative_validation_gain,guard_minimum_dates,guard_minimum_gain,correction_accepted
ADANIENSOL,half_a,0.045665892172106586,raw,21,2026-03-12,2026-03-16,2026-04-30,0.03732514725872325,0.03546025956983967,0.0499633042558924,10,0.05,False
ADANIGREEN,half_a,0.06996015588050042,raw,29,2026-03-27,2026-03-30,2026-05-05,0.04094942830270747,0.047610252971653215,-0.16265977194375983,10,0.05,False
ADANIPOWER,main,0.015993966299418648,raw,8,2026-07-07,2026-07-13,2026-07-15,0.027610735284848375,0.032010119855992496,-0.15933601643554637,10,0.05,False
CESC,half_a,0.06175820177782998,raw,4,2025-07-02,2025-07-03,2025-07-16,0.06544378379332101,0.02148084188937788,0.6717665048644369,10,0.05,False
JSWENERGY,main,0.043494779729806546,raw,29,2026-04-01,2026-04-02,2026-05-04,0.03198701242521208,0.03265487421025241,-0.020879154832038116,10,0.05,False
NHPC,half_a,0.04021750851553391,curved,23,2026-04-02,2026-04-06,2026-05-05,0.03429795128817066,0.024506747376293186,0.2854748911855401,10,0.05,True
NTPC,half_a,0.038901232875837105,surface,48,2026-02-26,2026-03-02,2026-04-10,0.050751277888487316,0.029317642859849707,0.42232700180934213,10,0.05,True
POWERGRID,half_b,0.03625922925931905,curved,50,2026-03-02,2026-03-11,2026-04-09,0.03929189756754786,0.025902875799643114,0.3407578304124224,10,0.05,True
SJVN,main,0.04699015097073786,raw,6,2025-07-01,2025-07-07,2025-07-08,0.02343609184283233,0.02005489816545473,0.14427293168385924,10,0.05,False
TATAPOWER,half_a,0.04236242659353942,curved,56,2026-02-27,2026-03-04,2026-04-10,0.0538384471506708,0.0404390596165774,0.2488813894760791,10,0.05,True
TORNTPOWER,half_b,0.042558434307973174,raw,9,2026-02-06,2026-02-10,2026-02-12,0.057763567423876415,0.05884195169496805,-0.018668934748754622,10,0.05,False
