scope,subgroup_type,subgroup,model,rows,iv_rmse,iv_mae,iv_bias,iv_r2
ALL,all,all,selected_heston,8818,0.04446930845710237,0.02804831861247159,-0.004603966340938931,0.8148987526411452
ALL,all,all,prior_session_expiry_median_iv,8818,0.06807920555676318,0.042060298639456574,-0.03158771164442337,0.5661720265380428
ADANIENSOL,all,all,selected_heston,410,0.035057819228399664,0.02587117843675604,-0.004991000329279155,0.7981990692551362
ADANIENSOL,all,all,prior_session_expiry_median_iv,410,0.06992255433923061,0.04504599746159143,-0.03254580637115292,0.1972359033623503
ADANIGREEN,all,all,selected_heston,1336,0.042358271989487904,0.02200319991278217,-0.0036198857196176573,0.6674942670439648
ADANIGREEN,all,all,prior_session_expiry_median_iv,1336,0.0735219319116755,0.04101471665705788,-0.03298369074143125,-0.001743398117939332
ADANIPOWER,all,all,selected_heston,183,0.057108724476607295,0.04700795986378193,0.029983220273343315,0.5400384686283441
ADANIPOWER,all,all,prior_session_expiry_median_iv,183,0.05326672892525636,0.03598958036298727,-0.009590279561645213,0.5998446328261595
CESC,all,all,selected_heston,221,0.0514195840875883,0.04166326019982318,0.030506577040805807,0.15610386826767197
CESC,all,all,prior_session_expiry_median_iv,221,0.06780231370906963,0.045539584246267716,-0.030817510411815806,-0.4673067163349325
JSWENERGY,all,all,selected_heston,596,0.043534079213472396,0.03326505551954033,0.011176945640970368,0.4011684405563729
JSWENERGY,all,all,prior_session_expiry_median_iv,596,0.051973689177002694,0.03449672234093745,-0.028950566360094927,0.1464812939767346
NHPC,all,all,selected_heston,605,0.04435474364116699,0.033313779573588796,-0.006192552451559271,0.46990148633898465
NHPC,all,all,prior_session_expiry_median_iv,605,0.07444581790444497,0.05204180015427357,-0.03999273701081239,-0.4933343361763871
NTPC,all,all,selected_heston,1637,0.044832428957661104,0.026151842907688176,-0.014387791168184505,0.4712870364933117
NTPC,all,all,prior_session_expiry_median_iv,1637,0.07015379360800147,0.04221157100253235,-0.0344939162958484,-0.29460637874474793
POWERGRID,all,all,selected_heston,1436,0.03824448791426702,0.024313486009601225,-0.00296942737505405,0.5947533452499709
POWERGRID,all,all,prior_session_expiry_median_iv,1436,0.05932206174446962,0.035769292323387415,-0.027675909272742095,0.0249784575108144
SJVN,all,all,selected_heston,142,0.03893340895748007,0.029337928441566772,0.007273102072924151,0.5266341553970506
SJVN,all,all,prior_session_expiry_median_iv,142,0.05972793993680263,0.04376127656993992,-0.014126434470188408,-0.11405626926148749
TATAPOWER,all,all,selected_heston,1936,0.0477516787772641,0.02797981928339961,-0.011878762762615392,0.5479079378413849
TATAPOWER,all,all,prior_session_expiry_median_iv,1936,0.06891921433647774,0.0434061137462163,-0.03230701069102864,0.058261709771915915
TORNTPOWER,all,all,selected_heston,316,0.056686864296411905,0.0426459483237033,0.0029185763421300166,0.47616898602185564
TORNTPOWER,all,all,prior_session_expiry_median_iv,316,0.08591840776815274,0.057639661592165194,-0.03276310870345042,-0.20336888997791203
ALL,moneyness_group,ATM,selected_heston,2979,0.02734362439276044,0.019612332443532155,0.011196111160718893,0.9009011527087251
ALL,moneyness_group,ATM,prior_session_expiry_median_iv,2979,0.024622779806960225,0.017419578895924107,0.005247780454352519,0.9196417248714294
ALL,moneyness_group,MID,selected_heston,4482,0.03480400042937749,0.024340019599585386,-0.0016920510509893774,0.833398968304047
ALL,moneyness_group,MID,prior_session_expiry_median_iv,4482,0.048266604704927114,0.03468499481439088,-0.029187148972385238,0.6795849882096952
ALL,moneyness_group,WING,selected_heston,1357,0.0849002037266917,0.058815746006006274,-0.04890730842420536,0.4282979193380937
ALL,moneyness_group,WING,prior_session_expiry_median_iv,1357,0.14523074762260677,0.12051336854360371,-0.12038082355181344,-0.6728979698187072
ALL,maturity_group,7-30D,selected_heston,6900,0.04758745990525227,0.029817207720325898,-0.010358035771307136,0.8021153537099028
ALL,maturity_group,7-30D,prior_session_expiry_median_iv,6900,0.07507424597689179,0.04768851418926795,-0.037242488644533875,0.5074968539318161
ALL,maturity_group,31-90D,selected_heston,1918,0.03073871754355673,0.021684744658251206,0.0160962834346297,0.8443559646055143
ALL,maturity_group,31-90D,prior_session_expiry_median_iv,1918,0.03213056493428055,0.021812807871104935,-0.011244666127863186,0.8299417455712947
