symbol,candidate,kappa,theta,sigma,rho,parameter_source,training_last_date
ADANIENSOL,half_a,9.996663256051034,0.4027116018728927,2.8223932946231,-0.1730731747693246,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2026-01-29
ADANIENSOL,half_b,7.367646685330073,0.4354906898163989,2.519683712217728,-0.1141427076467163,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2026-01-29
ADANIENSOL,main,9.996643656338446,0.3506629931828869,2.6336923355710335,-0.1485496381683865,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston/single_heston_parameters.csv,2026-01-29
ADANIGREEN,half_a,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.0746619332040552,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2026-01-29
ADANIGREEN,half_b,9.996663266178896,0.450656860642152,2.9856811511027073,-0.0325087004226121,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2026-01-29
ADANIGREEN,main,8.902197121911696,0.4969858998452225,2.958785915545892,-0.053391252995965,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston/single_heston_parameters.csv,2026-01-29
ADANIPOWER,half_a,9.99651570680753,0.4521119159440641,2.9904735402853317,-0.0511243769824217,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2026-06-25
ADANIPOWER,half_b,9.996663266201848,0.9996663266177306,3.3383423592835735,-0.0723602595508474,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2026-06-25
ADANIPOWER,main,9.996658890599742,0.5603971189096888,3.039316435159249,-0.0553112678806645,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston/single_heston_parameters.csv,2026-06-25
CESC,half_a,5.506302104860819,0.8793728154859137,3.095346362786221,0.1348525235979984,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2025-06-06
CESC,half_b,5.135373391083448,0.9996663258130148,3.1871787055975345,0.0253676544646803,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2025-06-06
CESC,main,4.809113021671593,0.999637032536248,3.084228499188672,0.0782937239110708,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston/single_heston_parameters.csv,2025-06-06
JSWENERGY,half_a,3.5339972572349736,0.99966632579337,2.6439522032901586,-0.0952939977221693,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2026-01-29
JSWENERGY,half_b,9.99666326620186,0.4652927704993684,3.0337764623323613,-0.1414654673126826,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2026-01-29
JSWENERGY,main,9.996663265939349,0.4261526026477331,2.9033742402422864,-0.1220503677663624,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston/single_heston_parameters.csv,2026-01-29
NHPC,half_a,9.996663266201772,0.2585947109522889,2.2616760965826956,0.0126045718209338,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2026-01-29
NHPC,half_b,4.458231863828098,0.3854479817721908,1.843985140511432,-0.0143477925122384,/Users/dhruvaambhaikar/Documents/Options pricing/outputs/single_heston_overfit_audit/alternate_training_parameter_fits.csv,2026-01-29
