symbol,training_half,dates,objective,starting_objective_range,optimizer_evaluations,kappa,theta,sigma,rho,median_v0,feller_gap,kappa_near_upper_bound,theta_near_upper_bound,sigma_near_feller_cap
ADANIENSOL,a,6,4.5289233415968546e-05,2.0391004890726958e-11,30,9.996663256051034,0.4027116018728927,2.8223932946231,-0.17307317476932463,0.15146717650584124,0.0856406369229612,True,False,True
ADANIENSOL,b,6,9.133233572358703e-05,1.0731785006284304e-08,33,7.367646685330073,0.43549068981639893,2.519683712217728,-0.11414270764671638,0.14628032277338815,0.0682770650204878,False,False,True
ADANIGREEN,a,6,3.9171511127048965e-05,1.380347861701511e-11,42,3.9813645682849503,0.9996663266201844,2.806315129532778,-0.07466193320405523,0.16764032121508796,0.0846675795817724,False,True,True
ADANIGREEN,b,6,2.94637023425994e-05,3.729463074898364e-12,30,9.996663266178897,0.45065686064215205,2.9856811511027073,-0.032508700422612134,0.15971574484238632,0.09583783281582114,True,False,True
ADANIPOWER,a,6,2.8286932704823836e-05,1.3775835023898493e-10,28,9.99651570680753,0.4521119159440641,2.9904735402853317,-0.051124376982421754,0.3970535866684929,0.09615574279268024,True,False,True
ADANIPOWER,b,6,1.1659689095497975e-05,6.05242884551215e-13,61,9.996663266201848,0.9996663266177306,3.3383423592835735,-0.07236025955084747,0.1550430482250295,8.842125583729796,True,True,False
CESC,a,6,4.0139177729069434e-05,1.91245868899864e-11,85,5.506302104860819,0.8793728154859137,3.095346362786221,0.13485252359799846,0.03958840930744272,0.10301566412105423,False,False,True
CESC,b,6,3.107171938903694e-05,5.9307693847134024e-12,64,5.135373391083448,0.9996663258130148,3.1871787055975345,0.025367654464680315,0.05183585552479547,0.10921159767024946,False,True,True
JSWENERGY,a,6,1.5125710658979148e-05,1.0699208192181025e-12,95,3.5339972572349736,0.9996663257933699,2.6439522032901586,-0.09529399772216936,0.06580241205981874,0.07515285372498148,False,True,True
JSWENERGY,b,6,3.476925259758651e-05,8.340391386156467e-12,38,9.99666326620186,0.46529277049936846,3.0337764623323613,-0.14146546731268264,0.11006654713580741,0.09895067035880167,True,False,True
NHPC,a,6,1.4086817935280257e-05,1.2778840368892603e-11,47,9.996663266201772,0.2585947109522889,2.2616760965826956,0.012604571820933875,0.04576774165538467,0.05498972976808414,True,False,True
NHPC,b,6,7.48756861072311e-06,3.695000619561542e-13,50,4.458231863828098,0.3854479817721908,1.8439851405114318,-0.014347792512238427,0.02761990482656638,0.03655174994306165,False,False,True
NTPC,a,6,2.017251338145346e-05,1.394394474017735e-12,17,9.996663266201034,0.12083043103672633,1.5459984334561392,-0.09411096062145496,0.05620382480090496,0.025691106519322382,True,False,True
NTPC,b,6,2.2475038132968314e-05,6.451759499505371e-12,15,9.99666326620186,0.11736030711079479,1.5236370319326684,-0.06719751434198963,0.059269416539939654,0.024953136932711395,True,False,True
POWERGRID,a,6,2.0986591049384222e-05,1.6933893494866102e-09,71,2.599910444395366,0.5798300795091037,1.7271212262067586,-0.11889122668450632,0.01958972993937559,0.03206482936669097,False,False,True
POWERGRID,b,6,5.377929265095534e-06,8.62392830961573e-14,55,9.996663260416232,0.1516801165162061,1.7321484621543655,-0.10571449788365572,0.03102123964324856,0.032251801282688675,True,False,True
SJVN,a,6,7.466584218599318e-05,2.4915841563338467e-10,66,6.717647412479458,0.5917910778239824,2.8046956470294844,0.008713078622000305,0.13985322853338317,0.08456993287927173,False,False,True
SJVN,b,6,2.0760727561298654e-05,2.2500478144896457e-12,40,9.996663266170186,0.4970605200337756,3.1356316866360205,-0.011595622279003402,0.09575358463135288,0.10570720913433362,True,False,True
TATAPOWER,a,6,1.4932264894871135e-05,4.111479001562266e-12,30,9.996663266181194,0.17281406847789513,1.8488866225721219,0.04037279911093974,0.06352355540800661,0.03674635733844367,True,False,True
TATAPOWER,b,6,1.4087175733561413e-05,1.4606454112829604e-11,85,1.917086353015125,0.9996657078363124,1.9473382588029096,0.02684293942887345,0.03923893170037858,0.040764677942851435,False,True,True
TORNTPOWER,a,6,3.0008018551229595e-05,1.1521337472931124e-11,37,9.996663266201816,0.46017148924897744,3.0170345366030107,-0.016386379373154333,0.05847043701415357,0.09786145040193084,True,False,True
TORNTPOWER,b,6,2.6431774311926316e-05,2.5781463993030957e-12,24,9.996663266201248,0.3952351931416766,2.7960714841213345,-0.11346297993332771,0.05693990521686594,0.08405052926222556,True,False,True
