symbol,kappa_log_ratio_abs,theta_log_ratio_abs,sigma_log_ratio_abs,rho_absolute_difference
ADANIENSOL,0.3051530177024273,0.07825274026000971,0.11345182843476594,0.05893046712260824
ADANIGREEN,0.9206267470430454,0.796715341153038,0.06195563115577408,0.0421532327814431
ADANIPOWER,1.476097368202974e-05,0.7934917990883561,0.1100426346354763,0.02123588256842572
CESC,0.06974071786445897,0.12821260541465943,0.02923629685335978,0.10948486913331815
JSWENERGY,1.0398217661434968,0.7647547276531129,0.13753335626655533,0.046171469590513284
NHPC,0.8074991195931079,0.39914423335353766,0.20417710725347485,0.026952364333172302
NTPC,8.260059303211505e-14,0.02913941567364062,0.014569676001557034,0.026913446279465333
POWERGRID,1.3467743633832356,1.3409612875762154,0.0029065322681636877,0.013176728800850593
SJVN,0.3975133581182184,0.17444187414094897,0.111535619372325,0.020308700901003708
TATAPOWER,1.651444854968895,1.7552046630717846,0.051879812351200184,0.013529859682066287
TORNTPOWER,5.68434188608064e-14,0.15211820934392334,0.07605901683244265,0.09707660056017338
