dimension,group,model,rows,iv_rmse,iv_mae,iv_bias,pooled_iv_r2,within_surface_centered_r2,mean_surface_iv_rmse,median_surface_iv_rmse
moneyness,ATM,heston_same_day_v0,2517,0.017326727132464602,0.010178806807712102,0.005379586500780106,0.9617331255600591,-0.0740873892284577,0.013200836779190607,0.0073517021552048515
moneyness,ATM,flat_anchor_iv,2517,0.014046989868490525,0.009618878954846703,0.007059411764249452,0.9748489304768355,-0.08319044614172033,0.011615086248922046,0.008663370721631274
moneyness,ATM,quadratic_anchor_smile,2517,0.006432061643174843,0.0039431098179269885,0.0005281268553596296,0.994726604852944,0.47605779230219025,0.005435883578191889,0.003671841120481743
moneyness,ATM,heston_training_median_v0,2517,0.06344402212433796,0.05044614874532718,0.03521188602890283,0.48693624522671475,0.1504448786136684,0.05311415376799623,0.044085069344307906
moneyness,ATM,heston_prior_available_v0,2419,0.033976322316339146,0.02261970843694348,0.0036291205864656183,0.8506012803344245,-1.0460113472756993,0.02695580442980061,0.01753052254496724
moneyness,ATM,heston_shuffled_v0,2517,0.06545707084206054,0.050407721068057555,-9.844814732480085e-05,0.453861172751466,-7.052295240846226,0.054511065276601926,0.04666143284062275
moneyness,ATM,heston_train_half_a,2517,0.01958894694507399,0.011507452594964735,0.00625819550065231,0.9510883741425517,-0.08299765498248379,0.014654474135811795,0.008120791107063315
moneyness,ATM,heston_train_half_b,2517,0.03107593811362355,0.0160168698349205,0.010009388003234903,0.8769055661718785,-0.2639874952554686,0.020074057829028553,0.009012550964073971
moneyness,moderate,heston_same_day_v0,1886,0.03013913447437895,0.01862956410210326,-0.0041382427278609255,0.8762249328239411,0.4998965652951939,0.021899231404657743,0.014092608593670335
moneyness,moderate,flat_anchor_iv,1886,0.03747993110407242,0.02409467532565345,-0.020957296123358275,0.8085879890062034,-0.015058619298530251,0.02982042177348606,0.02165167609785667
moneyness,moderate,quadratic_anchor_smile,1886,0.010867215633838873,0.006165647246613091,-0.0007602787998164548,0.9839080680407084,0.8668423448830125,0.008380799474552275,0.005363799199429973
moneyness,moderate,heston_training_median_v0,1886,0.06726046466144593,0.0504824595646883,0.023993207768620538,0.3835592434616656,0.48126821167712375,0.051953531948883906,0.04114813736156269
moneyness,moderate,heston_prior_available_v0,1799,0.04294817764491201,0.028751366961960997,-0.0046075900738791024,0.7427511246316136,0.4086172917377411,0.03260364296794375,0.022135788220206454
moneyness,moderate,heston_shuffled_v0,1882,0.06787292581297648,0.05144205709229203,-0.009685922183458696,0.372446321339009,-0.060386727466882784,0.05494795176851546,0.04489569428637936
moneyness,moderate,heston_train_half_a,1886,0.03095924636088952,0.019416627627815892,-0.003071757353243417,0.8693972328965303,0.5036784219387068,0.02315458509137457,0.014329198320859361
moneyness,moderate,heston_train_half_b,1886,0.043114472917058486,0.026581817019813138,0.0035094856434829545,0.7467101536708786,0.48549089729174266,0.028333554511839294,0.016273796574704943
moneyness,wing,heston_same_day_v0,306,0.07621063866319668,0.05201370773269162,-0.04611910123078802,0.5643806626261979,0.5299457266135046,0.05519511349835546,0.03470673064168395
moneyness,wing,flat_anchor_iv,306,0.12270465699223827,0.10246480255670531,-0.10246480255670531,-0.1292706459592885,-0.0018133634730330694,0.10596323019471704,0.08444979218666221
moneyness,wing,quadratic_anchor_smile,306,0.047567395275812385,0.020511149713474213,0.007018385926891579,0.8302949800108783,0.7399067510148839,0.02426323511515782,0.011057423591846693
